phylum	ECHabs92	scientific_name	subspecies	authority_subspecies
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Asplenium jahandiezii		(Litard.) Rouy
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Asplenium adulterinum		Milde
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Woodwardia radicans		(L.) Sm.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Culcita macrocarpa		C. Presl
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Diplazium sibiricum		(Turcz. ex Kunze) Kurata
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dryopteris corleyi		Fraser-Jenk.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dryopteris fragans		(L.) Schott
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Trichomanes speciosum		Willd.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Isoetes boryana		Durieu
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Isoetes malinverniana		Ces. & De Not.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Marsilea batardae		Launert
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Marsilea quadrifolia		L.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Marsilea strigosa		Willd.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Botrychium simplex		Hitchc.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ophioglossum polyphyllum		A. Braun
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Abies nebrodensis		(Lojac.) Mattei
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Alisma wahlenbergii		(Holmberg) Juz.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Caldesia parnassifolia		(L.) Parl.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Luronium natans		(L.) Raf.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Leucojum nicaeense		Ard.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Narcissus asturiensis		(Jordan) Pugsley
