ECHabs92	phylum	scientific_name	comment
ECHabs92_Annex_IVa	Chordata	Barbastella barbastellus	
ECHabs92_Annex_IVa	Chordata	Eptesicus serotinus	
ECHabs92_Annex_IVa	Chordata	Myotis alcathoe	
ECHabs92_Annex_IVa	Chordata	Myotis bechsteinii	
ECHabs92_Annex_IVa	Chordata	Myotis brandtii	
ECHabs92_Annex_IVa	Chordata	Myotis nattereri	
ECHabs92_Annex_IVa	Chordata	Myotis daubentonii	
ECHabs92_Annex_IVa	Chordata	Myotis mystacinus	
ECHabs92_Annex_IVa	Chordata	Myotis myotis	
ECHabs92_Annex_IVa	Chordata	Nyctalus noctula	
ECHabs92_Annex_IVa	Chordata	Nyctalus leisleri	
ECHabs92_Annex_IVa	Chordata	Plecotus auritus	
ECHabs92_Annex_IVa	Chordata	Plecotus austriacus	
ECHabs92_Annex_IVa	Chordata	Pipistrellus pipistrellus	
ECHabs92_Annex_IVa	Chordata	Pipistrellus nathusii	
ECHabs92_Annex_IVa	Chordata	Pipistrellus pygmaeus	
ECHabs92_Annex_IVa	Chordata	Rhinolophus ferrumequinum	
ECHabs92_Annex_IVa	Chordata	Rhinolophus hipposideros	
ECHabs92_Annex_IVa	Chordata	Dryomys laniger	
ECHabs92_Annex_IVa	Chordata	Dryomys nitedula	
ECHabs92_Annex_IVa	Chordata	Dryomys sp. SJS-2003	
ECHabs92_Annex_IVa	Chordata	Eliomys melanurus	
ECHabs92_Annex_IVa	Chordata	Glirulus japonicus	
ECHabs92_Annex_IVa	Chordata	Graphiurus kelleni	
ECHabs92_Annex_IVa	Chordata	Graphiurus lorraineus	
ECHabs92_Annex_IVa	Chordata	Graphiurus microtis	
ECHabs92_Annex_IVa	Chordata	Graphiurus murinus	
ECHabs92_Annex_IVa	Chordata	Graphiurus ocularis	
ECHabs92_Annex_IVa	Chordata	Graphiurus platyops	
ECHabs92_Annex_IVa	Chordata	Graphiurus sp. 09ZRD#30	
ECHabs92_Annex_IVa	Chordata	Hypnomys morpheus	
ECHabs92_Annex_IVa	Chordata	Muscardinus avellanarius	
ECHabs92_Annex_IVa	Chordata	Myomimus roachi	
ECHabs92_Annex_IVa	Chordata	Balaena mysticetus	
ECHabs92_Annex_IVa	Chordata	Eubalaena glacialis	
ECHabs92_Annex_IVa	Chordata	Megaptera novaeangliae	
ECHabs92_Annex_IVa	Chordata	Balaenoptera acutorostrata	
ECHabs92_Annex_IVa	Chordata	Balaenoptera borealis	
ECHabs92_Annex_IVa	Chordata	Balaenoptera musculus	
ECHabs92_Annex_IVa	Chordata	Balaenoptera physalus	
ECHabs92_Annex_IVa	Chordata	Globicephala melas	
ECHabs92_Annex_IVa	Chordata	Grampus griseus	
ECHabs92_Annex_IVa	Chordata	Lagenodelphis hosei	
ECHabs92_Annex_IVa	Chordata	Lagenorhynchus albirostris	
ECHabs92_Annex_IVa	Chordata	Lagenorhynchus albirostris	
ECHabs92_Annex_IVa	Chordata	Orcinus orca	
ECHabs92_Annex_IVa	Chordata	Peponocephala electra	
ECHabs92_Annex_IVa	Chordata	Pseudorca crassidens	
ECHabs92_Annex_IVa	Chordata	Delphinus delphis	
ECHabs92_Annex_IVa	Chordata	Stenella coeruleoalba	
ECHabs92_Annex_IVa	Chordata	Tursiops truncatus	
ECHabs92_Annex_IVa	Chordata	Delphinapterus leucas	
ECHabs92_Annex_IVa	Chordata	Monodon monoceros	
ECHabs92_Annex_IVa	Chordata	Phocoena phocoena	
ECHabs92_Annex_IVa	Chordata	Kogia breviceps	
ECHabs92_Annex_IVa	Chordata	Kogia sima	
ECHabs92_Annex_IVa	Chordata	Physeter macrocephalus	
ECHabs92_Annex_IVa	Chordata	Hyperoodon ampullatus	
ECHabs92_Annex_IVa	Chordata	Mesoplodon europaeus	
ECHabs92_Annex_IVa	Chordata	Mesoplodon bidens	
ECHabs92_Annex_IVa	Chordata	Mesoplodon mirus	
ECHabs92_Annex_IVa	Chordata	Delphinus delphis	
ECHabs92_Annex_IVa	Chordata	Tursiops truncates	
ECHabs92_Annex_IVa	Chordata	Grampus griseus	
ECHabs92_Annex_IVa	Chordata	Lagenorhynchus albirostris	
ECHabs92_Annex_IVa	Chordata	Orcinus orca	
ECHabs92_Annex_IVa	Chordata	Stenella coeruleoalba	
ECHabs92_Annex_IVa	Chordata	Phocoena phocoena	
ECHabs92_Annex_IVa	Chordata	Balaenoptera acutorostrata	
ECHabs92_Annex_IVa	Chordata	Balaenoptera physalus	
ECHabs92_Annex_IVa	Chordata	Globicephala melas	
ECHabs92_Annex_IVa	Chordata	Physeter macrocephalus	
ECHabs92_Annex_IVa	Chordata	Megaptera novaeangliae	
ECHabs92_Annex_IVa	Chordata	Hyperoodon ampullatus	
ECHabs92_Annex_IVa	Chordata	Ziphius cavirostris	
ECHabs92_Annex_IVa	Chordata	Mesoplodon bidens	
ECHabs92_Annex_IVa	Chordata	Erinaceus algirus	
ECHabs92_Annex_IVa	Chordata	Crocidura canariensis	
ECHabs92_Annex_IVa	Chordata	Crocidura sicula	
ECHabs92_Annex_IVa	Chordata	Galemys pyrenaicus	
ECHabs92_Annex_IVa	Chordata	Rousettus aegyptiacus
ECHabs92_Annex_IVa	Chordata	Eliomys quercinus	
ECHabs92_Annex_IVa	Chordata	Marmota marmota latirostris	
ECHabs92_Annex_IVa	Chordata	Pteromys volans	(Sciuropterus russicus)
ECHabs92_Annex_IVa	Chordata	Spermophilus citellus	(Citellus citellus)
ECHabs92_Annex_IVa	Chordata	Spermophilus suslicus	(Citellus suslicus)
ECHabs92_Annex_IVa	Chordata	Sciurus anomalus	
ECHabs92_Annex_IVa	Chordata	Castor fiber	(except the Estonian, Latvian, Lithuanian, Polish, Finnish and Swedish populations)
ECHabs92_Annex_IVa	Chordata	Cricetus Cricetus	(except the Hungarian populations)
ECHabs92_Annex_IVa	Chordata	Mesocricetus newtoni	
ECHabs92_Annex_IVa	Chordata	Dinaromys bogdanovi	
ECHabs92_Annex_IVa	Chordata	Microtus cabrerae	
ECHabs92_Annex_IVa	Chordata	Microtus oeconomus arenicola	
ECHabs92_Annex_IVa	Chordata	Microtus oeconomus mehelyi	
ECHabs92_Annex_IVa	Chordata	Microtus tatricus	
ECHabs92_Annex_IVa	Chordata	Sicista betulina	
ECHabs92_Annex_IVa	Chordata	Sicista subtilis	
ECHabs92_Annex_IVa	Chordata	Hystrix cristata	
ECHabs92_Annex_IVa	Chordata	Alopex lagopus	
ECHabs92_Annex_IVa	Chordata	Canis lupus	(except the Greek populations north of the 39th parallel; Estonian populations, Spanish populations north of the Duero; Bulgarian, Latvian, Lithuanian, Polish, Slovak populations and Finnish populations within the reindeer management area as defined in paragraph 2 of the Finnish Act No 848/90 of <span class="LegSubstitution"> <span class="LegSubstitution">14 September 1990</span> </span>	on reindeer management)
ECHabs92_Annex_IVa	Chordata	Ursus arctos	
ECHabs92_Annex_IVa	Chordata	Lutra lutra	
ECHabs92_Annex_IVa	Chordata	Mustela eversmanii	
ECHabs92_Annex_IVa	Chordata	Mustela lutreola	
ECHabs92_Annex_IVa	Chordata	Vormela peregusna	
ECHabs92_Annex_IVa	Chordata	Felis silvestris	
ECHabs92_Annex_IVa	Chordata	Lynx lynx	(except the Estonian population)
ECHabs92_Annex_IVa	Chordata	Lynx pardinus	
ECHabs92_Annex_IVa	Chordata	Monachus monachus	
ECHabs92_Annex_IVa	Chordata	Phoca hispida saimensis	
ECHabs92_Annex_IVa	Chordata	Cervus elaphus corsicanus	
ECHabs92_Annex_IVa	Chordata	Bison bonasus	
ECHabs92_Annex_IVa	Chordata	Capra aegagrus	(natural populations)
ECHabs92_Annex_IVa	Chordata	Capra pyrenaica pyrenaica	
ECHabs92_Annex_IVa	Chordata	Ovis gmelini musimon	(Ovis ammon musimon) (natural populations – Corsica and Sardinia)
ECHabs92_Annex_IVa	Chordata	Ovis orientalis ophion	(Ovis gmelini ophion)
ECHabs92_Annex_IVa	Chordata	Rupicapra pyrenaica ornata	(Rupicapra rupicapra ornata)
ECHabs92_Annex_IVa	Chordata	Rupicapra rupicapra balcanica	
ECHabs92_Annex_IVa	Chordata	Rupicapra rupicapra tatrica	
ECHabs92_Annex_IVa	Chordata	Testudo graeca	
ECHabs92_Annex_IVa	Chordata	Testudo hermanni	
ECHabs92_Annex_IVa	Chordata	Testudo marginata	
ECHabs92_Annex_IVa	Chordata	Caretta caretta	
ECHabs92_Annex_IVa	Chordata	Chelonia mydas	
ECHabs92_Annex_IVa	Chordata	Lepidochelys kempii	
ECHabs92_Annex_IVa	Chordata	Eretmochelys imbricata	
ECHabs92_Annex_IVa	Chordata	Dermochelys coriacea	
ECHabs92_Annex_IVa	Chordata	Emys orbicularis	
ECHabs92_Annex_IVa	Chordata	Mauremys caspica	
ECHabs92_Annex_IVa	Chordata	Mauremys leprosa	
ECHabs92_Annex_IVa	Chordata	Algyroides fitzingeri	
ECHabs92_Annex_IVa	Chordata	Algyroides marchi	
ECHabs92_Annex_IVa	Chordata	Algyroides moreoticus	
ECHabs92_Annex_IVa	Chordata	Algyroides nigropunctatus	
ECHabs92_Annex_IVa	Chordata	Dalmatolacerta oxycephala	
ECHabs92_Annex_IVa	Chordata	Dinarolacerta mosorensis	
ECHabs92_Annex_IVa	Chordata	Gallotia atlantica	
ECHabs92_Annex_IVa	Chordata	Gallotia galloti	
ECHabs92_Annex_IVa	Chordata	Gallotia galloti insulanagae	
ECHabs92_Annex_IVa	Chordata	Gallotia simonyi	
ECHabs92_Annex_IVa	Chordata	Gallotia stehlini	
ECHabs92_Annex_IVa	Chordata	Lacerta agilis	
ECHabs92_Annex_IVa	Chordata	Lacerta bedriagae	
ECHabs92_Annex_IVa	Chordata	Lacerta bonnali	(Lacerta monticola)
ECHabs92_Annex_IVa	Chordata	Lacerta monticola	
ECHabs92_Annex_IVa	Chordata	Lacerta danfordi	
ECHabs92_Annex_IVa	Chordata	Lacerta dugesi	
ECHabs92_Annex_IVa	Chordata	Lacerta graeca	
ECHabs92_Annex_IVa	Chordata	Lacerta horvathi	
ECHabs92_Annex_IVa	Chordata	Lacerta schreiberi	
ECHabs92_Annex_IVa	Chordata	Lacerta trilineata	
ECHabs92_Annex_IVa	Chordata	Lacerta viridis	
ECHabs92_Annex_IVa	Chordata	Lacerta vivipara pannonica	
ECHabs92_Annex_IVa	Chordata	Ophisops elegans	
ECHabs92_Annex_IVa	Chordata	Podarcis erhardii	
ECHabs92_Annex_IVa	Chordata	Podarcis filfolensis	
ECHabs92_Annex_IVa	Chordata	Podarcis hispanica atrata	
ECHabs92_Annex_IVa	Chordata	Podarcis lilfordi	
ECHabs92_Annex_IVa	Chordata	Podarcis melisellensis	
ECHabs92_Annex_IVa	Chordata	Podarcis milensis	
ECHabs92_Annex_IVa	Chordata	Podarcis muralis	
ECHabs92_Annex_IVa	Chordata	Podarcis peloponnesiaca	
ECHabs92_Annex_IVa	Chordata	Podarcis pityusensis	
ECHabs92_Annex_IVa	Chordata	Podarcis sicula	
ECHabs92_Annex_IVa	Chordata	Podarcis taurica	
ECHabs92_Annex_IVa	Chordata	Podarcis tiliguerta	
ECHabs92_Annex_IVa	Chordata	Podarcis wagleriana	
ECHabs92_Annex_IVa	Chordata	Ablepharus kitaibelii	
ECHabs92_Annex_IVa	Chordata	Chalcides bedriagai	
ECHabs92_Annex_IVa	Chordata	Chalcides ocellatus	
ECHabs92_Annex_IVa	Chordata	Chalcides sexlineatus	
ECHabs92_Annex_IVa	Chordata	Chalcides simonyi	(Chalcides occidentalis)	
ECHabs92_Annex_IVa	Chordata	Chalcides viridianus	
ECHabs92_Annex_IVa	Chordata	Ophiomorus punctatissimus	
ECHabs92_Annex_IVa	Chordata	Cyrtopodion kotschyi	
ECHabs92_Annex_IVa	Chordata	Phyllodactylus europaeus	
ECHabs92_Annex_IVa	Chordata	Tarentola angustimentalis	
ECHabs92_Annex_IVa	Chordata	Tarentola boettgeri	
ECHabs92_Annex_IVa	Chordata	Tarentola delalandii	
ECHabs92_Annex_IVa	Chordata	Tarentola gomerensis	
ECHabs92_Annex_IVa	Chordata	Stellio stellio	
ECHabs92_Annex_IVa	Chordata	Chamaeleo chamaeleon	
ECHabs92_Annex_IVa	Chordata	Ophisaurus apodus	
ECHabs92_Annex_IVa	Chordata	Coluber caspius	
ECHabs92_Annex_IVa	Chordata	Coluber cypriensis	
ECHabs92_Annex_IVa	Chordata	Coluber hippocrepis	
ECHabs92_Annex_IVa	Chordata	Coluber jugularis	
ECHabs92_Annex_IVa	Chordata	Coluber laurenti	
ECHabs92_Annex_IVa	Chordata	Coluber najadum	
ECHabs92_Annex_IVa	Chordata	Coluber nummifer	
ECHabs92_Annex_IVa	Chordata	Coluber viridiflavus	
ECHabs92_Annex_IVa	Chordata	Coronella austriaca	
ECHabs92_Annex_IVa	Chordata	Eirenis modesta	
ECHabs92_Annex_IVa	Chordata	Elaphe longissima	
ECHabs92_Annex_IVa	Chordata	Elaphe quatuorlineata	
ECHabs92_Annex_IVa	Chordata	Elaphe situla	
ECHabs92_Annex_IVa	Chordata	Natrix natrix cetti	
ECHabs92_Annex_IVa	Chordata	Natrix natrix corsa	
ECHabs92_Annex_IVa	Chordata	Natrix natrix cypriaca	
ECHabs92_Annex_IVa	Chordata	Natrix tessellata	
ECHabs92_Annex_IVa	Chordata	Telescopus falax	
ECHabs92_Annex_IVa	Chordata	Vipera ammodytes	
ECHabs92_Annex_IVa	Chordata	Macrovipera schweizeri	(Vipera lebetina schweizeri)	
ECHabs92_Annex_IVa	Chordata	Vipera seoanni	(except Spanish populations)
ECHabs92_Annex_IVa	Chordata	Vipera ursinii	
ECHabs92_Annex_IVa	Chordata	Vipera xanthina	
ECHabs92_Annex_IVa	Chordata	Eryx jaculus	
ECHabs92_Annex_IVa	Chordata	Chioglossa lusitanica	
ECHabs92_Annex_IVa	Chordata	Euproctus asper	
ECHabs92_Annex_IVa	Chordata	Euproctus montanus	
ECHabs92_Annex_IVa	Chordata	Euproctus platycephalus	
ECHabs92_Annex_IVa	Chordata	Mertensiella luschani	(Salamandra luschani)	
ECHabs92_Annex_IVa	Chordata	Salamandra atra	
ECHabs92_Annex_IVa	Chordata	Salamandra aurorae	
ECHabs92_Annex_IVa	Chordata	Salamandra lanzai	
ECHabs92_Annex_IVa	Chordata	Salamandrina terdigitata	
ECHabs92_Annex_IVa	Chordata	Triturus carnifex	(Triturus cristatus carnifex)	
ECHabs92_Annex_IVa	Chordata	Triturus cristatus	(Triturus cristatus cristatus)	
ECHabs92_Annex_IVa	Chordata	Triturus italicus	
ECHabs92_Annex_IVa	Chordata	Triturus karelinii	(Triturus cristatus karelinii)	
ECHabs92_Annex_IVa	Chordata	Triturus marmoratus	
ECHabs92_Annex_IVa	Chordata	Triturus montandoni	
ECHabs92_Annex_IVa	Chordata	Triturus vulgaris ampelensis	
ECHabs92_Annex_IVa	Chordata	Proteus anguinus	
ECHabs92_Annex_IVa	Chordata	Hydromantes ambrosii	Speleomantes ambrosii
ECHabs92_Annex_IVa	Chordata	Hydromantes flavus	Speleomantes flavus
ECHabs92_Annex_IVa	Chordata	Hydromantes genei	Speleomantes imperialis
ECHabs92_Annex_IVa	Chordata	Hydromantes imperialis	Speleomantes imperialis
ECHabs92_Annex_IVa	Chordata	Hydromantes strinatii	Speleomantes italicus
ECHabs92_Annex_IVa	Chordata	Hydromantes supramontis	Speleomantes supramontis
ECHabs92_Annex_IVa	Chordata	Alytes cisternasii	
ECHabs92_Annex_IVa	Chordata	Alytes muletensis	
ECHabs92_Annex_IVa	Chordata	Alytes obstetricans	
ECHabs92_Annex_IVa	Chordata	Bombina bombina	
ECHabs92_Annex_IVa	Chordata	Bombina variegata	
ECHabs92_Annex_IVa	Chordata	Discoglossus galganoi	Discoglossus jeanneae
ECHabs92_Annex_IVa	Chordata	Discoglossus montalentii	
ECHabs92_Annex_IVa	Chordata	Discoglossus pictus	
ECHabs92_Annex_IVa	Chordata	Discoglossus sardus	
ECHabs92_Annex_IVa	Chordata	Rana arvalis	
ECHabs92_Annex_IVa	Chordata	Rana dalmatina	
ECHabs92_Annex_IVa	Chordata	Rana graeca	
ECHabs92_Annex_IVa	Chordata	Rana iberica	
ECHabs92_Annex_IVa	Chordata	Rana italica	
ECHabs92_Annex_IVa	Chordata	Rana latastei	
ECHabs92_Annex_IVa	Chordata	Rana lessonae	
ECHabs92_Annex_IVa	Chordata	Pelobates cultripes	
ECHabs92_Annex_IVa	Chordata	Pelobates fuscus	
ECHabs92_Annex_IVa	Chordata	Pelobates syriacus	
ECHabs92_Annex_IVa	Chordata	Bufo calamita	
ECHabs92_Annex_IVa	Chordata	Bufo viridis	
ECHabs92_Annex_IVa	Chordata	Hyla arborea	
ECHabs92_Annex_IVa	Chordata	Hyla meridionalis	
ECHabs92_Annex_IVa	Chordata	Hyla sarda	
ECHabs92_Annex_IVa	Chordata	Acipenser naccarii	
ECHabs92_Annex_IVa	Chordata	Acipenser sturio	
ECHabs92_Annex_IVa	Chordata	Coregonus oxyrhynchus	(anadromous populations in certain sectors of the North Sea, except the Finnish populations)
ECHabs92_Annex_IVa	Chordata	Anaecypris hispanica	
ECHabs92_Annex_IVa	Chordata	Phoxinus percnurus	
ECHabs92_Annex_IVa	Chordata	Valencia hispanica	
ECHabs92_Annex_IVa	Chordata	Gymnocephalus baloni	
ECHabs92_Annex_IVa	Chordata	Romanichthys valsanicola	
ECHabs92_Annex_IVa	Chordata	Zingel asper	
ECHabs92_Annex_IVa	Arthropoda	Armadillidium ghardalamensis	
ECHabs92_Annex_IVa	Arthropoda	Bolbelasmus unicornis	
ECHabs92_Annex_IVa	Arthropoda	Buprestis splendens	
ECHabs92_Annex_IVa	Arthropoda	Carabus hampei	
ECHabs92_Annex_IVa	Arthropoda	Carabus hungaricus	
ECHabs92_Annex_IVa	Arthropoda	Carabus olympiae	
ECHabs92_Annex_IVa	Arthropoda	Carabus variolosus	
ECHabs92_Annex_IVa	Arthropoda	Carabus zawadszkii	
ECHabs92_Annex_IVa	Arthropoda	Cerambyx cerdo	
ECHabs92_Annex_IVa	Arthropoda	Cucujus cinnaberinus	
ECHabs92_Annex_IVa	Arthropoda	Dorcadion fulvum cervae	
ECHabs92_Annex_IVa	Arthropoda	Duvalius gebhardti	
ECHabs92_Annex_IVa	Arthropoda	Duvalius hungaricus	
ECHabs92_Annex_IVa	Arthropoda	Dytiscus latissimus	
ECHabs92_Annex_IVa	Arthropoda	Graphoderus bilineatus	
ECHabs92_Annex_IVa	Arthropoda	Leptodirus hochenwarti	
ECHabs92_Annex_IVa	Arthropoda	Pilemia tigrina	
ECHabs92_Annex_IVa	Arthropoda	Osmoderma eremita	
ECHabs92_Annex_IVa	Arthropoda	Phryganophilus ruficollis	
ECHabs92_Annex_IVa	Arthropoda	Probaticus subrugosus	
ECHabs92_Annex_IVa	Arthropoda	Propomacrus cypriacus	
ECHabs92_Annex_IVa	Arthropoda	Pseudogaurotina excellens	
ECHabs92_Annex_IVa	Arthropoda	Pseudoseriscius cameroni	
ECHabs92_Annex_IVa	Arthropoda	Pytho kolwensis	
ECHabs92_Annex_IVa	Arthropoda	Rosalia alpina	
ECHabs92_Annex_IVa	Arthropoda	Apatura metis	
ECHabs92_Annex_IVa	Arthropoda	Arytrura musculus	
ECHabs92_Annex_IVa	Arthropoda	Catopta thrips	
ECHabs92_Annex_IVa	Arthropoda	Chondrosoma fiduciarium	
ECHabs92_Annex_IVa	Arthropoda	Coenonympha hero	
ECHabs92_Annex_IVa	Arthropoda	Coenonympha oedippus	
ECHabs92_Annex_IVa	Arthropoda	Colias myrmidone	
ECHabs92_Annex_IVa	Arthropoda	Cucullia mixta	
ECHabs92_Annex_IVa	Arthropoda	Dioszeghyana schmidtii	
ECHabs92_Annex_IVa	Arthropoda	Erannis ankeraria	
ECHabs92_Annex_IVa	Arthropoda	Erebia calcaria	
ECHabs92_Annex_IVa	Arthropoda	Erebia christi	
ECHabs92_Annex_IVa	Arthropoda	Erebia sudetica	
