ncbi_taxon_id	species	family	target_list_status	sequencing_status	publication_id	taxonomic_group	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
366500	Lontra provocax	Mustelidae	other_priority	sample_collected		Mammal	1000GCH	1000GCH		1000GCH	1000GCH								
163861	Pudu puda	Cervidae	other_priority	sample_acquired		Mammal	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH							
56667	Sephanoides fernandensis	Trochilidae	other_priority	sample_collected		Aves	1000GCH	1000GCH		1000GCH	1000GCH								
	Chiasognathus jousselinii	Lucanidae	other_priority			Insecta	1000GCH	1000GCH		1000GCH									
397614	Hippocamelus bisulcus	Cervidae	other_priority	sample_collected		Mammal	1000GCH	1000GCH		1000GCH	1000GCH								
2663345	Durvillaea incurvata	Durvillaeaceae	other_priority	sample_collected		Algae	1000GCH	1000GCH		1000GCH	1000GCH								
169772	Lessonia trabeculata	Lessoniaceae	other_priority	sample_collected		Algae	1000GCH	1000GCH		1000GCH	1000GCH								
2071648	Lessonia berteroana	Lessoniaceae	long_list	sample_collected		Algae	1000GCH	1000GCH			1000GCH								
31340	Desmarestia ligulata	Desmarestiaceae	long_list			Algae	1000GCH	1000GCH											
2211465	Hydroclathrus rapanuii	Scytosiphonaceae	long_list			Algae	1000GCH	1000GCH											
2607493	Dictyota phlyctaenodes	Dictyotaceae	long_list			Algae	1000GCH	1000GCH											
	Padina fernandeziana		long_list			Algae	1000GCH	1000GCH											
35122	Macrocystis pyrifera	Laminariaceae	other_priority	insdc_open		Algae	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH	1000GCH	1000GCH	1000GCH		1000GCH	1000GCH	
27967	Scytosiphon lomentaria	Scytosiphonaceae	other_priority	sample_collected		Algae	1000GCH	1000GCH		1000GCH	1000GCH								
2880	Ectocarpus siliculosus	Ectocarpaceae	other_priority	published	10.1038/nature09016	Algae	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH	1000GCH	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH
541058	Codium bernabei	Codiaceae	long_list			Algae	1000GCH	1000GCH											
	Codium fernandezianum		long_list			Algae	1000GCH	1000GCH											
1526596	Pyropia orbicularis	Bangiaceae	other_priority			Algae	1000GCH	1000GCH		1000GCH									
29243	Sarcothalia crispata	Gigartinaceae	long_list			Algae	1000GCH	1000GCH											
2765380	Sarcopeltis skottsbergii	Gigartinaceae	long_list			Algae	1000GCH	1000GCH											
38341	Chondracanthus chamissoi	Gigartinaceae	long_list			Algae	1000GCH	1000GCH											
143006	Gelidium rex	Gelidiaceae	long_list			Algae	1000GCH	1000GCH											
1077403	Callophyllis concepcionensis	Kallymeniaceae	long_list			Algae	1000GCH	1000GCH											
193557	Ceramium virgatum	Ceramiaceae	long_list			Algae	1000GCH	1000GCH											
656029	Centroceras rodmanii	Ceramiaceae	long_list			Algae	1000GCH	1000GCH											
239155	Rhodymenia skottsbergii	Rhodymeniaceae	other_priority			Algae	1000GCH	1000GCH		1000GCH									
	Alexandrium catanella		other_priority	sample_collected		Algae	1000GCH	1000GCH		1000GCH	1000GCH								
1115533	Didymosphenia geminata	Gomphonemataceae	long_list			Algae	1000GCH	1000GCH											
2903	Emiliania huxleyi	Noelaerhabdaceae	other_priority	published	10.1128/AEM.01418-21	Algae	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH	1000GCH	1000GCH	1000GCH		1000GCH	1000GCH	1000GCH
228457	Laternula elliptica	Laternulidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
104130	Glyptonotus antarcticus	Chaetiliidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
315491	Odontaster validus	Odontasteridae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
53479	Sterechinus neumayeri	Echinidae	long_list			Marine invertebrate	1000GCH	1000GCH											
95546	Adamussium colbecki	Pectinidae	long_list			Marine invertebrate	1000GCH	1000GCH											
104158	Serolis paradoxa	Serolidae	long_list			Marine invertebrate	1000GCH	1000GCH											
87956	Nacella concinna	Nacellidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
398667	Promachocrinus kerguelensis	Antedonidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
1325598	Mycale acerata	Mycalidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
880269	Cliona chilensis	Clionaidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
571821	Athyonidium chilensis	Cucumariidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
	Nacella yaghana		long_list			Marine invertebrate	1000GCH	1000GCH											
2762064	Leukoma thaca	Veneridae	long_list			Marine invertebrate	1000GCH	1000GCH											
1492912	Siphonaria lessonii	Siphonariidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
282296	Mesodesma donacium	Mesodesmatidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
