order	lineage	superorder	family_scientific_name	scientific_name	english_name	ncbi_taxon_id	status	iucn_2016-2024	cites	main_project	second_project	publication	project	all_projects	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published	sequencing_status
m1	Mammals	Afrotheria	Elephantidae	Elephas maximus indicus	Asian elephant	99487	4	Endangered		VGP	Collosal		VGP	Collosal,VGP	Collosal,VGP	Collosal,VGP	Collosal,VGP				Collosal,VGP			open
m1	Mammals	Afrotheria	Elephantidae	Loxodonta africana	African elephant	9785		Endangered		VGP	Collosal		VGP	Collosal,VGP										
m2	Mammals	Afrotheria	Procaviidae	Heterohyrax brucei	yellow-spotted rock hyrax	77598	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m3	Mammals	Afrotheria	Dugongidae	Dugong dugon	dugong	29137	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m3	Mammals	Afrotheria	Trichechidae	Trichechus inunguis	Amazon manatee	9777		Vulnerable		Amazoomics			VGP	Amazoomics,VGP										
m4	Mammals	Afrotheria	Macroscelididae	Rhynchocyon petersi	black and rufous elephant shrew	320637	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m5	Mammals	Afrotheria	Oryzorictinae	Tenrec ecaudatus	Tailless tenrec	319815	3	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP							in_progress
m6	Mammals	Afrotheria	Chrysochloridae	Amblysomus hottentotus	hottentot golden mole	9391	3	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP							in_progress
m7	Mammals	Afrotheria	Orycteropodidae	Orycteropus afer	aardvark	9818	3	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP							in_progress
m8	Mammals	Xenarthra	Myrmecophagidae	Tamandua tetradactyla	Southern tamandua	48850	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m9	Mammals	Xenarthra	Megalonychidae	Choloepus didactylus	Linnaeus's two-toed sloth	27675	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m10	Mammals	Xenarthra	Dasypodidae	Dasypus novemcinctus	nine-banded armadillo	9361	4	Least Concern		VGP	BRAIN		VGP	BRAIN,VGP	BRAIN,VGP	BRAIN,VGP	BRAIN,VGP				BRAIN,VGP			open
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Homo sapiens	human	9606	5	Least Concern		VGP	HPRC		VGP	HPRC,VGP	HPRC,VGP	HPRC,VGP	HPRC,VGP				HPRC,VGP			open
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Pan troglodytes	chimpanzee	9598		Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Pan paniscus	bonobo	9597		Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Gorilla gorilla	gorilla	9593		Critically Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Pongo abelii	Sumatran orangutan	9601		Critically Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hominidae	Pongo pygmaeus	Bornean orangutan	9600		Critically Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hylobatidae	Symphalangus syndactylus	siamang gibbon	9590		Endangered		T2T			VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hylobatidae	Hoolock leuconedys	hoolock gibbon	593543		Vulnerable					VGP	VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Hylobatidae	Macaca fascicularis	crab-eating macaque	9541		Endangered		T2T		https://www.biorxiv.org/content/10.1101/2024.04.07.588379v1.full.pdf	VGP	T2T,VGP										
m11	Mammals	Supraprimates (Euarchontoglires)	Cercopithecidae	Macaca nemestrina	pig-tailed macaque	9545		Endangered		Allen Institute			VGP	Allen Institute,VGP										
m12	Mammals	Supraprimates (Euarchontoglires)	Cebidae	Callithrix jacchus	common marmoset	9483	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m12	Mammals	Supraprimates (Euarchontoglires)	Atelidae	Ateles marginatus	white-cheeked spider monkey	1529884		Endangered		Amazoomics			VGP	Amazoomics,VGP										
m12	Mammals	Supraprimates (Euarchontoglires)	Pitheciidae	Chiropotes utahicki	Uta Hick's bearded saki	280160		Endangered		Amazoomics			VGP	Amazoomics,VGP										
m13	Mammals	Supraprimates (Euarchontoglires)	Tarsiidae	Carlito syrichta	Philippine tarsier	1868482	3	Threatened					VGP	VGP	VGP	VGP	VGP							in_progress
m14	Mammals	Supraprimates (Euarchontoglires)	Lorisoidea	Nycticebus coucang	sunda slow loris	9470	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m15	Mammals	Supraprimates (Euarchontoglires)	Lemuroidea	Lemur catta	ring-tailed lemur	9447	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m16	Mammals	Supraprimates (Euarchontoglires)	Cynocephalidae	Cynocephalus volans	Philippine flying lemur	110931	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m17	Mammals	Supraprimates (Euarchontoglires)	Erethizontidae	Erethizon dorsatum	North American porcupine	34844	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m18	Mammals	Supraprimates (Euarchontoglires)	Ctenodactylidae	Ctenodactylus gundi	common gundi	10166	3	Least Concern					VGP	VGP	VGP	VGP	VGP							in_progress
m19	Mammals	Supraprimates (Euarchontoglires)	Gliridae	Muscardinus avellanarius	common dormouse	39082	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Sciurus vulgaris	Eurasian red squirrel	55149	4	Least Concern		Sanger 25G			VGP	25GP,VGP	25GP,VGP	25GP,VGP	25GP,VGP				25GP,VGP			open
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Sciurus carolinensis	grey squirrel	30640		Least Concern		Sanger 25G			VGP	25GP,VGP										
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Urocitellus parryii	Arctic ground squirrel	9999		Least Concern		Allen Institute			VGP	Allen Institute,VGP										
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Spermophilus citellus	European ground squirrel	9997		Endangered		DToL			VGP	DToL,VGP										
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Callospermophilus lateralis	golden-mantled ground squirrel	76772		Least Concern		Cohen Lab			VGP	Cohen Lab,VGP										
m20	Mammals	Supraprimates (Euarchontoglires)	Sciuridae	Marmota flaviventris	yellow bellied marmot	93162		Least Concern		Cohen Lab			VGP	Cohen Lab,VGP										
m21	Mammals	Supraprimates (Euarchontoglires)	Aplodontiidae	Aplodontia rufa	mountain beaver	51342	3	Least Concern					VGP	VGP	VGP	VGP	VGP							in_progress
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Acomys)	Acomys russatus	golden spiny mouse	60746	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Apodemus)	Apodemus sylvaticus	European woodmouse	10129		Least Concern		DToL			VGP	DToL,VGP										
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Arvicanthis)	Arvicanthis niloticus	Nile rat	61156		Least Concern		VGP			VGP	VGP										
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Murinae)	Rattus norvegicus	Norway rat	10116		Least Concern		DToL			VGP	DToL,VGP										
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Murinae)	Micromys minutus	European harvest mouse	13151		Least Concern		DToL			VGP	DToL,VGP										
m22	Mammals	Supraprimates (Euarchontoglires)	Muridae (Murinae)	Mus musculus	house mouse	10090		Least Concern		DToL			VGP	DToL,VGP										
m59	Mammals	Supraprimates (Euarchontoglires)	Cricetidae	Onychomys torridus	Southern grasshopper mouse	38674		Least Concern		VGP			VGP	VGP										
m59	Mammals	Supraprimates (Euarchontoglires)	Cricetidae	Arvicola amphibius	European water vole	1047088	4	Least Concern		Sanger 25G			VGP	25GP,VGP	25GP,VGP	25GP,VGP	25GP,VGP				25GP,VGP			open
m59	Mammals	Supraprimates (Euarchontoglires)	Cricetidae	Chionomys nivalis	European snow vole	269649		Least Concern		ERGA			VGP	ERGA,VGP										
m59	Mammals	Supraprimates (Euarchontoglires)	Cricetidae	Microtus pennsylvanicus	Eastern meadow vole	10058		Least Concern		VGP			VGP	VGP										
