taxon_id	input	rank
3076	Chlorella sorokiniana	species
3159	Pedinomonas minor	species
2486357	Chlorella sp. Dachan	species
3144	Chlorokybus atmophyticus	species
183314	Hariotina reticulata	species
795112	Coelastrum proboscideum	species
7240	Drosophila simulans	species
7229	Drosophila miranda	species
30044	Drosophila rubida	species
7227	Drosophila melanogaster	species
7220	Drosophila erecta	species
7215	Drosophila	genus
46245	Drosophila pseudoobscura pseudoobscura	subspecies
30025	Drosophila ficusphila	species
29029	Drosophila eugracilis	species
244254	Drosophila bunnanda	species
309927	Zaprionus bogoriensis	species
7238	Drosophila sechellia	species
88886	Drosophila sulfurigaster	species
46829	Drosophila birchii	species
64960	Drosophila mercatorum mercatorum	subspecies
7224	Drosophila hydei	species
7245	Drosophila yakuba	species
125945	Drosophila biarmipes	species
30023	Drosophila elegans	species
7274	Drosophila serrata	species
7250	Drosophila immigrans	species
30033	Drosophila kikkawai	species
42026	Drosophila bipectinata	species
111875	Drosophila jambulina	species
7234	Drosophila persimilis	species
377586	Drosophila mojavensis mojavensis	subspecies
29030	Drosophila takahashii	species
169138	Drosophila aldrichi	species
1867034	Drosophila pandora	species
193234	Drosophila pseudotakahashii	species
7222	Drosophila grimshawi	species
65964	Drosophila pseudoananassae	species
7244	Drosophila virilis	species
1041015	Drosophila rhopaloa	species
3760	Prunus persica	species
28584	Drosophila suzukii	species
3735	Moringa oleifera	species
36596	Prunus armeniaca	species
32239	Dasiphora fruticosa	species
7260	Drosophila willistoni	species
7291	Drosophila albomicans	species
41882	Mesostigma viride	species
522413	Baylisascaris schroederi	species
85180	Celastrus	genus
2029240	Calliergonella curvifolia	species
97321	Prunus serrulata	species
6313	Angiostrongylus cantonensis	species
230680	Pseudoatta	genus
43891	Swietenia macrophylla	species
141003	Gillenia trifoliata	species
319808	Ficus	genus
159037	Clausena lansium	species
519335	Momordica charantia subsp. macroloba	subspecies
230685	Acromyrmex heyeri	species
3673	Momordica charantia	species
230686	Acromyrmex insinuator	species
4182	Sesamum indicum	species
64782	Acromyrmex	genus
41396	Tectona grandis	species
132429	Amphicarpaea edgeworthii	species
