taxon_id	input	rank
5755	Acanthamoeba castellanii	species
103372	Acromyrmex echinatior	species
70779	Acropora digitifera	species
1036760	Aciculosporium take MAFF-241224	strain
1257118	Acanthamoeba castellanii str. Neff	strain
575412	Acanthoscurria geniculata	species
57068	Acanthisitta chloris	species
857340	Acremonium chrysogenum ATCC 11550	strain
65658	Acanthamoeba astronyxis	species
43142	Acanthamoeba culbertsoni	species
29196	Acanthamoeba lenticulata	species
65661	Acanthamoeba healyi	species
28015	Acanthamoeba palestinensis	species
5757	Acanthamoeba polyphaga	species
32600	Acanthamoeba royreba	species
32599	Acanthamoeba rhysodes	species
202919	Acanthamoeba divionensis	species
61605	Acanthamoeba lugdunensis	species
211522	Acanthamoeba quina	species
196912	Acanthamoeba mauritaniensis	species
65662	Acanthamoeba pearcei	species
229769	Achipteria coleoptrata	species
32536	Acinonyx jubatus	species
245562	Acidomyces sp. 'richmondensis'	species
766039	Acidomyces richmondensis BFW	strain
133434	Acanthaster planci	species
65659	Acanthamoeba comandoni	species
1202772	Achlya hypogyna	species
90262	Absidia repens	species
80966	Acanthochromis polyacanthus	species
749232	Abeoforma whisleri	species
451385	Acridotheres javanicus	species
215250	Acaromyces ingoldii	species
43968	Aciculoconidium aculeatum	species
3816	Abrus precatorius	species
10068	Acomys cahirinus	species
1172177	Acaulopage tetraceros	species
7906	Acipenser ruthenus	species
45264	Acropora millepora	species
211598	Accipiter nisus	species
1000413	Acer yangbiense	species
2605667	Achatina immaculata	species
1450172	Aaosphaeria arxii CBS 175.79	strain
8957	Accipiter gentilis	species
40147	Acipenser oxyrinchus oxyrinchus	subspecies
2069292	Abscondita terminalis	species
39621	Acrocephalus arundinaceus	species
8177	Acanthopagrus latus	species
70783	Acropora tenuis	species
367763	Acropora acuminata	species
1929007	Acropora awi	species
46686	Acropora cytherea	species
513064	Acropora echinata	species
70780	Acropora gemmifera	species
55974	Acropora hyacinthus	species
156436	Acropora microphthalma	species
70778	Acropora nasuta	species
117778	Acropora yongei	species
165727	Acropora selago	species
159855	Acropora muricata	species
114500	Acropora intermedia	species
70782	Acropora florida	species
6997	Acheta domesticus	species
886606	Acephala macrosclerotiorum	species
61363	Acanthopleura granulata	species
387753	Accipiter gentilis atricapillus	subspecies
230686	Acromyrmex insinuator	species
2715315	Acromyrmex charruanus	species
230685	Acromyrmex heyeri	species
2614024	Abisara bifasciata	species
138028	Acacia melanoxylon	species
178749	Acacia acuminata	species
1176733	Acidiella bohemica	species
2733465	Absidia healeyae	species
2735258	Absidia sp. UoMAU379	species
145231	Acanthochlamys bracteata	species
1450171	Aaosphaeria arxii	species
2778101	Acremonium sp. FKII-L8-BK-P5	species
7904	Acipenser transmontanus	species
2666182	Acremonium sp. CBMAI 1973	species
481813	Acrocephalus familiaris kingi	subspecies
137743	Abortiporus biennis	species
2871812	Acarospora aff. strigata	species
1472694	Acremonium citrinum	species
38527	Abramis brama	species
478375	Acarapis woodi	species
858909	Abrus pulchellus subsp. cantoniensis	subspecies
261198	Accipiter cooperii	species
1651254	Actenoides hombroni	species
2868207	Accipiter hiogaster	species
7902	Acipenser gueldenstaedtii	species
518696	Accipiter rufiventris	species
342376	Actenoides lindsayi	species
880440	Acacia pycnantha	species
4023	Acer negundo	species
1307805	Acarospora socialis	species
387806	Accipiter soloensis	species
387810	Accipiter virgatus	species
6131	Acropora palmata	species
1008807	Acrasis kona	species
387794	Accipiter fasciatus	species
387800	Accipiter melanoleucus	species
518695	Accipiter cirrocephalus	species
387801	Accipiter novaehollandiae	species
993364	Accipiter castanilius	species
387799	Accipiter melanochlamys	species
387793	Accipiter erythropus	species
56330	Accipiter striatus	species
279927	Acridotheres tristis	species
56255	Accipiter superciliosus	species
4829	Absidia glauca	species
136180	Acartia tonsa	species
473344	Acanthochaenus luetkenii	species
290746	Acrobeloides nanus	species
6277	Acanthocheilonema viteae	species
146752	Acanthamoeba triangularis	species
60746	Acomys russatus	species
938171	Abrostola tripartita	species
60744	Acomys dimidiatus	species
83762	Acomys kempi	species
83527	Acomys percivali	species
987859	Acronicta aceris	species
94023	Acaulospora morrowiae	species
27376	Acaulospora colombiana	species
126889	Acrocephalus scirpaceus scirpaceus	subspecies
758717	Acleris sparsana	species
758706	Acleris emargana	species
483950	Acanthosoma haemorrhoidale	species
1666818	Acentria ephemerella	species
1857951	Acrobasis suavella	species
254365	Abrostola triplasia	species
987865	Acronicta psi	species
1100899	Acleris literana	species
987862	Acronicta leporina	species
210248	Acrocera orbiculus	species
753485	Achlya flavicornis	species
7159	Aedes aegypti	species
7029	Acyrthosiphon pisum	species
597362	Agaricus bisporus var. burnettii JB137-S8	strain
936046	Agaricus bisporus var. bisporus H97	strain
37682	Aegilops tauschii	species
228871	Aethionema arabicum	species
3625	Actinidia chinensis	species
104782	Adineta vaga	species
224129	Agrilus planipennis	species
1410327	Acytostelium subglobosum LB1	strain
7160	Aedes albopictus	species
64647	Actinomucor elegans	species
1635095	Albophoma yamanashiensis	species
1081108	Akanthomyces lecanii RCEF 1005	strain
2714763	Akanthomyces lecanii	species
192523	Agaricus bisporus var. bisporus	varietas
116153	Aethina tumida	species
169297	Aegilops tauschii subsp. tauschii	subspecies
9646	Ailuropoda melanoleuca	species
424585	Ailurus styani	species
200361	Aegilops tauschii subsp. strangulata	subspecies
60468	Agapornis roseicollis	species
2607230	Agaricales sp. HM26-F1	species
1590841	Actinidia chinensis var. chinensis	varietas
80570	Albatrellus ellisii	species
2175974	Albatrellus sp. MG142	species
64608	Agrocybe cylindracea	species
2066578	Ageneiosus marmoratus	species
165200	Actinidia eriantha	species
56364	Agrotis ipsilon	species
2518135	Aeminium ludgeri	species
85585	Adoxophyes honmai	species
9897	Aepyceros melampus	species
5341	Agaricus bisporus	species
1193083	Alatina alata	species
335395	Actinemys marmorata	species
6105	Actinia tenebrosa	species
374458	Alaus oculatus	species
233158	Adela reaumurella	species
1535445	Adranes taylori	species
63976	Actias luna	species
1962788	Aenictocupidus jacobsonorum	species
571810	Actinopyga echinites	species
2292721	Alatinidae sp. Z8VKAUB7J3	species
6106	Actinia equina	species
257879	Aeorestes cinereus	species
84607	Agrocybe pediades	species
73327	Aegithalos caudatus	species
48278	Aegotheles bennettii	species
39638	Agelaius phoeniceus	species
670337	Alaudala cheleensis	species
561484	Aeschynomene evenia	species
165716	Actinidia rufa	species
13818	Adiantum capillus-veneris	species
192524	Agaricus bisporus var. burnettii	varietas
1227671	Aculops lycopersici	species
1343610	Actinomortierella ambigua	species
90253	Actinomortierella wolfii	species
763278	Agrypnia vestita	species
9191	Agelaius tricolor	species
155132	Akebia trifoliata	species
2705550	Agyllia agylla	species
2705558	Agyllia kituina	species
2585977	Agara michaeli	species
2585974	Agara belti belti	subspecies
2201487	Aeromachus stigmata shanda	subspecies
2201488	Aguna camagura	species
705134	Aguna metophis	species
509293	Aethilla lavochrea	species
1945772	Agathymus mariae mariae	subspecies
2726093	Adelognathus sp. PSUC_FEM 10030001	species
59515	Addax nasomaculatus	species
1588080	Akabosia matsudoensis	species
1859699	Albifimbria verrucaria	species
4573	Aegilops speltoides	species
4483	Aegilops bicornis	species
4487	Aegilops searsii	species
4486	Aegilops longissima	species
58530	Aegilops sharonensis	species
