taxon_id	input	rank
39946	Oryza sativa Indica Group	no rank
180454	Anopheles gambiae str. PEST	strain
73239	Plasmodium yoelii yoelii	subspecies
10116	Rattus norvegicus	species
7719	Ciona intestinalis	species
367110	Neurospora crassa OR74A	strain
226125	Saccharomyces paradoxus NRRL Y-17217	strain
226126	Saccharomyces mikatae IFO 1815	strain
659244	Saccharomyces uvarum CLIB 533	strain
184922	Giardia lamblia ATCC 50803	strain
5741	Giardia intestinalis	species
227321	Aspergillus nidulans FGSC A4	strain
226302	Lachancea kluyveri NRRL Y-12651	strain
226301	Naumovozyma castellii NRRL Y-12630	strain
226230	Saccharomyces kudriavzevii IFO 1802	strain
229533	Fusarium graminearum PH-1	strain
237631	Ustilago maydis 521	strain
240176	Coprinopsis cinerea okayama7#130	strain
51511	Ciona savignyi	species
242507	Pyricularia oryzae 70-15	strain
39947	Oryza sativa Japonica Group	no rank
246409	Rhizopus delemar RA 99-880	strain
9598	Pan troglodytes	species
9606	Homo sapiens	species
46245	Drosophila pseudoobscura pseudoobscura	subspecies
7460	Apis mellifera	species
7091	Bombyx mori	species
262981	Lachancea waltii NCYC 2644	strain
273507	Phanerochaete chrysosporium RP-78	strain
246410	Coccidioides immitis RS	strain
353152	Cryptosporidium parvum Iowa II	strain
285006	Saccharomyces cerevisiae RM11-1a	strain
353151	Cryptosporidium hominis TU502	strain
7245	Drosophila yakuba	species
283643	Cryptococcus neoformans var. neoformans B-3501A	strain
296543	Thalassiosira pseudonana CCMP1335	strain
352472	Dictyostelium discoideum AX4	strain
294746	Meyerozyma guilliermondii ATCC 6260	strain
294747	Candida tropicalis MYA-3404	strain
294748	Candida albicans WO-1	strain
294750	Cryptococcus gattii VGII R265	strain
306902	Clavispora lusitaniae ATCC 42720	strain
306901	Chaetomium globosum CBS 148.51	strain
307796	Saccharomyces cerevisiae YJM789	strain
31234	Caenorhabditis remanei	species
7159	Aedes aegypti	species
312017	Tetrahymena thermophila SB210	strain
7240	Drosophila simulans	species
321614	Parastagonospora nodorum SN15	strain
7668	Strongylocentrotus purpuratus	species
5875	Theileria parva	species
665079	Sclerotinia sclerotiorum 1980 UF-70	isolate
9986	Oryctolagus cuniculus	species
412133	Trichomonas vaginalis G3	isolate
330879	Aspergillus fumigatus Af293	strain
5693	Trypanosoma cruzi	species
10090	Mus musculus	species
332952	Aspergillus flavus NRRL3357	strain
431241	Trichoderma reesei QM6a	strain
334819	Fusarium verticillioides 7600	strain
336963	Uncinocarpus reesii 1704	strain
7234	Drosophila persimilis	species
339724	Histoplasma capsulatum NAm1	strain
7070	Tribolium castaneum	species
341663	Aspergillus terreus NIH2624	strain
344612	Aspergillus clavatus NRRL 1	strain
331117	Aspergillus fischeri NRRL 181	strain
5855	Plasmodium vivax	species
10141	Cavia porcellus	species
7238	Drosophila sechellia	species
8364	Xenopus tropicalis	species
69293	Gasterosteus aculeatus	species
7244	Drosophila virilis	species
137071	Plasmodium falciparum HB3	isolate
370354	Entamoeba dispar SAW760	strain
370355	Entamoeba invadens IP1	strain
9258	Ornithorhynchus anatinus	species
379508	Lodderomyces elongisporus NRRL YB-4239	strain
7217	Drosophila ananassae	species
7220	Drosophila erecta	species
7222	Drosophila grimshawi	species
7230	Drosophila mojavensis	species
37347	Tupaia belangeri	species
7260	Drosophila willistoni	species
507601	Toxoplasma gondii GT1	strain
43179	Ictidomys tridecemlineatus	species
30611	Otolemur garnettii	species
164328	Phytophthora ramorum	species
67593	Phytophthora sojae	species
392613	Ascosphaera apis ARSEF 7405	strain
3694	Populus trichocarpa	species
6500	Aplysia californica	species
3988	Ricinus communis	species
57267	Plasmodium falciparum Dd2	isolate
396776	Coccidioides immitis H538.4	strain
402676	Schizosaccharomyces japonicus yFS275	strain
403673	Batrachochytrium dendrobatidis JEL423	strain
403677	Phytophthora infestans T30-4	strain
404692	Coccidioides immitis RMSCC 2394	strain
