input	suggested
Eiseniella faetida	eiseniella fetida
Tomopteris elegans	tomopterna elegans
Agalena opulenta	agelena opulenta
Lycosa monticola	cyclosa monticola
Philodromus roseus	ophiodromus roseus
Tibellus ablongus	tibellus oblongus
Theridium tepidariorum	theridion tepidariorum
Sancassania berlesi	sancassania berlesei
Argas zumpti	argas brumpti
Dermacentor anderson	dermacentor andersoni
Ornithonysus sylviarum	ornithonyssus sylviarum
Liobunum japonicum	leiobunum japonicum
Pediculopsis graminum	xepiculopsis graminea
Tetranychus neocalendonicus	tetranychus neocaledonicus
Ananteris balzanii	ananteris balzani
Neumania vemalis	neumania vernalis
Branchipus vernalis	eubranchipus vernalis
Isotoma cinerea	neotoma cinerea
Calanus gracilis	calamus gracilis
Phortioica phoraspoides	phortioeca phoraspoides
Blattella litoricollis	blattella lituricollis
Ernobius mollis_	ernobius mollis
Gibbium psylloides_	gibbium psylloides	gibbium psylliodes
Lasioderma serricorne_	lasioderma serricorne
Ptinus clavipes_	ptinus clavipes
Ptinus villiger_	ptinus villiger
Stegobium paniceum_	stegobium paniceum
Notoxus calcaratus_	notoxus calcaratus
Notoxus constrictus_	notozus constrictus
Notoxus monodon_	notoxus monodon
Araecerus fasciculatus_	araecerus fasciculatus
Euparius marmoreus_	euparius marmoreus
Ptychoderes tricostifrons_	ptychoderes tricostifrons
Apoderus coryli_	apoderus coryli
Euops punctatostriata	euops punctatostriatus
Euops splendida	euops splendidus
Hypera viciae_	hypera viciae
Larinus sturnus_	larinus sturnus
Liophloeus lentus_	liophloeus lentus
Liparus glabrirostris_	liparus glabrirostris
Phymatapoderus latipennis	phymatopoderus latipennis
Pissodes notatus_	pissodes notatus
Rhizopertha dominica_	rhyzopertha dominica
Brentus anchorago_	brentus anchorago	brenthus anchorago
Brentus mexicanus_	brentus mexicanus
Ceratapion austriacum_	ceratapion austriacum
Ceratapion penetrans_	ceratapion penetrans
Cylas formicarius_elegantulus	cylas formicarius elegantulus
Eutrichapion melancholicum_	eutrichapion melancholicum
nophyes marmoratus_	nanophyes marmoratus
Oxystoma cerdo_	oxystoma cerdo
