input	suggested
Earias insulara	earias insulana
Lilhosia quadra	lithosia quadra
Theophila religiosae	theophila religiosa
Euploea leuctostictos	euploea leucostictos
Euploea sylvestor	euploea sylvester
Tirumata limniace	tirumala limniace
Exotelsia dodscella	exoteleia dodecella
Exotelsia pinifoliella	exoteleia pinifoliella
Campaea margatitata	campaea margaritata
Chlorochysta miata	chloroclysta miata
Mesolenca albicillata	mesoleuca albicillata
Anisocharia sublimbata	anisochoria sublimbata
Celotes celotes	calotes calotes
Muschampsia proto	muschampia proto
Pyrgus maculates	pyrgus maculatus
Reverdinus boeticus	reverdinus baeticus
Spialia theraphne	spialia therapne
Dendrolinus pini	dendrolimus pini
Dendrolinus spectabilis	dendrolimus spectabilis
Eutrix potatoria	euthrix potatoria
Malacosoma californica pluviale	malacosoma californicum pluviale
Malacosoma neustrium	malacosoma neustria
Phyllodesma ilicifolium	phyllodesma ilicifolia
Trabala vishnu	trabala vishnou
Calastrina argiolus	celastrina argiolus
lolana iolas	iolana iolas
Maculinea alcon tarannis	maculinea alcon taranis
Plebeius eurypilus	plebejus eurypilus
Plebeius loewii	plebejus loewii
Plebeius pylaon	plebejus pylaon
Plebejus agyrognomon	plebejus argyrognomon
Tarucus balcanicus	tarucus balkanicus
Laelia caenosa	laelia coenosa
Orgyia trigontehras	orgyia trigotephras
Agrochola Iota	agrochola lota
Amphipyra tragopogonis	amphipyra tragopoginis
Arcte coerulea	arcte coerula
Arete coerulea	arcte coerula
Autographa nigrisigma	autographa nigrisigna
Calocasia coryli	colocasia coryli
Chrysodeixis chalcytes	chrysodeixis chalcites
Lugephila viciae	lygephila viciae
Mythimna ferraeo	mythimna ferrago
Nycteola rinereana	nycteola cinereana
Paradrina clavipalpis	caradrina clavipalpis
Plusia intermixta	clusia intertexta
Clostera alpicalis	clostera apicalis
Argynnis aglaia	argynnis aglaja
Argyronome loadice	argyronome laodice
Argyronome loadice japonica	argyronome laodice japonica
Cybdelis phaesila	cybdelis phaesyla
Elzunia pavoni	elzunia pavonii
Eueides tibilia	eueides vibilia
Euphaedra edwardsii	euphaedra edwardsi
Heliconius elmatus	heliconius elevatus
Hyaliris antea	hyalyris antea
Memphis falcate	memphis falcata
Oleria astraea	oleria astrea
Patricia dercillidas	patricia dercyllidas
Pseudacraea boisduvalii	pseudacraea boisduvali
Speyeria coronia halcyone	speyeria coronis halcyone
Speyeria marmonia eurynome	speyeria mormonia eurynome
Taygetis larua	taygetis laura
Vanessa kashmirensis	vanessa caschmirensis
Luedorfia japonica	Luehdorfia japonica
Luedorfia puziloi	luehdorfia puziloi
Papilio nepheles chaon	papilio nephelus chaon
Anagasta kiihniella	anagasta kuehniella
Syllepte derogata	sylepta derogata
Colias phicimone	colias phicomone
Eurema laeta bethesba	eurema laeta betheseba
Hypsophila microdice	hypsochila microdice
Pieris brassicae azoriensis	pieris brassicae azorensis
Pieris manni	pieris mannii
Pontia daplidicae	pontia daplidice
Corcvra cephalonica	corcyra cephalonica
Libythea bachmanii	libytheana bachmanii
Antheraea frithii	antheraea frithi
Hyalophora euryalis	hyalophora euryalus
Philosarnia cynthia ricini	philosamia cynthia ricini
Bicylus funebris	bicyclus funebris
Bicylus sandace	bicyclus sandace
Bicylus vulgaris	bicyclus vulgaris
Bicylus zinebi	bicyclus zinebi
Brentesia circe	brintesia circe
Chazara bischoffi	chazara bischoffii
Erebia nerine	erebia neriene
Kirina climene	kirinia climene
Kirina roxelana	kirinia roxelana
Mycatesis mineus	mycalesis mineus
Pseudochazara berae	pseudochazara beroe
Yphthima argus	ypthima argus
Yphthima doleta	ypthima doleta
Yphthima motschulskyi	ypthima motschulskyi
Talaeporia tubulosa	taleporia tubulosa
Archips breviplicanus	archips breviplicana
Archips fuscocupreanus	archips fuscocupreana
Yponomeuta polistictus	yponomeuta polystictus
Zelleria haimhacki	zelleria haimbachi
