family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Agaristidae	Seudyra	subflava	Seudyra subflava	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Seudyra subflava	NA	NA
Amathusiidae	Faunis	eumeus	Faunis eumeus	29	29	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Faunis eumeus	NA	NA
Arctiidae	Abraxas	grossulariata dohrnii	Abraxas grossulariata dohrnii	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Abraxas grossulariata dohrnii	NA	NA
Arctiidae	Apantesis	radians	Apantesis radians	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Apantesis radians	NA	NA
Arctiidae	Arctia	caja phaesoma	Arctia caja phaesoma	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia caja phaesoma	NA	NA
Arctiidae	Arctia	hebe	Arctia hebe	30-33	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia hebe	NA	NA
Arctiidae	Cycnial	mendica	Cycnial mendica	26	26	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cycnial mendica	NA	NA
Arctiidae	Earias	fabia	Earias fabia	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Earias fabia	NA	NA
Arctiidae	Halisidota	maculata	Halisidota maculata	17	17	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Halisidota maculata	NA	NA
Arctiidae	Hippocrita	jacobaea	Hippocrita jacobaea	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hippocrita jacobaea	NA	NA
Arctiidae	Phragmatobia	fuliginosa amurensis	Phragmatobia fuliginosa amurensis	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Phragmatobia fuliginosa amurensis	NA	NA
Arctiidae	Spilarctia	infernalis	Spilarctia infernalis	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Spilarctia infernalis	NA	NA
Arctiidae	Spilosoma	mendica	Spilosoma mendica	26	26	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Spilosoma mendica	NA	NA
