taxon_id,input,rank,suggested
6396,Eiseniella faetida,species,Eisenia fetida
1079899,Tomopteris elegans,species,Tomopterna elegans
29934,Agalena opulenta,species,Allagelena opulenta
1112406,Lycosa monticola,species,Cyclosa monticola
1137987,Philodromus roseus,species,Neogyptis rosea
336685,Tibellus ablongus,species,Tibellus oblongus
114398,Theridium tepidariorum,species,Parasteatoda tepidariorum
2527844,Sancassania berlesi,species,Sancassania berlesei
1827023,Argas zumpti,species,Argas brumpti
224536,Ornithonysus sylviarum,species,Ornithonyssus sylviarum
1160254,Liobunum japonicum,species,Leiobunum japonicum
226117,Pediculopsis graminum,species,Myrothecium gramineum
50030,Tetranychus neocalendonicus,species,Tetranychus neocaledonicus
1967476,Ananteris balzanii,species,Ananteris balzani
2796863,Neumania vemalis,species,Neumania vernalis
478652,Branchipus vernalis,species,Eubranchipus vernalis
105147,Isotoma cinerea,species,Neotoma cinerea
1233741,Calanus gracilis,species,Calamus gracilis
6982,Blaberus cranifer,species,Blaberus craniifer
36959,Phortioica phoraspoides,species,Phortioeca phoraspoides
63624,Blattella litoricollis,species,Blattella lituricollis
878088,Ernobius mollis_,species,Ernobius mollis
2696768,Gibbium psylloides_,species,Gibbium psylloides
295660,Lasioderma serricorne_,species,Lasioderma serricorne
icPtiClav,Ptinus clavipes_,species,Ptinus clavipes
1553692,Ptinus villiger_,species,Ptinus villiger
295656,Stegobium paniceum_,species,Stegobium paniceum
2680750,Notoxus calcaratus_,species,Notoxus calcaratus
2763553,Notoxus constrictus_,species,Elampus constrictus
1468588,Notoxus monodon_,species,Notoxus monodon
251759,Araecerus fasciculatus_,species,Araecerus fasciculatus
1661878,Euparius marmoreus_,species,Euparius marmoreus
638814,Ptychoderes tricostifrons_,species,Ptychoderes tricostifrons
201766,Apoderus coryli_,species,Apoderus coryli
1515506,Euops punctatostriata,species,Sawadaeuops punctatostriatus
1515466,Euops splendida,species,Euops splendidus
1342021,Hypera viciae_,species,Hypera viciae
202010,Larinus sturnus_,species,Larinus sturnus
1049281,Liophloeus lentus_,species,Liophloeus lentus
1825281,Liparus glabrirostris_,species,Liparus glabrirostris
558398,Phymatapoderus latipennis,species,Phymatopoderus latipennis
202134,Pissodes notatus_,species,Pissodes notatus
92692,Rhizopertha dominica_,species,Rhyzopertha dominica
298196,Brentus anchorago_,species,Brentus anchorago
2680185,Brentus mexicanus_,species,Brentus mexicanus
1341964,Ceratapion austriacum_,species,Ceratapion austriacum
667107,Ceratapion penetrans_,species,Ceratapion penetrans
197179,Cylas formicarius_elegantulus,species,Cylas formicarius
2490437,Eutrichapion melancholicum_,species,Eutrichapion melancholicum
