Institute	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS (2C)	GS (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample					
	911234	UK Flora			Juncus	filiformis	<Petro	GPB3%PVPBmet	187.64	732.19	4.32	3.07	3.902	190.96	736.0133333	1.17	0.58	0.57	4.13	2.79	0.042	Arezoo Dastpak									
	944629	UK Flora			Hieracium	kinghousense	>Petro		163.23	536.26	2.71	2.69	3.285	543.53	167.84	14.57	7.29	7.13	2.70	2.76	0.045	Robyn Powell									
	IL field coll.	UK Flora			Isolepis	cernua	<Petro	GPB3%PVPBmet	137.29	322.59	4.85	2.34	2.350	157.8	351.43	2.02	1.01	0.99	4.36	2.15	0.100	Robyn Powell									
	IL field coll.	UK Flora			Rumex	rupestris	<Petro	GPB3%PVPBmet	173.83	406.51	3.7	2.25	2.338	183.8733333	419.4766667	1.97	0.99	0.96	3.46	2.26	0.054	Robyn Powell									
	IL.fieldcoll_somerset	UK Flora			Viscum	album	>Allium	GPB3%PVPBmet	161.27	870.13	3.43	2.24	5.395	835.88	155.4966667	187.55	93.78	91.71	2.37	3.65	0.019	Robyn Powell									
	Leitch field	UK Flora			Lathyrus	sylvestris	>Petro	GPB3%PVPBmet	127.46	598.96	3.76	1.98	4.699	598.0066667	128.11	21.01	10.50	10.27	2.32	3.85	0.122	Robyn Powell									
	PaulFletcher.field	UK Flora			Atriplex	pedunculata	<Petro	GPB3%PVPBmet	188.51	644.6	3.48	1.82	3.419	193.9333333	652.58	1.34	0.67	0.65	3.24	1.68	0.050	Robyn Powell									
LCD	1994-2809	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	lathyris	<Petro	GPB3%PVPBmet	220.69	398.38	2.98	3.13	1.805	228.7733333	408.7933333	2.52	1.26	1.23	2.77	2.96	0.018	Sahr Mian	28/07/2020	KDTOL10006	no previous estimate						
MSB	1001716	UK Flora			Viburnum	lantana	>Petro	GPB3%PVPBmet	125.81	267.68	3.21	3.06	2.128	267.0633333	125.4233333	9.58	4.79	4.69	3.48	3.65	0.005	Arezoo Dastpak									
MSB	1001783	UK Flora			Rhamnus	cathartica	<Solanum	GPB3%PVPBmet	203.02	372.97	3.97	2.86	1.837	203.8966667	374.4	1.09	0.54	0.53	3.80	2.53	0.001	Arezoo Dastpak									
MSB	1001831	UK Flora			Rhamnus	cathartica	<Solanum	GPB3%PVPBmet	153.29	289.55	4.04	2.13	1.889	153.29	289.55	1.06	0.53	0.52	4.04	2.13	0.000	Robyn Powell									
MSB	1001853	UK Flora			Salix	pentandra	<Petro	GPB3%PVPBmet	22.87	519.33	5.53	2.6	2.330	156.0233333	516.0466667	1.36	0.68	0.67	6.82	3.38	0.013	Robyn Powell									
MSB	1003732	UK Flora			Lonicera	periclymenum	>Petro	GPB3%PVPBmet	230.37	349.29	2.29	4.92	1.516	349.29	230.37	6.82	3.41	3.34	4.92	2.29	0.000	Robyn Powell									
MSB	1003835	UK Flora			Narthecium	ossifragum	<Solanum	GPB3%PVPBmet	140.67	276.66	4.98	3.57	1.967	140.6633333	277.9633333	1.01	0.51	0.49	5.20	3.23	0.008	Arezoo Dastpak									
MSB	1003938	UK Flora			Callitriche	hermaphroditica	<Petro	GPB3%PVPBmet	171.45	409.96	4.55	4.6	2.390	176.4333333	421.6633333	1.88	0.94	0.92	4.80	4.05	0.002	Robyn Powell									
MSB	1004027	UK Flora			Torilis	arvensis	>Pisum	GPB3%PVPBmet	195.01	417.55	4.5	3.18	2.141	414.94	193.64	19.48	9.74	9.52	4.62	3.59	0.006	Robyn Powell									
MSB	1004050	UK Flora			Petroselinum	segetum	<Pisum	GPB3%PVPBmet	153.81	478.21	3.83	3.04	3.109	153.81	478.21	2.92	1.46	1.43	3.83	3.04	0.000	Robyn Powell									
MSB	1005448	UK Flora			Oenanthe	crocata	<Petro	GPB3%PVPBmet	138.3	460.25	2.49	1.44	3.328	137.6866667	457.47	1.35	0.68	0.66	2.61	1.47	0.006	Robyn Powell									
MSB	1007501	UK Flora			Briza	media	>Petro	GPB3%PVPBmet	250	376.13	2.64	2.08	1.505	383.6366667	254.2566667	6.79	3.39	3.32	2.27	2.89	0.004	Robyn Powell									
MSB	1007512	UK Flora			Carum	verticillatum	>Petro	GPB3%PVPBmet	143.82	421.4	5.15	4.13	2.930	420.4866667	144.7266667	13.07	6.54	6.39	4.00	4.80	0.026	Robyn Powell									
