Institute	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS (2C)	GS (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample					
MSB	107828	UK Flora			Hieracium	calenduliflorum	>Petro		187.11	314.19	2.06	2.74	1.679	313.9733333	187.5966667	7.53	3.77	3.68	2.89	2.08	0.006	Robyn Powell									
MSB	107884	UK Flora			Hieracium	calenduliflorum	>Petro		160.85	559.71	2.49	2.7	3.480	558.4766667	161.8133333	15.53	7.77	7.59	2.63	2.63	0.026	Robyn Powell									
MSB	107895	UK Flora			Hieracium	calenduliflorum	>Petro		130.81	454.55	5.48	7.66	3.475	456.2933333	130.7466667	15.70	7.85	7.68	6.53	5.38	0.023	Robyn Powell									
MSB	108124	UK Flora			Hieracium	hanburyi f. atraticeps	>Petro		149.96	529.75	3.42	2.83	3.533	541.5766667	156.0033333	15.62	7.81	7.64	2.52	3.11	0.059	Robyn Powell									
MSB	116774	UK Flora			Hieracium	mundum	>Petro		154.09	536.37	3.43	3.63	3.481	541.18	157.3766667	15.47	7.74	7.57	3.65	3.27	0.041	Robyn Powell									
MSB	116936	UK Flora			Hieracium	holosericeum	>Petro		123.81	324.16	3.91	3.87	2.618	312.3	120.92	11.62	5.81	5.68	4.03	3.65	0.040	Robyn Powell									
MSB	117162	UK Flora			Hieracium	perscitum	>Petro		131.61	457.41	3.52	2.79	3.476	466.3833333	134.7666667	15.57	7.79	7.62	2.49	3.12	0.015	Robyn Powell									
MSB	117302	UK Flora			Hieracium	graniticola	>Petro		132.8	343.29	3.03	2.95	2.585	349.6533333	136.34	11.54	5.77	5.64	2.67	2.82	0.021	Robyn Powell									
MSB	117324	UK Flora			Hieracium	graniticola	>Petro		142.56	364.35	3.88	3.47	2.556	370.1	145.7033333	11.43	5.72	5.59	3.20	3.76	0.026	Robyn Powell									
MSB	117335	UK Flora			Hieracium	graniticolum	>Petro		99.61	252.96	4.17	4.91	2.540	255.9033333	101.08	11.39	5.70	5.57	5.05	4.01	0.007	Robyn Powell									
MSB	117667	UK Flora			Hieracium	pensum	>Petro		148.12	505.09	2.47	2.21	3.410	505.77	148.8333333	15.29	7.65	7.48	2.16	2.47	0.013	Robyn Powell									
MSB	117678	UK Flora			Hieracium	pensum	>Petro		144.01	491.09	2.43	2.44	3.410	492.4966667	145.4833333	15.23	7.62	7.45	2.44	2.50	0.026	Robyn Powell									
MSB	117704	UK Flora			Hieracium	eximium	>Petro		149.72	507.2	2.76	2.23	3.388	518.28	154.9066667	15.06	7.53	7.36	2.12	2.30	0.042	Robyn Powell									
MSB	117726	UK Flora			Hieracium	tenuifrons	>Petro		117.62	401.41	3.9	3.6	3.413	404.99	119.3866667	15.27	7.63	7.46	3.92	4.20	0.030	Robyn Powell									
MSB	130394	UK Flora			Lysimachia	maritima	<Petro	Cystain	239.2	333.94	3.17	2.76	1.396	243.5066667	338.7633333	3.23	1.62	1.58	2.90	2.42	0.005	Arezoo Dastpak									
MSB	131438	UK Flora			Scleranthus	annuus ssp. Annuus	<Pisum		164.79	356.55	3.13	1.88	2.164	168.7066667	361.0066667	4.25	2.12	2.08	2.99	1.87	0.023	Robyn Powell									
MSB	136237	UK Flora			Hieracium	linguans	>Petro		167.45	446.62	2.57	2.04	2.667	453.32	171.5133333	11.89	5.95	5.82	1.80	2.24	0.023	Robyn Powell									
