taxon_id	input	rank	suggested
	Crepis grandiflora	species	crepis grandifolia
	Haemanthus katherinae	species	haemanthus katharinae
	Medicago coerulea	species	medicago caerulea
1888380	Paracalyx scariosa	species	Paracalyx scariosus
999236	Petunia parodii	species	Peronia peronii
	Taeniatherum crititum	species	taeniatherum crinitum
167990	Pterostyrax psilophylla	species	Pterostyrax psilophyllus
	Neomeris annulata	species	glomeris undulata	glomeris annulata
361561	Trillium luteum         	species	Trifolium aureum
	Carex hansenii	species	carex handelii	carex haydenii
2067289	Lessingianthus pusillus	species	Lessingianthus pumillus
