taxon_id	input	rank
240063	Halimione pedunculata	species
1155348	Sison segetum	species
1170862	Trocdaris verticillatum	species
445234	Anemone pulsatilla	species
126278	Microthlaspi perfoliatum	species
140788	Carex aquatilis	species
4337	Anagallis arvensis	species
1122272	Blysmopsis rufa	species
1155356	Rumex hydrolapathum	species
2768810	Ailanthus altissimus	species
75960	Cicerbita muralis	species
56931	Lunularia cruciata	species
38592	Atrichum undulatum	species
3213	Polytrichum commune	species
66991	Imbribryum alpinum	species
67232	Anomobryum julaceum	species
260776	Vinealobryum insulanum	species
184931	Porella cordaeana	species
61563	Pulvigera lyellii	species
69983	Palustriella falcata	species
103981	Exsertotheca crispa	species
248352	Trilophozia quinquedentata	species
53003	Buckiella undulata	species
99387	Rosulabryum capillare	species
3222	Dicranum scoparium	species
209806	Neoorthocaulis floerkei	species
98942	Rhynchostegium riparioides	species
304445	Apopellia endiviifolia	species
67441	Tetraplodon mnioides	species
294397	Sarmentypnum sarmentosum	species
114457	Struthiopteris spicant	species
66205	Acer campestre	species
253148	Juncus filiformis	species
daHieKing	Hieracium kinghousense	species
76455	Isolepis cernua	species
1155357	Rumex rupestris	species
3972	Viscum album	species
313117	Lathyrus sylvestris	species
212925	Euphorbia lathyris	species
237945	Viburnum lantana	species
3610	Rhamnus cathartica	species
75715	Salix pentandra	species
213829	Lonicera periclymenum	species
114204	Narthecium ossifragum	species
38788	Callitriche hermaphroditica	species
79184	Torilis arvensis	species
254044	Oenanthe crocata	species
281077	Briza media	species
216990	Betula nana	species
96050	Phalaris arundinacea	species
241203	Carex capillaris	species
1844632	Cochlearia micacea	species
1053365	Lobelia urens	species
202615	Reseda lutea	species
470278	Salix cinerea	species
113636	Populus tremula	species
470270	Salix aurita	species
475907	Lithospermum officinale	species
166824	Allium sphaerocephalon	species
1572672	Alchemilla acutiloba	species
50454	Arabis scabra	species
165318	Veronica spicata	species
3854	Lathyrus aphaca	species
212690	Picris hieracioides	species
13288	Thlaspi arvense	species
97039	Trifolium scabrum	species
40909	Scandix pecten-veneris	species
764725	Cynoglossum germanicum	species
1417315	Petrorhagia nanteuilii	species
645205	Sabulina rubella	species
