taxon_id	input	rank	suggested
336632	Anyphaena pecterosa	species	Anyphaena pectorosa
158285	Habronattus viridepes	species	Habronattus viridipes
256748	Latrodectus various	species	Latrodectus variolus
686703	Garjajewia cabanisi	species	Garjajewia cabanisii
86506	Palicarinus puzylli	species	Palicarinus puzyllii
232426	Rachotropis aculeata	species	Rhachotropis aculeata
2775428	Protohyale schmidti	species	Protohyale schmidtii
111185	Artemiopsis stephanssoni	species	Artemiopsis stefanssoni
280789	Daphnia minnihaha	species	Daphnia minnehaha
98093	Microcaris fortunata	species	Mirocaris fortunata
6689	Litopenaeus vanname	species	Penaeus vannamei
102978	Euphausia triacantha	species	Euphausia tricantha
244941	Blatella nipponica	species	Blattella nipponica
346707	Apthona lutescens	species	Aphthona lutescens
419964	Coccinula quatordecimpustulata	species	Coccinula quatuordecimpustulata
703264	Hippodamia variagata	species	Hippodamia variegata
558720	Propylea quatuorodecimpunctata	species	Propylea quattuordecimpunctata
77166	Dendroctonus ponderosa	species	Dendroctonus ponderosae
1028493	Megapenthes insignis	species	Ectinoides insignitus
2680829	Phengodes fuscipes	species	Phengodes fusciceps
377198	Martineziana dutertrei	species	Martineziella dutertrei
329103	Aedes excrucianus	species	Ochlerotatus excrucians
1245354	Aedes pseudoalbopictus	species	Aedes pseudalbopictus
1712862	Aedes seatoi	species	Ochlerotatus eatoni
124917	Armigeres subalbanus	species	Armigeres subalbatus
329107	Culiseta moristans	species	Culiseta morsitans
54075	Drosophila neohydei	species	Drosophila eohydei
428973	Zaprionus camarounensis	species	Zaprionus camerounensis
284540	Zaprionus ghesquerei	species	Zaprionus ghesquierei
7297	Zaprionus tuberculatis	species	Zaprionus tuberculatus
1411026	Archisepsis escalcarata	species	Archisepsis ecalcarata
133065	Adelges cooleyii	species	Adelges cooleyi
112273	Mogoura viciae	species	Megoura viciae
1087438	Myzus nicotinae	subspecies	Myzus persicae nicotianae
168653	Rhopalosiphon cerasifoliae	species	Rhopalosiphum cerasifoliae
40932	Rhopalosiphon padi	species	Rhopalosiphum padi
486745	Melipoma asilvai	species	Melipona asilvai
60889	Melipoma bicolor	species	Melipona bicolor
596970	Melipoma capixaba	species	Melipona capixaba
28652	Melipoma compressipes	species	Melipona compressipes
486748	Melipoma crinita	species	Melipona crinita
596913	Melipoma eburnea	species	Melipona eburnea
486752	Melipoma fuscopilosa	species	Melipona fuscopilosa
398100	Melipoma grandis	species	Melipona grandis
486756	Melipoma mandacaia	species	Melipona mandacaia
486757	Melipoma marginata	species	Melipona marginata
561222	Melipoma mondury	species	Melipona mondury
166423	Melipoma quadrifasciata	species	Melipona quadrifasciata
300638	Melipoma quinquefasciata	species	Melipona quinquefasciata
486763	Melipoma rufiventris	species	Melipona rufiventris
263364	Melipoma scutellaris	species	Melipona scutellaris
486764	Melipoma seminigra	species	Melipona seminigra
300637	Melipoma subnitida	species	Melipona subnitida
486745	Melipona asilvaib	species	Melipona asilvai
166427	Nanotrigona testaceicornis	species	Nannotrigona testaceicornis
597192	Scaptotrigona xantotricha	species	Scaptotrigona xanthotricha
606811	Cerapachys edentata	species	Cerapachys edentatus
411748	Dormyrmex bicolor	species	Dorymyrmex bicolor
609848	Formica pallidifulva	species	Formica pallidefulva
214157	Grammea virgo	species	Apantesis virgo
214159	Halisidota tesselaris	species	Halysidota tessellaris
216861	Ennomos subsignarius	species	Ennomos subsignaria
690220	Guenovia simcloria	species	Gueneria similaria
214081	Ceratoma undulosa	species	Ceratomia undulosa
2666032	Aeshna coerulea	species	Aeshna caerulea
218365	Argia sedulla	species	Argia sedula
1646279	Macromia illionensis georgina	species	Macromia illinoiensis georgina
1312895	Heteracris adspersus	species	Heteracris adspersa
2547837	Macrotona australis	species	Cnemoplites australis
143426	Mantella cowanii	species	Mantella cowani
443700	Hyporhampus affinis	species	Hyporhamphus affinis
371673	Holocentrus ascensionis	species	Holocentrus adscensionis
29064	Panthera unica	species	Panthera uncia
9642	Ursus hibetanus	species	Ursus thibetanus
189058	Neophocaena phocaenoides asiaorientalis	species	Neophocaena asiaeorientalis
930303	Brachycalcinus copei	species	Brachychalcinus copei
42582	Raphiodon vulpinus	species	Rhaphiodon vulpinus
526811	Nycteris major	species	Eonycteris major
77229	Balionycterismaculata	species	Balionycteris maculata
58060	Cynopterusbrachyotis	species	Cynopterus brachyotis
258930	Lasiuris borealis	species	Lasiurus borealis
257879	Lasiuris cinereus	species	Aeorestes cinereus
258928	Lasiuris ega	species	Dasypterus ega
592573	Lasiuris intermedius	species	Dasypterus intermedius
258936	Myotis austroriparia	species	Myotis austroriparius
159327	Myotis keaisy	species	Myotis keaysi
105295	Pipistrelllus abramus	species	Pipistrellus abramus
33589	Leptotilos crumeniferus	species	Leptoptilos crumeniferus
1961840	Chrysococcyx caprius	species	Chrysococcyx cupreus
145923	Carassius auratus grandcuris	subspecies	Carassius auratus grandoculis
87724	Cyprinella whipplii	species	Cyprinella whipplei
46780	Danio malabricus	species	Devario malabaricus
699554	Epalzeorhynchos frenatum	species	Epalzeorhynchos frenatus
219677	Moroco lagwoski	species	Rhynchocypris lagowskii
109666	Moroco oxcephalus	species	Phoxinus oxycephalus
75358	Parabramis pekinesis	species	Parabramis pekinensis
357282	Barbatuala toni	species	Barbatula toni
119849	Poeciliopsis gracilus	species	Poeciliopsis gracilis
32467	Xiphophorus alverezi	species	Xiphophorus alvarezi
1960652	Macropus rufogrigeus	species	Notamacropus rufogriseus
8962	Aguila chrysaetos	species	Aquila chrysaetos
387830	Elanus caerulens	species	Elanus caeruleus
630661	Caelorinchus innotabilis	species	Coelorinchus innotabilis
9118	Bugeranus carunculus	species	Grus carunculatus
390356	Ogcocephalus nausutus	species	Ogcocephalus nasutus
1094534	Syndactyla subularis	species	Syndactyla subalaris
152551	Paralipophrys trigloide	species	Lipophrys trigloides
173324	Elegatis bipinnulata	species	Elagatis bipinnulata
281269	Haplochromis quiarti	species	Haplochromis guiarti
227774	Haplochromis squamipinnus	species	Haplochromis squamipinnis
257723	Pomatoschistus canestrini	species	Ninnigobius canestrinii
236585	Heamulon flavolineatum	species	Haemulon flavolineatum
317480	Coris dorsomaculata	species	Coris dorsomacula
435143	Oxycheilinus diagramma	species	Oxycheilinus digramma
182646	Gymnocranius grandiculis	species	Gymnocranius grandoculis
260525	Lutjanus fluviflamma	species	Lutjanus fulviflamma
80953	Pomacentrus bakanensis	species	Pomacentrus bankanensis
270537	Toxotes chatereus	species	Toxotes chatareus
2696653	Blennodon dorsale	species	Blennodon dorsalis
152555	Tripterygion tripteronotus	species	Tripterygion tripteronotum
8201	Lycoduchthys dearborni	species	Lycodichthys dearborni
8262	Pleuronectes platessus	species	Pleuronectes platessa
34830	Galgoides alleni	species	Galago alleni
176015	Aratinga solstitalis	species	Aratinga solstitialis
51904	Deroptyus accitrinus	species	Deroptyus accipitrinus
10177	Georhychus capensis	species	Georychus capensis
480977	Thomomys bottae alienus	subspecies	Thomomys bottae alpinus
10138	Hystrix africaenaustralis	species	Hystrix africaeaustralis
98314	Microtus longicaudatus	species	Microtus longicaudus
79684	Microtus ochragaster	species	Microtus ochrogaster
861760	Coregonus macropthalmus	species	Coregonus macrophthalmus
1266884	Triglops murrayii	species	Triglops murrayi
420384	Chamaeleo ceylanicus	species	Chamaeleo zeylanicus
617163	Chamaeleo hoehnelli	species	Trioceros hoehnelii
38937	Anolis sagraei	species	Anolis sagrei
165754	Geochelone nigro nigrita	subspecies	Chelonoidis niger nigrita
304257	Diodon liturosis	species	Diodon liturosus
303713	Cantherines pullus	species	Cantherhines pullus
721873	Lactophrys trigonis	species	Lactophrys trigonus
102287	Ambystoma tigrinum mavoritum	subspecies	Ambystoma mavortium mavortium
288315	Salamandrella keyserlingi	species	Salamandrella keyserlingii
57550	Ensatina eschscholtzi	species	Ensatina eschscholtzii
57551	Ensatina eschscholtzi croceater	subspecies	Ensatina eschscholtzii croceater
1172168	Lissotriton vulgaris schmidtelrorum	subspecies	Lissotriton vulgaris schmidtlerorum
213852	Neurergus strauchi	species	Neurergus strauchii
164970	Paramesotriton deloustalii	species	Paramesotriton deloustali
148819	Anadara broughtoni	species	Anadara broughtonii
tzRepViol	Reptadoenella violacea	species	Reptadeonella violacea
169116	Ophrytrocha costlowi	species	Ophryotrocha costlowi
169117	Ophrytrocha diadema	species	Ophryotrocha diadema
169118	Ophrytrocha gracilis	species	Ophryotrocha gracilis
169119	Ophrytrocha hartmanni	species	Ophryotrocha hartmanni
169120	Ophrytrocha labronica	species	Ophryotrocha labronica
169121	Ophrytrocha macrovifera	species	Ophryotrocha macrovifera
169122	Ophrytrocha notoglandulata	species	Ophryotrocha notoglandulata
169124	Ophrytrocha puerilis	species	Ophryotrocha puerilis
169125	Ophrytrocha robusta	species	Ophryotrocha robusta
216211	Themiste langeniformis	species	Themiste lageniformis
302034	Allolobophora chloritica	species	Allolobophora chlorotica
515657	Gonionema vertens	species	Gonionemus vertens
57622	Buscyon canaliculatum	species	Busycotypus canaliculatus
1246631	Nassarius fossatus	species	Nassarius dorsatus
2291601	Aricidea cerruti	species	Aricidea cerrutii
273005	Leioscoloplos fragilis	species	Leitoscoloplos fragilis
646008	Scoloplos rubra	species	Leodamas rubra
ttIsoAnnu	Isohypsibius lunulatus	species	Isohypsibius annulatus
101478	Archotoplana holotriche	species	Archotoplana holotricha
6233	Panagrellus redividus	species	Panagrellus redivivus
45464	Teladorsagia cricumcincta	species	Teladorsagia circumcincta
56550	Dugesia benazzi	species	Dugesia benazzii
67583	Procerodes litoralis	species	Procerodes littoralis
1129275	Tresus nuttalli	species	Tresus nuttallii
584776	Tapes rhomboideus	species	Polititapes rhomboides
216095	Leptodrilus atlanticus	species	Lepetodrilus atlanticus
318373	Hyla vasta	species	Osteopilus vastus
2768233	Pangio borneensis	species	Pangio agma
301820	Bathylagus milleri	species	Pseudobathylagus milleri
2724891	Tiaris obscurus	species	Asemospiza obscura
75040	Scatophagus multifasciatus	species	Selenotoca multifasciata
2697108	Forsterygion profundum	species	Matanui profundum
2769046	Grahamina nigripenne	species	Forsterygion nigripenne
166082	Coluber ravergieri	species	Hemorrhois ravergieri
39310	Lacerta galloti	species	Gallotia galloti
766170	Aletes squamigerus	species	Thylacodes squamigerus
