taxon_id	input	rank	suggested
1130410	Phyllosticta citrichinensis	species	Phyllosticta citrichinaensis
2779745	Lachnum tenue	species	Tayloria tenuis
47801	Epichloë baconii	species	Epichloe baconii
35717	Epichloë festucae	species	Epichloe festucae
37885	Rhystidhysteron rufulum	species	Rhytidhysteron rufulum
gpHyaRose	Hyalinia rosella	species	Hyalinia roseola
1319890	Scutellinia ceijpii	species	Scutellinia cejpii
167363	Phellinus ialni	species	Phellinus alni
4876	Glomus intraradice	species	Rhizophagus intraradices
245562	Acidomyces richmondensis	species	Acidomyces sp. 'richmondensis'
85929	Davidiella populorum	species	Sphaerulina musiva
1873960	Mycosphaerella fijiensis	species	Pseudocercospora fijiensis
1047171	Mycosphaerella graminicola	species	Zymoseptoria tritici
64363	Mycosphaerella pini	species	Dothistroma septosporum
215467	Mycosphaerella populicola	species	Sphaerulina populicola
1849801	Lecythophora sp.	species	Coniochaeta sp.
223192	Phaeoacremonium aleophilum	species	Phaeoacremonium minimum
1069201	Aspergillus kawachii	species	Aspergillus luchuensis
41063	Aspergillus zonatus	species	Penicilliopsis zonata
162425	Emericella nidulans	species	Aspergillus nidulans
36630	Neosartorya fischeri	species	Aspergillus fischeri
36649	Penicillium aculeatum	species	Talaromyces aculeatus
37727	Penicillium marneffei	species	Talaromyces marneffei
28574	Penicillium minioluteum	species	Talaromyces minioluteus
1266744	Penicillium purpurogenum	species	Talaromyces purpureogenus
40559	Botryotinia fuckeliana	species	Botrytis cinerea
262103	Ciboria batschiana	species	Sclerotinia pseudotuberosa
1490147	Ciboria bulgarioides	species	Rutstroemia bulgarioides
574167	Cyathicula culmicola	species	Crocicreas culmicola
602037	Dasyscyphus pudibundus	species	Lachnum pudibundum
1888955	Diplocarpa bloxamii	species	Diplocarpa bloxami
1889039	Encoelia fimbriata	species	[Encoelia] fimbriata
1792682	Encoelia fuckelii	species	Xeropilidium dennisii
1792669	Encoelia tiliacea	species	Rutstroemia tiliacea
1265594	Geoglossum glutinosum	species	Glutinoglossum glutinosum
1071713	Hyalopeziza millepunctata	species	Olla millepunctata
1071707	Hyalopeziza pygmaea	species	Hyphopeziza pygmaea
47748	Hyaloscypha aureliella	species	Eupezizella aureliella
2082134	Hyaloscypha britannica	species	Eupezizella britannica
1490151	Hymenoscyphus epiphyllus	species	Phaeohelotium epiphyllum
1825919	Hymenoscyphus rhodoleucus	species	Roseodiscus rhodoleucus
2340723	Lachnum capitatum	species	Incrucipulum capitatum
47805	Lachnum cerinum	species	Neodasyscypha cerina
1436321	Lanzia luteovirescens	species	Rutstroemia luteovirescens
2482752	Meliniomyces bicolor	species	Hyaloscypha bicolor
2482757	Meliniomyces variabilis	species	Hyaloscypha variabilis
2610818	Microscypha ellisii	species	Calycina ellisii
1968694	Parorbiliopsis minuta	species	Hyaloscypha minuta
108571	Pezicula alba	species	Phlyctema vagabunda
2082293	Pezoloma ericae	species	Hyaloscypha hepaticicola
149040	Phialocephala scopiformis	species	Mollisia scopiformis
1490168	Poculum firmum	species	Rutstroemia firma
1033655	Psilachnum chrysostigmum	species	Pezizella chrysostigma
2705607	Pyrenopeziza benesuada	species	Mollisia benesuada
1436886	Sclerotinia homoeocarpa	species	Clarireedia homoeocarpa
186294	Tapesia fusca	species	Mollisia fusca
1071721	Unguicularia carestiana	species	Urceolella carestiana
398408	Acremonium alcalophilum	species	Sodiomyces alcalophilus
1053256	Cosmospora purtonii	species	Stylonectria purtonii
71617	Elaphocordyceps ophioglossoides	species	Tolypocladium ophioglossoides
117187	Gibberella moniliformis	species	Fusarium verticillioides
5518	Gibberella zeae	species	Fusarium graminearum
29875	Gliocladium virens	species	Trichoderma virens
1490982	Hypocrea citrina	species	Trichoderma citrinum
29862	Hypocrea pallida	species	Protocrea pallida
1491004	Hypocrea pulvinata	species	Trichoderma pulvinatum
115235	Nectria cosmariospora	species	Cosmospora coccinea
1053090	Nectria episphaeria	species	Dialonectria episphaeria
169388	Nectria haematococca	species	Fusarium solani
5047	Neotyphodium coenophialum	species	Epichloe coenophiala
335852	Apiospora montagnei	species	Arthrinium arundinis
31870	Glomerella graminicola	species	Colletotrichum graminicola
148305	Magnaporthe grisea	species	Pyricularia grisea
318829	Magnaporthe oryzae	species	Pyricularia oryzae
63400	Arthroderma benhamiae	species	Trichophyton benhamiae
1892477	Ophiostoma epigloeum	species	Sporothrix epigloea
352980	Coprobia granulata	species	Cheilymenia granulata
1616745	Kotlabaea deformis	species	Byssonectria deformis
62758	Mitrophora semilibera	species	Morchella semilibera
90806	Peziza cerea	species	Peziza varia
1206357	Peziza jungermanniae	species	Mniaecia jungermanniae
90806	Peziza micropus	species	Peziza varia
2806344	Peziza succosa	species	Paragalactinia succosa
2831873	Peziza violacea	species	Geoscypha violacea
51141	Sarcoscypha jurana	species	Sarcoscypha emarginata
2508941	Underwoodia fuegiana	species	Geomorium fuegianum
5016	Cochliobolus heterostrophus	species	Bipolaris maydis
45130	Cochliobolus sativus	species	Bipolaris sorokiniana
13684	Phaeosphaeria nodorum	species	Parastagonospora nodorum
93612	Setosphaeria turcica	species	Exserohilum turcicum
13684	Stagonospora nodorum	species	Parastagonospora nodorum
85948	Verruculina enalia	species	Didymosphaeria enalia
33169	Ashbya gossypii	species	Eremothecium gossypii
51930	Candida caseinolytica	species	Tortispora caseinolytica
5478	Candida glabrata	species	[Candida] glabrata
4909	Candida krusei	species	Pichia kudriavzevii
36911	Candida lusitaniae	species	Clavispora lusitaniae
2315449	Candida tenuis	species	Yamadazyma tenuis
45286	Holleya sinecauda	species	Eremothecium sinecaudum
4914	Kluyveromyces waltii	species	Lachancea waltii
4920	Pichia sorbitophila	species	Millerozyma farinosa
27292	Saccharomyces carlsbergensis	species	Saccharomyces pastorianus
2587404	Cladorrhinum bulbillosum	species	Podospora bulbillosa
78579	Myceliophthora thermophila	species	Thermothelomyces thermophilus
1450529	Thielavia antarctica	species	Trichocladium antarcticum
2587402	Thielavia appendiculata	species	Parathielavia appendiculata
2609790	Thielavia arenaria	species	Canariomyces arenarius
