taxon	est_size_mb	length_mb
134920	381	481
986984	493	507
2922911	NA	1501
987924	721	775
1660644	672	678
1209621	297	302
10090	NA	2771
987956	463	464
226178	571	612
101497	NA	1044
439567	729	750
753179	515	520
1209993	681	707
1100908	625	625
8260	525	598
347754	620	625
1660681	536	539
82619	543	541
572802	625	664
3213	188	412
1484357	754	798
66205	645	614
1053395	379	342
260603	476	403
249532	508	1099
29695	889	849
33127	618	541
97023	546	517
143172	NA	1905
473050	439	341
38846	355	293
76502	497	494
234461	724	707
57917	287	280
3517	476	459
351486	NA	132
92598	736	745
197152	176	193
2795681	986	983
178772	662	296
260537	NA	1176
1219160	214	244
95463	550	528
2026310	NA	1169
33397	183	186
28469	508	568
43337	NA	1120
478167	491	672
3972	NA	99471
295837	678	287
100756	44	43
5323	57	54
601523	317	312
368781	465	484
2884232	875	957
875886	NA	1081
1918144	750	885
559647	569	576
1587206	318	374
468725	430	451
931518	832	900
1262473	195	216
2690816	418	446
2867258	605	932
226170	312	367
77129	188	231
1692350	279	344
2566309	569	642
1431430	375	403
1190801	447	445
347362	472	480
2588525	NA	1292
2721518	614	654
1100958	901	947
198718	306	198
7283	169	231
7221	143	184
165100	551	566
2881975	832	879
2881606	515	552
126867	NA	1279
1689122	472	463
795047	645	637
988069	845	858
78070	34	38
1190803	517	584
577144	117	131
2014018	394	528
224256	341	390
1918131	825	856
468752	170	202
199064	355	410
100830	984	1013
2484550	471	343
285223	303	295
346762	520	516
50603	449	471
3501	985	458
1387116	515	599
226160	NA	1127
48721	399	451
2867102	194	255
1190795	378	355
326039	52	74
7660	450	619
176009	50	53
2849646	404	418
572776	422	429
1870628	591	631
987427	672	714
2884240	264	284
494771	212	227
1502335	508	532
452744	206	186
71717	50	52
131627	670	640
1553241	166	186
161101	254	550
987991	722	737
1301332	37	40
505957	655	640
75506	NA	988
6055	416	258
248243	374	465
2823188	203	212
594017	680	602
362106	220	280
601849	274	275
1384908	221	263
1126404	288	342
65333	656	581
511597	707	717
1411665	454	525
2884231	263	280
34676	698	784
1124511	387	467
877828	656	723
712039	553	659
1266491	836	910
2718756	223	284
226135	552	804
1717430	269	280
2867263	628	698
1649775	372	380
273447	414	416
2849643	589	588
1226606	646	731
203813	344	324
1553715	452	486
6116	367	397
2886755	761	882
1118640	407	414
1271715	604	636
1446181	559	642
52734	281	312
2803876	469	445
2881124	692	733
2753613	403	792
270614	660	757
218773	492	569
298138	124	151
279420	448	465
1776468	620	712
1091424	609	663
5804	45	53
1870047	608	650
289389	NA	160
446425	935	688
27704	NA	1489
141258	991	940
1384894	222	249
1255758	243	242
2776060	379	390
987009	324	327
8284	NA	1128
41107	431	474
877844	691	682
572725	NA	1119
7373	672	735
269649	NA	2396
283834	387	414
601583	133	318
878397	365	367
105251	602	615
876078	536	545
1594360	408	441
72669	302	321
2741129	NA	1327
3900	548	500
97021	366	681
446452	NA	1290
333879	NA	1679
431183	123	138
753153	565	585
446415	469	674
131577	801	696
48744	NA	2829
170843	408	404
355208	578	621
559701	NA	1598
336583	NA	3567
247442	905	925
6398	NA	1241
878440	887	951
307131	711	751
88508	408	464
2567736	546	582
2567738	510	567
473354	710	885
206093	NA	1398
348443	464	NA
217509	NA	1690
146480	684	764
37639	NA	11850
116142	NA	15065
41492	NA	949
1060938	485	640
313096	NA	5860
4123	NA	1066
376124	NA	2865
193516	NA	967
123417	441	459
53159	830	800
38787	375	490
128002	NA	5011
65561	397	402
169241	921	491
1053350	547	281
169223	NA	3323
465489	621	390
223681	216	244
1587122	462	453
88504	419	441
88504	430	396
601640	253	270
1905387	277	291
2881813	549	528
346868	597	533
1779456	124	302
65311	234	NA
2054275	72	80
2864184	44	77
2966	191	230
157483	34	NA
84072	697	NA
2809012	571	219
125585	NA	1672
312760	412	363
91168	425	306
3882	581	719
57932	568	538
374711	275	548
191669	274	399
318445	325	310
860203	386	455
1053398	268	483
165094	552	1093
240680	449	390
245335	419	449
60093	783	673
644184	378	655
234466	375	356
114204	346	404
186058	482	591
238501	891	999
47085	641	563
80891	327	561
4039	485	468
109996	524	532
4166	559	432
23211	520	490
475003	467	696
544475	371	334
4298	821	806
70131	433	468
398450	199	322
59985	285	803
55777	NA	2697
100465	380	418
119177	NA	3293
69996	255	260
69996	147	NA
55501	NA	958
230724	461	476
99497	856	NA
152947	51	55
105696	37	39
176793	37	73
2219007	33	35
1032817	47	147
117055	36	40
1169566	45	142
908347	29	43
264083	47	141
1971315	628	676
146840	577	609
1088609	319	555
2884248	342	405
601518	149	312
601768	324	308
1539394	713	731
2884234	635	653
2922074	416	408
2922075	416	390
1889570	201	218
88523	412	468
544954	198	220
2964683	494	729
30202	263	302
32260	279	280
2867249	269	260
1747324	671	392
2494894	221	253
662494	234	300
1384895	213	225
1126396	552	570
88532	401	552
1518028	200	229
118624	519	588
558720	608	725
140242	850	90
50207	712	1159
75704	739	814
219664	NA	859
