Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Diphasiastrum alpinum,Diphasiastrum alpinum,1,Lycopodiaceae,Alpine Clubmoss,592,Common,,c.48,46,,P,3.76,3.76,1,native,,,,,,,,,,,,,Y,Diphasiastrum alpinum,1,Lycopodiaceae,,1,,
Huperzia selago,Huperzia selago,1,Lycopodiaceae,Fir Clubmoss,1161,Abundant,,>260,272,,P,8.655012212,8.655012212,1,native,,,,,,,Y,,,,,,Y,Huperzia selago,1,Lycopodiaceae,,,,
Lycopodiella inundata,Lycopodiella inundata,1,Lycopodiaceae,Marsh Clubmoss,252,Common,,156,,,P,8.358253322,8.358253322,1,native,,,,,,,,,,,,,Y,Lycopodiella inundata,1,Lycopodiaceae,,,,
Lycopodium annotinum,Lycopodium annotinum,1,Lycopodiaceae,Interrupted Clubmoss,171,Infrequent,,68,,,P,4.339935699,4.339935699,1,native,,,,,,,,,,,,,,Lycopodium annotinum,1,Lycopodiaceae,,,,
Lycopodium clavatum,Lycopodium clavatum,1,Lycopodiaceae,Stag's-horn Clubmoss,1024,Abundant,,68,,,P,3.1,3.1,1,native,,,,,,,Y,,,,,,Y,Lycopodium clavatum,1,Lycopodiaceae,1,,,
Lycopodium lagopus,Lycopodium lagopus,1,Lycopodiaceae,Hare's-foot Clubmoss,No info,Very rare,,,,,P,,,,native,,,,,,,,,,,,,,Lycopodium lagopus,1,Lycopodiaceae,,,,
Selaginella selaginoides,Selaginella selaginoides,2,Selaginellaceae,Lesser Clubmoss,1285,Abundant,,18,,,P,,,,native,,,,,,,Y,,,,,,Y,Selaginella selaginoides,2,Selaginellaceae,1,,,
Isoetes echinospora,Isoetes echinospora,3,Isoetaceae,Spring Quillwort,217,Infrequent,,22,,,P,3.852242856,3.852242856,1,native,,,,,,,,,,,,,,Isoetes echinospora,3,Isoetaceae,,1,,
Isoetes histrix,Isoetes histrix,3,Isoetaceae,Land Quillwort,8,Very rare,,20,,,P,,,,native,,,,,,,,,,,,,,Isoetes histrix,3,Isoetaceae,,,,
Isoetes lacustris,Isoetes lacustris,3,Isoetaceae,Quillwort,669,Common,,110,,,P,11.1136851,11.1136851,1,native,,,,,,,,,,,,,Y,Isoetes lacustris,3,Isoetaceae,,1,,
Botrychium lunaria,Botrychium lunaria,4,Ophioglossaceae,Moonwort,1242,Abundant,,90,,,P,12.12419479,12.12419479,1,native,,,,,,,Y,,,,,,Y,Botrychium lunaria,4,Ophioglossaceae,1,,,
