Order	Family	Genus	species	Sexual System	Karyotype	Genotypic	Haplodiploidy	Predicted ploidy	Chromosome_number_female_2N	Chromosome_number_male_2N
Acariformes	Acaridae	Acarus	siro	gonochorous	XO				18	
Acariformes	Acaridae	Acotyledon	formosani	parthenogenetic						
Acariformes	Acaridae	Caloglyphus	berlesei	gonochorous	XO				18	
Acariformes	Acaridae	Caloglyphus	michaeli	gonochorous	XO				16	
Acariformes	Acaridae	Caloglyphus	mycophagus	gonochorous	XO				16	
Acariformes	Acaridae	Rhizoglyphus	echinopus	gonochorous	XY				10	
Acariformes	Acaridae	Rhizoglyphus	robini	gonochorous						
Acariformes	Acaridae	Sancassania	berlesei	gonochorous	XO				18	
Acariformes	Acaridae	Sancassania	michaeli	gonochorous	XO				16	
Acariformes	Acaridae	Sancassania	mycophaga	gonochorous	XO				16	
Acariformes	Acaridae	Sapracarus	sp.	parthenogenetic						
Acariformes	Acaridae	Sapracarus	tuberculalUs	parthenogenetic						
Acariformes	Acaridae	Schwiebea	elongata	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.1	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.2	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.3	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.4	parthenogenetic						
Acariformes	Acaridae	Tyrophagus	casei	gonochorous	XY				10	
Acariformes	Acaridae	Tyrophagus	neiswanderi	gonochorous	XY				12	
Acariformes	Acaridae	Tyrophagus	palmarum	gonochorous	XO				16	
Acariformes	Acaridae	Tyrophagus	putrescentiae	gonochorous	XO				16	
Acariformes	Achipteriidae	Achipteria	coleoptrata	gonochorous						
Acariformes	Achipteriidae	Achipteria	punctata	gonochorous					18	
Acariformes	Achipteriidae	Achipteria	species	gonochorous						
Acariformes	Achipteriidae	Anachipteria	species	gonochorous						
Acariformes	Anystidae	Anystis	baccarum	parthenogenetic						
Acariformes	Anystidae	Anystis	salicinus	parthenogenetic						
Acariformes	Arrenuridae	Arrenurus	bicuspidator	gonochorous					20	
Acariformes	Arrenuridae	Arrenurus	caudatus	gonochorous					26	
Acariformes	Arrenuridae	Arrenurus	maculata	gonochorous					20	
