Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Sapindales	Sapindaceae	Acer	acuminatum	Wall. ex D.Don				dioecy		tree	0;0;2								
Sapindales	Sapindaceae	Acer	albopurpurascens	Hayata						tree									
Sapindales	Sapindaceae	Acer	albopurpurascens × buergerianum		var. formosanum		1												
Sapindales	Sapindaceae	Acer	amamiense	T.Yamaz.															
Sapindales	Sapindaceae	Acer	amplum	Rehder						tree	0;0;1								
Sapindales	Sapindaceae	Acer	argutum	Maxim. ex Miq.				dioecy			0;0;2								
Sapindales	Sapindaceae	Acer	barbinerve	Maxim. ex Miq.				dioecy		tree|shrub	0;0;5				26;26	26			
Sapindales	Sapindaceae	Acer	brachystephyanum	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	buergerianum		subsp. buergerianum														
Sapindales	Sapindaceae	Acer	buergerianum		var. formosanum														
Sapindales	Sapindaceae	Acer	buergerianum	Miq.		(trident maple)				tree	0;0;8								
Sapindales	Sapindaceae	Acer	caesium		subsp. caesium														
Sapindales	Sapindaceae	Acer	caesium	(Pax) A.E.Murray	subsp. giraldii														
Sapindales	Sapindaceae	Acer	caesium	Wall. ex Brandis						tree	0;0;2		13;13+1-2B	13	26	26			
Sapindales	Sapindaceae	Acer	calcaratum	Gagnep.						tree									
Sapindales	Sapindaceae	Acer	caloneurum	C.Y.Wu & T.Z.Hsu															
Sapindales	Sapindaceae	Acer	campbellii		subsp. campbellii														
Sapindales	Sapindaceae	Acer	campbellii	(Rehder) A.E.Murray	subsp. flabellatum			monoecy											
Sapindales	Sapindaceae	Acer	campbellii	(Pax) P.C.DeJong	subsp. sinense			monoecy											
Sapindales	Sapindaceae	Acer	campbellii	Hook.f. & Thomson ex Hiern						tree	0;0;3		13	13					
Sapindales	Sapindaceae	Acer	campestre	L.		(hedge maple)		monoecy		tree	0;0;21		13	13	26;26;26;26;26;26;26	26			
Sapindales	Sapindaceae	Acer	capillipes	Maxim. ex Miq.				other			0;0;1								
Sapindales	Sapindaceae	Acer	cappadocicum		subsp. cappadocicum														
Sapindales	Sapindaceae	Acer	cappadocicum	(Rehder) Hand.-Mazz.	subsp. sinicum														
Sapindales	Sapindaceae	Acer	cappadocicum	W.P.Fang	var. brevialatum														
Sapindales	Sapindaceae	Acer	cappadocicum	Gled.				monoecy		tree	0;0;2								
Sapindales	Sapindaceae	Acer	carpinifolium	Siebold & Zucc.		(hornbeam maple)		dioecy			0;0;2				52	52			
Sapindales	Sapindaceae	Acer	caudatifolium	Hayata						tree									
Sapindales	Sapindaceae	Acer	caudatum	(Maxim.) A.E.Murray	subsp. multiserratum														
Sapindales	Sapindaceae	Acer	caudatum	(Trautv. & C.A.Mey.) E.Murray	subsp. ukurundense			monoecy		tree|shrub									
Sapindales	Sapindaceae	Acer	caudatum	Wall.						tree	0;0;2		13	13					
Sapindales	Sapindaceae	Acer	ceriferum	Rehder						tree	0;0;1								
Sapindales	Sapindaceae	Acer	chapaense	Gagnep.															
Sapindales	Sapindaceae	Acer	chiangdaoense	Santisuk															
Sapindales	Sapindaceae	Acer	chienii	Hu & W.C.Cheng						tree									
Sapindales	Sapindaceae	Acer	cinerascentiforme	Pojark.															
Sapindales	Sapindaceae	Acer	cinnamomifolium	Hayata															
Sapindales	Sapindaceae	Acer	circinatum	Pursh		(vine maple)		monoecy			0;0;12								
Sapindales	Sapindaceae	Acer	cissifolium	(Siebold & Zucc.) K.Koch				dioecy			0;0;2								
Sapindales	Sapindaceae	Acer	confertifolium	Merr. & F.P.Metcalf						tree|shrub									
Sapindales	Sapindaceae	Acer	cordatum	Pax						tree	0;0;1								
Sapindales	Sapindaceae	Acer	coriaceifolium	H.Lév.						tree									
Sapindales	Sapindaceae	Acer	crassum	Hu & W.C.Cheng						tree									
Sapindales	Sapindaceae	Acer	crataegifolium	Siebold & Zucc.		(hawthorn maple)		other			0;0;2								
Sapindales	Sapindaceae	Acer	davidii		subsp. davidii			monoecy											
Sapindales	Sapindaceae	Acer	davidii	(Pax) ined.	subsp. grosseri			other											
Sapindales	Sapindaceae	Acer	davidii	Franch.						tree	0;0;4				26	26			
Sapindales	Sapindaceae	Acer	decandrum	Merr.							0;0;5								
Sapindales	Sapindaceae	Acer	diabolicum	Blume ex K.Koch				dioecy			0;0;2								
Sapindales	Sapindaceae	Acer	discolor	Maxim.															
Sapindales	Sapindaceae	Acer	distylum	Siebold & Zucc.				monoecy			0;0;2								
Sapindales	Sapindaceae	Acer	divergens	K.Koch ex Paxton															
Sapindales	Sapindaceae	Acer	duplicatoserratum	Hayata						tree									
Sapindales	Sapindaceae	Acer	elegantulum	W.P.Fang & P.L.Chiu						tree									
Sapindales	Sapindaceae	Acer	emeiense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	erianthum	Schwer.				monoecy		tree|shrub	0;0;5								
