Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Acanthocheilonema viteae	6277		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Acuaria spiralis		revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	12	2	XX/X0	m/f			28
Anguina agrostis	165870		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2					66
Anguina graminophila			CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2					66
Anguina paludicola	1859146		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2					67
Aphelenchoides besseyi	269767		CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		m/f			68
Aphelenchoides composticola	1510644		CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	8	2		m/f			69
Aphelenchoides fragrariae			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	8	2		m/f			69
Aphelenchoides tuzeli			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		p			69
Aphelenchus avenae	70226		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	16	2				18	70
Ascaridia compar	544313	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	10	2					71
Ascaridia dissimilis			CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	10	2	XX/X0	m/f			72
Ascaridia galli	46685		CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2	XX/X0	m/f		8	26
Ascaris lumbricoides	6252		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	48	2	X5X5/X50	m/f	yes+12		28
Ascaris suum	6253		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	48	2	X5X5/X50	m/f			28
Aspiculuris tetraptera	451377		CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	12	2	h-d	m/f			40
Auanema rhodensis	473160		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2	XX/X0	m/f/h			73
Baylisascaris transfuga	6260		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	36	2					71
Belonolaimus longicaudatus	57562		CHROMADOREA	RHABDITIDA	TYLENCHINA	BELONOLAIMIDAE	16	2					74
Brugia malayi	6279		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Brugia pahangi	6280		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Bursaphelenchus xylophilus	6326		CHROMADOREA	RHABDITIDA	TYLENCHINA	PARASITAPHELENCHIDAE	12	2		m/f			75
Cactodera weissi	101276	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Caenorhabditis briggsae	6238		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h			77
Caenorhabditis elegans	6239		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h			77
Caenorhabditis japonica	281687		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h			77
Caenorhabditis remanei	31234		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/f			77
Camallanus baylisi			CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	10	2	XX/X0	m/f			78
Camallanus lacustris	378086		CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	12	2					26
Contracaecum spiculigerum	292499		CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	16	2	XX/X0	m/f		10	27
Cosmocerca kashmirensis			CHROMADOREA	RHABDITIDA	SPIRURINA	COSMOCERCIDAE	16	2					32
Cruzia tentaculata	2689298		CHROMADOREA	RHABDITIDA	SPIRURINA	KATHLANIIDAE	12	2	XX/X0	m/f			79
Cucullanus elegans			CHROMADOREA	RHABDITIDA	SPIRURINA	CUCULLANIDAE	12	2					27
Cystidicola cristiwomeri			CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	12	2	XX/X0	m/f			80
Cystidicola farionis	214005		CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	12	2	XX/X0	m/f			26
Cystidicola stigmatura	214006		CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	12	2	XX/X0	m/f			80
Dictyocaulus filaria	44603		CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	12	2	XX/X0	m/f			26
Dictyocaulus viviparus	29172		CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	12	2	XX/X0	m/f			26
Dipetalonema setariosum			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Diploscapter coronatus	288516		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			81
Diploscapter lycostoma	367193		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			42
Diploscapter pachys	2018661		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			42
Diploscapter sp. 2 JU359		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			42
Dirofilaria immitis	6287		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/X0	m/f		12	41
Dispharynx nasuta	2710681	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	12	2	XX/X0	m/f			27
Ditylenchus destructor	166010		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	48	2		m/f		44	48
Ditylenchus dipsaci	166011		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	24	2		m/f		12, 16, 36, 38, 44, 46, 48, 52, 54, 56	49
Ditylenchus gigas	989177		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	60	2		m/f		48, 50, 54	53
Filaroides mustelarum			CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	16	2					26
Foleyella agamae			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2					82
Ganguleterakis spumosa			CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	12	2					27
Globodera mexicana	182293	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Globodera pallida	36090		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2					83
