"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation",Ploidy,Chrnum,Haploid_autosome_num,Sex_chromosomes,estimated_haploid
"Coleoptera","Adephaga","Carabidae","Abacetus salzamanni","Sexual diplodiploidy","2n=41M 20+XO","XO",NA,"","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)",2,41,20,XO,21/20
"Coleoptera","Adephaga","Carabidae","Abax ater","Sexual diplodiploidy","2n=35M","",NA,"","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)",2,35,,,
"Coleoptera","Adephaga","Carabidae","Abax ovalis","Sexual diplodiploidy","2n=35M","",NA,"","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)",2,35,,,
"Coleoptera","Adephaga","Carabidae","Abax parallelepipedus","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Abax parallelus","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Acinopus giganteus","","2n=37M","",NA,"","","Serrano and Galian (1998)",2,37,,,
"Coleoptera","Adephaga","Carabidae","Acinopus gutturosus","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Galian (1998)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Acinopus picipes","Sexual diplodiploidy","2n=37M","",NA,"","","Serrano and Yadav (1984)",2,37,,,
"Coleoptera","Adephaga","Carabidae","Acupalpus brunnipes","","2n=45M","",NA,"","","Serrano and Galian (1998)",2,45,,,
"Coleoptera","Adephaga","Carabidae","Acupalpus elegans","Sexual diplodiploidy","2n=22M 10+XY","XY",NA,"","","Rudek (1992)",2,22,10,XY,11/11
"Coleoptera","Adephaga","Carabidae","Acupalpus maculatus","","2n=39M","",NA,"","","Serrano and Galian (1998)",2,39,,,
"Coleoptera","Adephaga","Carabidae","Agonini sp. 1","Sexual diplodiploidy","2n=30M","",NA,"","","Serrano and Yadav (1984)",2,30,,,
"Coleoptera","Adephaga","Carabidae","Agonini sp. 2","Sexual diplodiploidy","2n=36M","",NA,"","","Serrano and Yadav (1984)",2,36,,,
"Coleoptera","Adephaga","Carabidae","Agonum bogemanni","Sexual diplodiploidy","2n=36M 17+NeoXY","NeoXY",NA,"","","Serrano and Yadav (1984)",2,36,17,NeoXY,18/18
"Coleoptera","Adephaga","Carabidae","Agonum corvus","","2n=39M","",NA,"","","Serrano and Galian (1998)",2,39,,,
"Coleoptera","Adephaga","Carabidae","Agonum cupripenne","Sexual diplodiploidy","2n=36M 17+NeoXY","NeoXY",NA,"","","Serrano and Yadav (1984)",2,36,17,NeoXY,18/18
"Coleoptera","Adephaga","Carabidae","Agonum dolens","Sexual diplodiploidy","2n=39M 19+XO","XO",NA,"","","Serrano and Yadav (1984)",2,39,19,XO,20/19
"Coleoptera","Adephaga","Carabidae","Agonum ericeti","Sexual diplodiploidy","2n=34M 16+XY","XY",NA,"","","Serrano and Yadav (1984)",2,34,16,XY,17/17
"Coleoptera","Adephaga","Carabidae","Agonum errans","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum extensicolle","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Galian (1998)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum fuliginosum","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum gracile","","2n=35-36M","",NA,"","","Serrano and Galian (1998)",2,35/36,,,
"Coleoptera","Adephaga","Carabidae","Agonum livens","Sexual diplodiploidy","2n=43M 21+XO","XO",NA,"","","Serrano and Yadav (1984)",2,43,21,XO,22/21
"Coleoptera","Adephaga","Carabidae","Agonum margitum","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum micans","","2n=35M","",NA,"","","Serrano and Galian (1998)",2,35,,,
"Coleoptera","Adephaga","Carabidae","Agonum moestum","Sexual diplodiploidy","2n=34M 16+XY","XY",NA,"","","Serrano and Yadav (1984)",2,34,16,XY,17/17
"Coleoptera","Adephaga","Carabidae","Agonum moestum longipenne","Sexual diplodiploidy","2n=34M 16+XY","XY",NA,"","","Serrano and Yadav (1984)",2,34,16,XY,17/17
"Coleoptera","Adephaga","Carabidae","Agonum muelleri","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum munsteri","Sexual diplodiploidy","2n=36M 17+XY","XY",NA,"","","Serrano and Yadav (1984)",2,36,17,XY,18/18
"Coleoptera","Adephaga","Carabidae","Agonum nigrum","Sexual diplodiploidy","2n=34M 16+XY","XY",NA,"","","Serrano and Yadav (1984)",2,34,16,XY,17/17
"Coleoptera","Adephaga","Carabidae","Agonum retractum","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum sexpunctatum","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum sp. 1","Sexual diplodiploidy","2n=37M","",NA,"","","Serrano and Yadav (1984)",2,37,,,
"Coleoptera","Adephaga","Carabidae","Agonum sp. 2","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Agonum thoreyi","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Serrano and Yadav (1984)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Agonum thoreyi melanocephalus","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Serrano and Yadav (1984)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Agonum viridicupreum","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Galian (1998)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Amara aenea","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Serrano and Yadav (1984)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Amara apricaria","Sexual diplodiploidy","2n=33M 16+XO","XO",NA,"","","Serrano and Yadav (1984)",2,33,16,XO,17/16
"Coleoptera","Adephaga","Carabidae","Amara arcuata","","2n=37M","",NA,"","","Serrano and Galian (1998)",2,37,,,
"Coleoptera","Adephaga","Carabidae","Amara aulica","Sexual diplodiploidy","2n=33M","",NA,"","","Serrano and Yadav (1984)",2,33,,,
"Coleoptera","Adephaga","Carabidae","Amara batesi","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Galian (1998)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Amara communis","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Amara equestris","","2n=30F","",NA,"","","Serrano and Galian (1998)",2,30,,,
"Coleoptera","Adephaga","Carabidae","Amara familiaris","Sexual diplodiploidy","2n=34M 16+NeoXY","NeoXY",NA,"","","Serrano and Yadav (1984)",2,34,16,NeoXY,17/17
"Coleoptera","Adephaga","Carabidae","Amara familiaris","Sexual diplodiploidy","2n=33M 16+XO","XO",NA,"","","Serrano and Yadav (1984)",2,33,16,XO,17/16
"Coleoptera","Adephaga","Carabidae","Amara fervida","Sexual diplodiploidy","2n=33M 16+XO","XO",NA,"","","Serrano and Galian (1998)",2,33,16,XO,17/16
"Coleoptera","Adephaga","Carabidae","Amara fulva","Sexual diplodiploidy","2n=35M/2n=36F 17+XO","XO",NA,"","","Serrano and Galian (1998)",2/2,35/36,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Amara giganteus","Sexual diplodiploidy","2n=41M 20+XO","XO",NA,"","","Serrano and Yadav (1984)",2,41,20,XO,21/20
"Coleoptera","Adephaga","Carabidae","Amara impuncticollis","Sexual diplodiploidy","2n=34M","",NA,"","","Serrano and Yadav (1984)",2,34,,,
"Coleoptera","Adephaga","Carabidae","Amara ingenua","Sexual diplodiploidy","2n=37M/2n=38F 18+XO","XO",NA,"","","Serrano and Galian (1998)",2/2,37/38,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Amara laevipennis","Sexual diplodiploidy","2n=32M 15+NeoXY","NeoXY",NA,"","","Serrano and Yadav (1984)",2,32,15,NeoXY,16/16
"Coleoptera","Adephaga","Carabidae","Amara metallescens","","2n=21M","",NA,"yes","","Serrano and Galian (1998)",2,21,,,
