"Phylum","Class","Order","Family","Genus","Species","2N","N","Reference"
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Echinorhynchus","Echinorhyncus proteus","8","4","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdella","Herpobdella bistriata","18","9","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdella","Nephelis vulgaris","16","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora foetida","22","11","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora icterica","32","16","Gregory, T. R. and Hebert, P. D. N. (2002). Genome size estimates for some oligochaete annelids. Canadian Journal of Zoology 80: 1485-1489."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora terrestris","36","18","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora veneta","36","18","Makino, S. (1951). An atlas of the chromosome numbers in animals. An atlas of the chromosome numbers in animals; Gregory, T. R. and Hebert, P. D. N. (2002). Genome size estimates for some oligochaete annelids. Canadian Journal of Zoology 80: 1485-1489."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Dendrobaena","Dendrobaena subrubicunda","68","34","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Eisenia","Eisenia veneta","36","18","Vitturi, R., M. S. Colomba, A. Pirrone, and Libertini A. (2000). Physical mapping of rDNA genes, (TTAGGG)n telomeric sequence and other karyological features in two earthworms of the family Lumbricidae Annelida: Oligochaeta). Heredity 85: 203-207."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Eiseniella","Eiseniella faetida","22","11","Gregory, T. R. and Hebert, P. D. N. (2002). Genome size estimates for some oligochaete annelids. Canadian Journal of Zoology 80: 1485-1489; Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
