taxon_id	input	rank	suggested
	Echinorhyncus proteus	species	echinorynchus proteus	echinorhynchus proteus
6396	Eiseniella faetida	species	Eisenia fetida
302032	Enterion cyaneum	species	Aporrectodea caliginosa
1079899	Tomopteris elegans	species	Tomopterna elegans
29934	Agalena opulenta	species	Allagelena opulenta
1907035	Philodromus laevipes	species	Philodromus margaritatus
	Philodromus roseus	species	ophiodromus roseus
336685	Tibellus ablongus	species	Tibellus oblongus
2527844	Sancassania berlesi	species	Sancassania berlesei
1827023	Argas zumpti	species	Ogadenus brumpti
34620	Dermacentor anderson	species	Dermacentor andersoni
224535	Ornithonysus	genus	Ornithonyssus
224536	Ornithonysus sylviarum	species	Ornithonyssus sylviarum
50030	Tetranychus neocalendonicus	species	Tetranychus neocaledonicus
1967476	Ananteris balzanii	species	Ananteris balzani
2796863	Neumania vemalis	species	Neumania vernalis
478652	Branchipus vernalis	species	Eubranchipus vernalis
4726	Pandarus sinuatus	species	Pandanus tectorius
6982	Blaberus cranifer	species	Blaberus craniifer
36959	Phortioica phoraspoides	species	Phortioeca phoraspoides
	Lupparia	genus	lepraria	lutraria	lopharia
63624	Blattella litoricollis	species	Blattella lituricollis
1507048	Kalotermes convexus	species	Neotermes connexus
878088	Ernobius mollis_	species	Ernobius mollis
	Gibbium psylloides_	species	gibbium psylloides	gibbium psylliodes
295660	Lasioderma serricorne_	species	Lasioderma serricorne
icPtiClav	Ptinus clavipes_	species	Ptinus clavipes
1553692	Ptinus villiger_	species	Ptinus villiger
295656	Stegobium paniceum_	species	Stegobium paniceum
2680750	Notoxus calcaratus_	species	Notoxus calcaratus
	Notoxus constrictus_	species	notozus constrictus	notoxus constrictus
1468588	Notoxus monodon_	species	Notoxus monodon
251759	Araecerus fasciculatus_	species	Araecerus fasciculatus
1661878	Euparius marmoreus_	species	Euparius marmoreus
638814	Ptychoderes tricostifrons_	species	Ptychoderes tricostifrons
284700	Acrossus	genus	Dicrossus
	Agolius	genus	aegolius	agorius	anolius
75361	Chilothorax	genus	Schizothorax
	Colobopterus	genus	chloropterus	dilobopterus	colopterus
1415215	Nimbus	genus	Niveus
201766	Apoderus coryli_	species	Apoderus coryli
207440	Byctiscus congener	species	Agabus congener
1515506	Euops punctatostriata	species	Sawadaeuops punctatostriatus
1515466	Euops splendida	species	Euops splendidus
1342021	Hypera viciae_	species	Hypera viciae
202010	Larinus sturnus_	species	Larinus sturnus
1049281	Liophloeus lentus_	species	Liophloeus lentus
1825281	Liparus glabrirostris_	species	Liparus glabrirostris
558398	Phymatapoderus latipennis	species	Phymatopoderus latipennis
	Pissodes notatus_	species	pissodes notatus
92692	Rhizopertha dominica_	species	Rhyzopertha dominica
	Brentus anchorago_	species	brentus anchorago	brenthus anchorago
2680185	Brentus mexicanus_	species	Brentus mexicanus
1341964	Ceratapion austriacum_	species	Ceratapion austriacum
667107	Ceratapion penetrans_	species	Ceratapion penetrans
197179	Cylas formicarius_elegantulus	species	Cylas formicarius
2490437	Eutrichapion melancholicum_	species	Eutrichapion melancholicum
202047	nophyes marmoratus_	species	Nanophyes marmoratus
1501880	Oxystoma cerdo_	species	Oxystoma cerdo
202169	Rhopalapion longirostre_	species	Rhopalapion longirostre
878992	Squamapion flavimanum_	species	Squamapion flavimanum
324822	Agrilus angustulus_	species	Agrilus angustulus
663552	Agrilus anxius_	species	Agrilus anxius
1762822	Agrilus araxenus_	species	Agrilus araxenus
1709566	Agrilus liragus_	species	Agrilus liragus
1586976	Agrilus obscuricollis_	species	Agrilus obscuricollis
324817	Anthaxia bicolor_	species	Anthaxia nitidula
333852	Anthaxia hungarica_	species	Anthaxia hungarica
1587027	Anthaxia podolica_	species	Anthaxia podolica
1587191	Buprestis fasciata_	species	Coraebus fasciatus
	Capnodis tenebrionis_	species	capnodis tenebrionis
365789	Castiari adelaidae_	species	Castiarina adelaidae
365791	Castiari rufipennis_	species	Castiarina rufipennis
1580626	Castiari simulata_	species	Castiarina simulata
1029724	Chrysobothris dentipes_	species	Chrysobothris dentipes
1029723	Chrysobothris floricola_	species	Chrysobothris cribraria
1166677	Coraebus rubi_	species	Coraebus rubi
1166676	Coraebus sinuatus_	species	Coraebus elatus
219353	Dicera divaricata_	species	Dicerca divaricata
1943812	Dicera prolongata_	species	Dicerca tenebrica
1943812	Dicerca tenebrosa	species	Dicerca tenebrica
1580703	Euchroma gigantea_	species	Euchroma gigantea
1205687	Perotis lugubris_	species	Perotis lugubris
1580771	Stigmodera macularia_	species	Stigmodera macularia
1587122	Cantharis cryptica_	species	Cantharis cryptica
	Cantharis fusca_	species	cantharis fusca
877886	Cantharis lateralis_	species	Cantharis lateralis
