"distribution","max","median","minimum","resolved_name"
"10","10","10","10","Abietinella abietina var. hystricosa"
"11-20","20","11","11","Acanthocladium extenuatum"
"26","26","26","26","Acaulon muticum var. rufescens"
"21","21","21","21","Acrocladium cordifolium"
"11","11","11","11","Aerobryopsis parisii"
"25","25","25","25","Aloina aloides var. ambigua"
"11","11","11","11","Amblystegium compactum"
"10","10","10","10","Amblystegium rivicola"
"20","20","20","20","Amblystegium serpens var. rigidiusculum"
"11","11","11","11","Amblystegium sparsile"
"10","10","10","10","Amblystegium tibetanum"
"7","7","7","7","Anacolia menziesii var. baueri"
"6","6","6","6","Anacolia sinensis"
"10","10","10","10","Andreaea depressinervis"
"10","10","10","10","Andreaea gainii"
"10-20","20","10","10","Aneura cochleata"
"10","10","10","10","Aneura minima"
"10","10","10","10","Aneura scabra"
"26","26","26","26","Anisothecium hookeri"
"13-14-15","15","14","13","Anisothecium molliculum"
"10-14","14","14","10","Anisothecium rufescens"
"13-15","15","13","13","Anisothecium spirale"
"13","13","13","13","Anoectangium clarum"
"13","13","13","13","Anoectangium hymenodontoides"
"13-14","14","13","13","Anoectangium stracheyanum"
"10","10","10","10","Anomobryum cymbifolium"
"10","10","10","10","Anomobryum filiforme var. concinnatum"
"10-20","20","10","10","Anomobryum nitidum"
"10-11","11","11","10","Anomobryum subnitidum"
"15","15","15","15","Apomarsupella verrucosa"
"6","6","6","6","Aptychella delicata"
"32","32","32","32","Archidium minus"
"13","13","13","13","Archidium ohioense"
"8-9","9","9","8","Asterella angusta"
"9","9","9","9","Asterella chichibuensis"
"9","9","9","9","Asterella crassa"
"9","9","9","9","Asterella liukiuensis"
"9","9","9","9","Asterella monospiris"
"8-9","9","8","8","Asterella odora"
"18","18","18","18","Asterella pathankotensis"
"24","24","24","24","Asterella venosa"
"9","9","9","9","Asterella yoshinagana"
"9","9","9","9","Athalamia glaucovirens"
"9","9","9","9","Athalamia nana"
"14","14","14","14","Atrichum ligulatum"
"7-14","14","14","7","Atrichum obtusulum"
"21","21","21","21","Atrichum rhystophyllum"
"7","7","7","7","Atrichum spinulosum"
"7","7","7","7","Atrichum subserratum"
"7-14-21","21","7","7","Atrichum undulatum var. minus"
"7-14","14","7","7","Atrichum undulatum var. subserratum"
"7","7","7","7","Atrichum yakushimense"
"13","13","13","13","Aulacopilum japonicum"
"10","10","10","10","Barbella enervis"
"9","9","9","9","Barbella stevensii"
"13-30-52","52","30","13","Barbula calycina"
"12","12","12","12","Barbula confertifolia"
"13","13","13","13","Barbula fuscescens"
"12-15-26","26","15","12","Barbula laevipila"
"14","14","14","14","Barbula tenuirostris"
"6-8-12","12","6","6","Bartramia brevifolia"
"8","8","8","8","Bartramia robusta"
"6","6","6","6","Bartramidula roylei"
"9","9","9","9","Bazzania bidentula"
"9","9","9","9","Bazzania flaccida"
"9","9","9","9","Bazzania loricata"
"9","9","9","9","Bazzania magna"
"9","9","9","9","Bazzania ovifolia"
"9","9","9","9","Bazzania pompeana"
"9","9","9","9","Bazzania remotifolia"
"9","9","9","9","Bazzania revoluta"
"13","13","13","13","Blindia campylopodioides"
"16","16","16","16","Brachiolejeunea sandvicensis"
"22","22","22","22","Brachymenium alpinum"
"11","11","11","11","Brachymenium bryoides"
"20","20","20","20","Brachymenium leptophyllum"
"11","11","11","11","Brachymenium ochianum"
"10-11","11","10","10","Brachymenium sikkimense"
"11-22","22","11","11","Brachythecium brotheri"
"12-14","14","12","12","Brachythecium cameratum"
"10-11","11","10","10","Brachythecium kamounense"
"22","22","22","22","Brachythecium paradoxum"
"10","10","10","10","Brachythecium procumbens"
"10","10","10","10","Brachythecium pulchellum"
"12","12","12","12","Brachythecium sakuraii"
"10","10","10","10","Brachythecium salebrosum var. vineale"
"9","9","9","9","Brachythecium serrulatum"
"13","13","13","13","Brachythecium subpilosum"
"10","10","10","10","Brachythecium trachypodium"
"10","10","10","10","Breidleria arcuata"
"10","10","10","10","Breidleria homaliacea"
"6","6","6","6","Breutelia plicata"
"10","10","10","10","Brotherella harveyana"
"10","10","10","10","Brotherella tenuirostris"
"9-10","10","10","9","Brotherella yokohamae"
"15-16","16","15","15","Bruchia brevifolia"
"15","15","15","15","Bruchia carolinae"
"15-16","16","15","15","Bruchia fusca"
"16","16","16","16","Bruchia hallii"
"14-16","16","14","14","Bruchia ravenelii"
"15-16","16","15","15","Bruchia texana"
"10","10","10","10","Bryhnia decurvans"
"8","8","8","8","Bryhnia tenerrima"
"13","13","13","13","Bryoerythrophyllum dentatum"
"10-11","11","11","10","Bryohaplocladium angustifolium"
"11","11","11","11","Bryohaplocladium perparaphyllum"
"10","10","27","10","Bryum algovicum var. algovicum"
"10-20","20","10","10","Bryum alpinum subsp. gemmiparum"
"10","10","10","10","Bryum auratum"
"10","10","10","10","Bryum badhwarii"
"10","10","10","10","Bryum blandum subsp. handelii"
"10-11-22","22","11","10","Bryum caespiticium var. badium"
"20","20","20","20","Bryum campylothecium"
"10","10","10","10","Bryum capillare var. nagasakense"
"20","20","20","20","Bryum cremocarpum"
"10","10","10","10","Bryum euryphyllum"
"10","10","10","10","Bryum filiforme var. concinnatum"
"10-20-30","30","20","10","Bryum inclinatum"
"22","22","22","22","Bryum medianum"
"10-20-27-30","30","27","10","Bryum pendulum subsp. angustirete"
"10","10","10","10","Bryum ramosum"
"10","10","10","10","Bryum sahyadrense"
"10","10","10","10","Bryum subfasciculatum"
"22","22","22","22","Bryum wightii"
"13","13","13","13","Bucklandiella affinis"
"12","12","12","12","Bucklandiella brevipes"
"9","9","9","9","Buxbaumia himalayensis"
"11","11","11","11","Callicostella depressa"
"9","9","9","9","Calobryum dentatum"
"9","9","9","9","Calobryum rotundifolium"
"6","6","6","6","Calomnion milleri"
"9","9","9","9","Calypogeia angusta"
"9","9","9","9","Calypogeia contracta"
"9","9","9","9","Calypogeia fujisana"
"9-18","18","9","9","Calypogeia neesiana subsp. subalpina"
"9","9","9","9","Calypogeia tseukushiensis"
"8","8","8","8","Calyptothecium nitidum"
"10-11-12-22","22","11","10","Camptochaete ramulosa"
"11","11","11","11","Camptothecium auriculatum"
"10-11-20","20","11","10","Campyliadelphus polygamus"
"10","10","10","10","Campyliadelphus protensus"
"11","11","11","11","Campylium rufo-chryseum"
"14","14","14","14","Campylopodiella himalayana"
"13-14","14","13","13","Campylopodium griffithii"
"12","12","12","12","Campylopus ericoides"
"11-12","12","11","11","Campylopus fragilis subsp. goughii"
"10-12","12","10","10","Campylopus fragilis var. pyriformis"
"12","12","12","12","Campylopus subfragilis"
"18","18","18","18","Campylopus surinamensis"
"11","11","11","11","Campylopus umbellatus var. umbellatus"
"13","13","13","13","Campylopus walkeri"
"8","8","8","8","Caudalejeunea hanningtonii"
"13-14","14","13","13","Ceratodon stenocarpus"
"10","10","10","10","Chamberlainia collina"
"10","10","10","10","Chamberlainia leibergii"
"9","9","9","9","Cheilolejeunea rotundistipula"
"9-18","18","18","9","Chiloscyphus cuspidatus"
"9","9","9","9","Chiloscyphus dissitifolius"
"9","9","9","9","Chiloscyphus himalayensis"
"9","9","9","9","Chiloscyphus hookeri"
"10","10","10","10","Chrysocladium phaeum"
"10-11","11","10","10","Cirriphyllum tommasinii"
"11","11","11","11","Claopodium gracillimum"
"11","11","11","11","Claopodium prionophyllum"
"7","7","7","7","Cleistocarpidium palustre"
"9","9","9","9","Clevea pusilla"
"9","9","8","9","Cololejeunea dissita"
"8","8","8","8","Conostomum magellanicum"
"8","8","8","8","Conostomum pusillum"
"10","10","10","10","Cratoneuron commutatum var. falcatum"
"10-11","11","11","10","Cratoneuron filicinum var. fallax"
"10-12","12","10","10","Cratoneuron latifolium"
"24","24","24","24","Crossidium crassinervia"
"24","24","24","24","Crossidium squamiferum var. pottioideum"
"10","10","10","10","Cryphaea lamyana"
"11","11","11","11","Cryptoleptodon flexuosus"
"11","11","11","11","Ctenidium pulchellum"
"8-9","9","9","8","Cyathodium africanum"
"14","14","14","14","Cynodontium alpestre"
"11","11","11","11","Cyrto-hypnum rubiginosum"
"7","7","7","7","Dawsonia beccarii var. limbata"
"7","7","7","7","Dawsonia longiseta"
"7","7","7","7","Dawsonia superba var. pulchra"
"9","9","9","9","Denotarisia linguifolia"
"52","52","52","52","Desmatodon ucrainicus"
"14","14","14","14","Dichodontium olympicum"
"11","11","11","11","Dicnemoloma pallidum"
"12","12","12","12","Dicranella dietrichiae"
"11-13-15","15","13","11","Dicranella divaricata"
"13","13","13","13","Dicranella macrospora"
"14","14","14","14","Dicranella mollicula"
"15","15","15","15","Dicranella pacifica"
"13","13","13","13","Dicranella spiralis"
"12-13","13","12","12","Dicranoloma billardierei"
"7","7","7","7","Dicranoloma robustum var. setosum"
"9","9","9","9","Dicranoloma serratum"
"13","13","13","13","Dicranoweisia antarctica"
"13-14","14","14","13","Dicranoweisia brevifolia"
"13","13","13","13","Dicranoweisia grimmiacea"
"12","12","12","12","Dicranum billardierei"
"11","11","11","11","Dicranum crispifolium"
"12","12","12","12","Dicranum kashmirense"
"12","12","12","12","Dicranum pallidisetum"
"13","13","13","13","Didymodon ovatus"
"13","13","13","13","Didymodon rigidulus var. glaucus"
"13","13","13","13","Didymodon rigidulus var. gracilis"
"13","13","13","13","Didymodon rigidulus var. validus"
"13","13","13","13","Didymodon rufescens"
"15","15","15","15","Diplostichum longirostre"
"10","10","10","10","Distichophyllum obtusifolium"
"26","26","26","26","Ditrichum schimperi"
"13","13","13","13","Ditrichum tortipes"
"13","13","13","13","Ditrichum tortuloides"
"20","20","20","20","Drepanocladus aduncus var. kneiffii"
"18","18","18","18","Dumortiera hirsuta subsp. nepalensis"
"10-11","11","10","10","Ectropothecium sikkimense"
"10","10","10","10","Ectropothecium umbilicatum var. protractum"
"13","13","13","13","Encalypta affinis"
"11","11","11","11","Entodon bandongiae"
"11","11","11","11","Entodon compressus"
"11","11","11","11","Entodon conchophyllus"
"11","11","11","11","Entodon giraldii"
"11-14","14","11","11","Entodon laetus"
"14","14","14","14","Entodon micropodus"
"11","11","11","11","Entodon morrisonensis"
"11","11","11","11","Entodon obtusatus"
"11","11","11","11","Entodon prorepens"
"10","10","10","10","Entodon schensianus"
"11","11","11","11","Entodon smaragdinus"
"11","11","11","11","Entodon subplicatus"
"11","11","11","11","Entodon sullivantii var. versicolor"
"11","11","11","11","Entodon viridulus"
"24","24","24","24","Entosthodon californicus"
"27","27","27","27","Entosthodon handelii"
"26","26","26","26","Entosthodon nutans"
"26","26","26","26","Entosthodon pilifer"
"26","26","26","26","Entosthodon subnudus var. gracilis"
"26-28-42","42","28","26","Entosthodon wallichii"
"7","7","7","7","Entosthodon wichurae"
"27","27","27","27","Ephemerum crassinervium var. texanum"
"10","10","10","10","Eriopus japonicus"
"10","10","10","10","Eurhynchiastrum pulchellum var. barnesii"
"7-9-11","11","7","7","Eurhynchium muelleri"
"11","11","11","11","Eurhynchium murale"
"8","8","8","8","Eurhynchium polystictum"
"7-8-9-11","11","8","7","Eurhynchium riparioides"
"7-8-11-20","20","11","7","Eurhynchium schleicheri"
"15","15","15","15","Eurhynchium speciosum"
"12","12","12","12","Eurhynchium subrusciforme"
"10","10","10","10","Eurhynchium substrigosum"
"10","10","10","10","Eurhynchium substrigosum var. taylorae"
"8","8","8","8","Exormotheca bullosa"
"20","20","20","20","Fabronia australis"
"11","11","11","11","Fabronia goughii"
"11","11","11","11","Fabronia madurensis"
"11","11","11","11","Fabronia matsumurae"
"4","4","4","4","Fissidens bryoides subsp. incurvus"
"5-10","10","5","5","Fissidens bryoides var. esquirolii"
