taxon_id	input	rank	suggested
	Archidium ohioense	species	anthidium chilense	onchidium chilense
989910	Bazzania revoluta	species	Bazzania involuta
172611	Bryhnia tenerrima	species	Bryoria fuscescens
187843	Bryum wightii	species	Ptychostomum wrightii
1221402	Cirriphyllum tommasinii	species	Brachythecium tommasinii
200705	Crossidium crassinervia	species	Crossidium crassinerve
98484	Dicranoloma billardierei	species	Dicranoloma billarderi
1662195	Dicranum crispifolium	species	Dicranum crassifolium
108700	Entodon laetus	species	Chrysocharis nephereus
2666473	Entodon micropodus	species	Entodon macropodus
2894618	Fissidens hollianus	species	Fissidens hallianus
91517	Gollania arisanensis	species	Microstegium nudum
146591	Haplodon wormskioldii	species	Aplodon wormskioldii
1906819	Helodium sachalinense	species	Echinophyllum sachalinense
324239	Hylocomium flagellare	species	Hyocomium armoricum
	Jungermannia fusiformis	species	jungermannia filiformis	jungermannia fuciformis
324464	Macromitrium gracile	species	Groutiella tomentosa
981374	Macromitrium himalayanum	species	Bucklandiella himalayana
255979	Neotrichocolea bisseti	species	Neotrichocolea bissetii
429160	Papillaria fuscescens	species	Maxillaria crocea
947576	Pohlia revoluta	species	Carcinonemertes carcinophila
111799	Polytrichum proliferum	species	Polystichum proliferum
	Rhizogonium hookeri	species	rhizoclonium hookeri
61559	Schlotheimia lancifolia	species	Macromitrium longifolium
526859	Thamnobryum subseriatum	species	Thamnobryum subserratum
429471	Thuidium minusculum	species	Thelidium minutulum
301308	Weissia ligulaefolia	species	Weissia ligulifolia
82454	Abroma augusta	species	Abroma augustum
2291664	Abutilon mucronatum	species	Wissadula hernandioides
1378375	Acacia elatior	species	Acacia latior
1400082	Acalypha parvula	species	Acalypta parvula
1489962	Acanthophyllum albidum	species	Xanthophyllum flavescens
282732	Achillea bucharica	species	Achillea crithmifolia
1075344	Acilepis chiangaoensis	species	Acilepis chiangdaoensis
1507126	Acis ionica	species	Coelioxys conoidea
118749	Aconitum altaicum	species	Doronicum altaicum
157971	Aconitum delphinifolium	species	Aconitum delphiniifolium
1905855	Aconitum fletcherianum	species	Aconitum fletcheranum
50884	Aconitum sichotense	species	Aconitum villosum
217129	Acridocarpus smeathmanii	species	Acridocarpus smeathmannii
165717	Actinidia scabiifolia	species	Actinidia sabiifolia
2898461	Adonis wolgensis	species	Adonis volgensis
710017	Ageratina brevipes	species	Ceratina breviceps
58936	Agropyron dasyanthum	species	Eremopyrum distans
282262	Agrostis atlantica	species	Noctua atlantica
	Agrostis densiflora	species	eragrostis tenuiflora	agrostis tenuiflora
165094	Agrostis infirma	species	Poa infirma
1685705	Agrostis juressii	species	Linkagrostis juressi
751652	Agrostis parviflora	species	Eragrostis parviflora
38414	Agrostis subulata	species	Eragrostis curvula
58089	Agrostis volkensii	species	Eragrostis japonica
268494	Akebia longiracemosa	species	Akebia longeracemosa
151060	Alectryon tomentosum	species	Alectryon tomentosus
	Allium albiflorum	species	allium tubiflorum	allium laxiflorum
105306	Allium alibile	species	Allium mairei
1286653	Allium bigelowii	species	Allium bigelovii
543667	Allium cyrillii	species	Allium cyrilli
165617	Allium eduardi	species	Allium eduardii
	Allium favosum	species	allium ramosum
	Allium gramineum	species	allium stramineum	allium stamineum
105311	Allium hedgei	species	Allium wallichii
	Allium hirtovaginum	species	allium hirtovaginatum
165623	Allium hymenorhizum	species	Allium hymenorrhizum
165625	Allium ionicum	species	Allium iranicum
	Allium longanum	species	allium montanum
166814	Allium melananthum	species	Allium melanantherum
546490	Allium pruinatum	species	Allium commutatum
1314297	Allium trachycoleum	species	Allium carmeli
1593056	Aloe ballii	species	Aloe ballyi
197152	Aloe dinteri	species	Cloeon dipterum
903860	Aloe orientalis	species	Alope orientalis
34199	Aloe pubescens	species	Aloe vera
1767993	Alopecurus vlassowii	species	Alopecurus brachystachyus
	Alvordia brandegeei	species	alvordia brandegee
1366934	Alyssum stribrnyi	species	Alyssum stribryni
2784520	Amauria brandegeana	species	Perityle brandegeeana
583110	Anapalina caffra	species	Natalina cafra
170547	Anchusa barrellieri	species	Cynoglottis barrelieri
106884	Andropogon exaratus	species	Cymbopogon caesius
1755023	Andropogon kilmandscharicus	species	Andropogon amethystinus
2003511	Andropogon macrophyllus	species	Arthraxon microphyllus
229450	Androsace cortusifolia	species	Androsace obtusifolia
1752867	Aneilema lanceolatum	species	Murdannia japonica
167998	Anemone debilis	species	Anemone coronaria
168004	Anemone pavoniana	species	Anemone pavonina
638625	Angianthus uniflorus	species	Enkianthus quinqueflorus
49046	Antennaria gnaphalioides	species	Antennaria anaphaloides
589814	Anthemis virescens	species	Cota austriaca
	Anthospermum hirtum	species	acanthospermum hirsutum	anomospermum hirsutum
	Anthospermum prostratum	species	lithospermum prostratum
109082	Anthriscus schumalhauenii	species	Anthriscus schmalhausenii
2980647	Anthurium clavatum	species	Dianthidium curvatum
1155795	Anthurium incurvatum	species	Trachyandra ciliata
	Anthurium microphyllum	species	anthericum macrophyllum
1542515	Anthurium montanum	species	Anthidium montanum
2980647	Anthurium nervatum	species	Dianthidium curvatum
1133518	Anthurium paludosum	species	Trichopetalum plumosum
1366181	Anthurium sellowianum	species	Anthurium parasiticum
	Anthurium signatum	species	anthurium sinuatum	anthobium signatum
1974253	Anthurium subovatum	species	Chlorophytum fasciculatum
472854	Anthurium velutinum	species	Chlorophytum sphacelatum
560552	Aquilegia turczaninowii	species	Aquilegia turczaninovii
659588	Arctostaphylos × repens	species	Arctostaphylos x repens
312915	Arenaria parvifolia	species	Adenaria floribunda
4245	Argyroxiphium caligini	species	Argyroxiphium caliginis
130094	Ariocarpus agavioides	species	Ariocarpus agavoides
228802	Arisaema caudatum	species	Arisaema cordatum
156083	Arisaema intermedium	species	Orisarma intermedium
158536	Aristolochia cretica	species	Aristolochia baetica
71843	Armeria gaditiana	species	Armeria gaditana
71834	Armeria pseudoarmeria	species	Armeria pseudarmeria
181189	Arnoglossum album	species	Cynoglossum officinale
339121	Arophyton crassifolium	species	Sarcophyton crassifolium
1227618	Artemisia bottnica	species	Artemisia bothnica
480633	Artemisia pannosa	species	Artemisia papposa
72353	Artemisia pedunculosa	species	Artemisia splendens
401941	Artemisia xanthochloa	species	Artemisia xanthochroa
2837433	Arundinella khasiana	species	Arundinella khaseana
272863	Asparagus dumosus	species	Asparagus setaceus
	Aster limonifolius	species	aster linifolius	aster limoniifolius
713681	Astragalus albulus	species	Astragalus vesicarius
1302566	Astragalus angustiflorus	species	Astragalus angustifolius
486702	Astragalus beckerianus	species	Astragalus berteroanus
1460044	Astragalus chuskanus	species	Astragalus clusii
1460044	Astragalus clarianus	species	Astragalus clusii
	Astragalus cottonii	species	astragalus wootonii	astragalus mortonii
	Astragalus densiflorus	species	astragalus densifolius
90203	Astragalus eugenii	species	Astragalus palenae
1080389	Astragalus graecus	species	Astragalus albicaulis
144064	Astragalus grubovii	species	Astragalus arpilobus
144128	Astragalus gruinus	species	Astragalus murinus
1264819	Astragalus hartwegii	species	Astragalus hartvigii
144108	Astragalus heterodontus	species	Astragalus heterodoxus
144061	Astragalus hypoleucus	species	Astragalus alyssoides
	Astragalus inflexus	species	astragalus deflexus	astragalus inflatus
	Astragalus japonicus	species	astragalus lapponicus
339519	Astragalus khasianus	species	Astragalus pycnocephalus
2714380	Astragalus lasiosemius	species	Astragalus leiosemius
	Astragalus mailiensis	species	astragalus meiliensis
144128	Astragalus marinus	species	Astragalus murinus
47065	Astragalus minimus	species	Astragalus sinicus
1993805	Astragalus monanthemus	species	Phyllolobium donianum
	Astragalus nutans	species	astragalus nitens
339517	Astragalus oocarpus	species	Astragalus podocarpus
1302569	Astragalus pictiformis	species	Astragalus bethlehemiticus
47106	Astragalus proximus	species	Astragalus vogelii
	Astragalus radicans	species	astragalus candicans	astragalus radians	astragalus radicatus
	Astragalus recurvus	species	astragalus incurvus
