institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x31	x32	primary
Offsite	MC9059	DTOL	Angiosperm	Simaroubaceae	Ailanthus	altissima	<Petro	GPB3%PVPBmet	276.66	520.70	2.96	2.42	1.881	314.13	589.73	NA	2.4	1.2	1.17	2.79	2.76	0.023	NA	Sahr Mian	27/08/2020	KDTOL10063	2.08 (2013)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9060	DTOL	Angiosperm	Asteraceae	Ciceribita	muralis	<Pisum	GPB3%PVPBmet	281.96	651.13	2.9	2.45	2.309	294.74	669.99	NA	4	2	1.96	2.87	2.39	0.033	NA	Sahr Mian	28/08/2020	KDTOL10064	4 (2002)*	NA	NA	NA	NA	1
RBGE	DB1412	DTOL	Bryophyte	Plagiomniaceae	Plagiomnium	undulata	<Petro	GPB3%PVPBmet	231.30	470.63	2.55	2.92	4.063	240.22	479.84	NA	2.25	1.13	1.1	2.94	2.83	0.136	NA	Sahr Mian	27/08/2020	NA	NA	NA	NA	NA	NA	1
RBGK	MC9075	DTOL	Angiosperm	Ranunculaceae	Pulsatilla	vulgaris	<Allium	GPB3%PVPBmet	220.96	298.85	2.93	2.11	1.353	225.51	303.12	NA	25.96	12.98	12.69	2.94	2.17	0.008	NA	Sahr Mian	3/9/2020	KDTOL10080	34.8 (2005)* Kew prev estimate 27.14	NA	NA	NA	NA	1
RBGK	MC9091	DTOL	Monilophyte	Aspleniaceae	Asplenium	ruta - muraria	>Pisum	OXPRO	225.97	323.84	3.02	3.96	1.433	343.54	238.87	NA	13.07	6.54	6.39	3.82	3.45	0.009	NA	Sahr Mian	8/9/2020	KDTOL10097	13.40 (2015)*  16.94  (2010)	Sanger - low DNA yield	NA	NA	NA	1
RBGK	MC9097	DTOL	Angiosperm	Sapindaceae	Acer	campastre	<Petro	GPB3%PVPBmet	154.87	437.70	3.52	2.94	2.826	159.01	442.68	NA	1.62	0.81	0.79	2.94	2.7	0.037	NA	Sahr Mian	9/9/2020	KDTOL10103	1.3, 2.70 (2010)* 1.41 (2013)	NA	NA	NA	NA	1
RBGE	DB1427	DTOL	Bryophyte	Bryaceae	Bryum	aplinum	<Solanum	GPB3%PVPBmet	134.22	451.62	3.46	2.43	3.365	136.81	452.39	NA	1.19	0.59	0.58	3.4	2.4	0.050	NA	Sahr Mian	1/10/2020	NA	none, genus est. 1.18-1.85	NA	NA	NA	NA	1
RBGE	DB1428	DTOL	Bryophyte	Bryaceae	Bryum	julaceum	<Solanum	GPB3%PVPBmet	253.46	610.85	3.25	2.86	3.365	268.94	638.11	NA	0.83	0.41	0.4	3.21	2.86	0.050	NA	Sahr Mian	20/10/10	NA	genus est 1.18-1.85	NA	NA	NA	NA	1
RBGE	DB1441	DTOL	Bryophyte	NA	Didymodon	insulanus	<Oryza	OXPRO	172.23	507.48	3.6	2.82	2.946	185.59	533.18	NA	0.7	0.35	0.34	3.41	3.6	0.061	NA	Sahr Mian	20/10/20	NA	-	NA	NA	NA	NA	1
RBGE	DB1446	DTOL	Bryophyte	NA	Porella	cordeana	<Solanum	GPB3%PVPBmet	231.92	327.71	4.9	3	1.413	238.49	338.94	NA	2.76	1.38	1.35	4.42	3.23	0.010	NA	Sahr Mian	7/10/2020	NA	genus estimate 1.68-2.65	NA	NA	NA	NA	1
RBGE	DB1450	DTOL	Bryophyte	NA	Pulvigera	lyelii	<Solanum	OXPRO	165.24	456.32	3.88	2.8	2.761	167.32	457.23	NA	0.72	0.36	0.35	3.97	3.21	0.040	NA	Sahr Mian	8/10/2020	NA	-	NA	NA	NA	NA	1
RBGE	DB1454	DTOL	Bryophyte	NA	Palustriella	commutata	<Oryza	GPB3%PVPBmet	192.02	528.43	3.6	2.54	2.752	205.03	554.23	NA	0.74	0.37	0.36	3.2	2.61	0.043	NA	Sahr Mian	22/10/20	NA	-	NA	NA	NA	NA	1
RBGE	DB1460	DTOL	Bryophyte	NA	Neckera	crispa	<Solanum	GPB3%PVPBmet	154.18	581.57	3.77	2.83	3.772	167.37	612.8	NA	1.07	0.54	0.53	3.51	2.68	0.097	NA	Sahr Mian	20/10/20	NA	0.99	NA	NA	NA	NA	1
RBGE	DB1503	DTOL	Bryophyte	NA	Neckera	crispa	<Oryza	GPB3%PVPBmet	107.51	211.36	2.66	4.6	1.966	111.04	216.29	NA	1.03	0.51	0.5	6.67	4.12	0.030	NA	Sahr Mian	24/03/2021	NA	1	NA	NA	NA	NA	1
RBGE	DB1461	DTOL	Bryophyte	NA	Tritomaria	quinquedentata	<Solanum	GPB3%PVPBmet	302.92	471.45	2.33	2.23	1.556	313.48	471.56	NA	2.61	1.3	1.27	2.39	2.19	0.014	NA	Sahr Mian	21/10/20	NA	2.39	NA	NA	NA	NA	1
RBGE	DB1476	DTOL	Bryophyte	NA	Plagiothecium	undulatum	<Solanum	GPB3%PVPBmet	364.22	686.69	3.89	3.15	1.885	383.43	709.04	NA	1.06	0.53	0.52	3.89	2.96	0.036	NA	Sahr Mian	4/11/2020	NA	0.94	NA	NA	NA	NA	1
RBGE	DB1489	DTOL	Bryophyte	NA	Dicranum	scorparium	>Oryza	GPB3%PVPBmet	234.50	342.82	3.97	3.98	1.462	353.19	243.35	NA	1.45	0.73	0.71	3.71	3.87	0.011	NA	Sahr Mian	17/03/2021	NA	1.45	NA	NA	NA	NA	1
RBGE	DB1486	DTOL	Bryophyte	NA	Bryum	capillare	<Solanum	GPB3%PVPBmet	246.25	479.21	4.61	2.87	1.947	260.78	511.26	NA	1	0.5	0.49	4.14	2.88	0.021	NA	Sahr Mian	17/03/2021	NA	1.08	NA	NA	NA	NA	1
RBGE	DB1490	DTOL	Bryophyte	NA	Orthocaulis	floerkei	<Solanum	OXPRO	129.02	413.66	5.07	2.41	3.206	135.5	427.67	NA	1.24	0.62	0.61	4.69	2.72	0.045	NA	Sahr Mian	17/03/2021	NA	-	NA	NA	NA	NA	1
RBGE	DB1492	DTOL	Bryophyte	NA	Fissidens	sp.	<Oryza	GPB3%PVPBmet	103.49	210.29	3.14	3.75	2.032	107.36	221.86	NA	0.97	0.48	0.47	6.67	4.12	0.056	NA	Sahr Mian	24/03/2021	NA	0.56-1.28	NA	NA	NA	NA	1
RBGE	DB1500	DTOL	Bryophyte	NA	Jungermannia	eucordifolia	<Oryza	OXPRO	185.35	510.65	5.13	3.12	2.755	189.95	514.65	NA	0.74	0.37	0.36	6.67	4.12	0.064	NA	Sahr Mian	24/03/2021	NA	0.79	NA	NA	NA	NA	1
RBGK	MC9140	DTOL	Angiosperm	Brassicaceae	Capsella	bursa-pastrois	<Solanum	GPB3%PVPBmet	87.10	346.01	4.53	2.88	3.973	89.18	360.72	NA	0.49	0.25	0.24	4.53	3.63	0.073	NA	Sahr Mian	07/04/2021	KDTOL10158	0.80	NA	NA	NA	NA	1
RBGE	DB1505	DTOL	Bryophyte	NA	Rhynchostegium	riparoides	<Oryza	OXPRO	170.74	397.73	5.03	2.92	2.333	179.06	420.49	NA	0.85	0.43	0.42	6.67	4.12	0.015	NA	Sahr Mian	13/04/2021	NA	0.76	NA	NA	NA	NA	1
RBGK	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Tower of Glamis'	<Petro	OXPRO	109.46	189.45	4.13	3.6	1.731	106.53	189.42	NA	2.53	1.27	1.24	3.39	3.34	0.051	NA	Sahr Mian	26/04/2021	KDTOL10203	NA	NA	NA	NA	NA	1
RBGK	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Lord Burghley'	<Petro	OXPRO	102.40	269.08	3.72	3.15	2.628	103.35	280.18	NA	1.66	0.83	0.81	3.45	3	0.079	NA	Sahr Mian	26/04/2021	KDTOL10201	NA	NA	NA	NA	NA	1
RBGK	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Irish Peach'	<Petro	OXPRO	107.46	292.85	3.42	2.2	2.725	105.99	282.39	NA	1.69	0.84	0.83	3.65	2.7	0.070	NA	Sahr Mian	26/04/2021	KDTOL10202	NA	NA	NA	NA	NA	1
RBGK	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Costard'	<Petro	OXPRO	128.07	347.89	2.48	2.57	2.716	125.73	333.71	NA	1.7	0.85	0.83	2.86	2.67	0.062	NA	Sahr Mian	26/04/2021	KDTOL10204	NA	NA	NA	NA	NA	1
RBGK	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Killerton Sweet'	<Petro	OXPRO	211.44	375.43	3.77	3.68	2.716	213.28	384.77	NA	2.49	1.25	1.22	3.88	2.95	0.062	NA	Sahr Mian	26/04/2021	KDTOL10200	NA	NA	NA	NA	NA	1
RBGK	MC9158	DTOL	Angiosperm	Amaryllidaceae	Allium	ampeloprasum var babingtonii	>Allium	GPB3%PVPBmet	128.03	381.51	3.95	3.29	2.98	373.74	126.46	NA	103.11	51.56	50.42	3.48	3.97	0.021	NA	Sahr Mian	28/04/2021	KDTOL10176	59.90	Potential Tetraploid	NA	NA	NA	1
