"Species_name_Stace4","#BSBI_name_","Family_number","Family","Vernacular","Distribution_number_hectads","Distribution_UK","Ploidy_inferred","Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]","Frieda cytology notes","Annual_perennial","GS_1C_pg_min","GS_1C_pg_max","GS_counts","GB status","UoE_prioritisation","Earlham_prioritisation","RBGE_prioritization","York_prioritisation","UoCam comments","Kew priorities","RBGE","Kew living collection","Kew living collection status","MSB","Wytham","Other collection","Easy_availability_living_cols_or_ubiquitous","Species_name_Stace4_2","Family_number_2","Family_2","YEAR 1","YEAR 2","Notes","Buxton PRIORITY"
"Rhodolia rosea","Sedum rosea","43","Crassulaceae","Roseroot","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","22","","","","","","","native","","","","","","","","","","","","","","Rhodolia rosea","43","Crassulaceae","","","",""
"Ervilia sylvatica","Vicia sylvatica","46","Fabaceae","Wood Vetch","685","Common","","14","","","","","","","native","","","","","","","Y","","","","","","Y","Ervilia sylvatica","46","Fabaceae","","","",""
"Potentilla rupestris","Potentilla rupestris","48","Rosaceae","Rock Cinquefoil","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","","14","","P","0.23","0.23","1","native","","","","","","","","Y","Restricted by Agreement-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Great Britain","","","","Y","Potentilla rupestris","48","Rosaceae","","","",""
"Sorbus scannelliana","Sorbus scannelliana","48","Rosaceae","Scannell's whitebeam","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","Irish endemic","","","","","P","","","","native","","","","","","","","","","","","","","Sorbus scannelliana","48","Rosaceae","","","possibly triploid",""
"Erodium aethiopicum","Erodium lebelii","71","Geraniaceae","Sticky Stork's-bill","#N/A","","","20","","","","","","","native","","","","","","","","","","","","","","Erodium aethiopicum","71","Geraniaceae","","","",""
"Sabulina stricta","Minuartia stricta","94","Caryophyllaceae","Teesdale Sandwort","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","22, 30","","","","","","","native","","","","","","","","","","MANAGEMENT DECISION-VV","","","","Sabulina stricta","94","Caryophyllaceae","","","",""
"Stellaria aquatica","Myosoton aquaticum","94","Caryophyllaceae","Water Chickweed","959","Abundant","","28","","","","","","","native","","","","","","","","","","FOR DISTRIBUTION-NV","","","","Stellaria aquatica","94","Caryophyllaceae","","","",""
"Salicornia disarticulata","Salicornia pusilla","95","Amaranthaceae","One-flowered Glasswort","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","2","18","","","","","","","native","","","","","","","","","","","","","","Salicornia disarticulata","95","Amaranthaceae","","","",""
"Lamiastrum galeobdolon subsp. argentatum","0","128","Lamiaceae","","1618","Abundant","","","36","","","","","","neophyte","","","","","","","","","","","","","","Lamiastrum galeobdolon subsp. argentatum","128","Lamiaceae","","","",""
"Mimulus guttatus","Mimulus guttatus","129","Phrymaceae","Monkeyflower","1093","Abundant","2, 3 (+6), 3 (+3)","28,56","","","","","","","neophyte","AT has ecological genetics project of invasive UK Mimulus where the genome would be very useful","","","","","","","Y","Unrestricted-Natural Source-Washington","","","","Y","Mimulus guttatus","129","Phrymaceae","1","","",""
"Aster lanceolatus","0","135","Asteraceae","Narrow-Leaved Michaelmas-Daisy","221","Infrequent","","","32,40,48,56,64","","","","","","neophyte","","","","","","","","","","","","","","Symphyotrichum lanceolatum","135","Asteraceae","","","",""
"Filago germanica","Filago vulgaris","135","Asteraceae","Common Cudweed","1075","Abundant","2","28","","","","","","","native","","","","","","","","","","MANAGEMENT DECISION-VV","","","","Filago germanica","135","Asteraceae","","","",""
"Hieracium agg","Hieracium","135","Asteraceae","Hawkweed","Probably abundant","","","18, 27, 36","45","","","","","","native","","Priority for terpenes/Asteraceae BBSRC/DToL project","","","","","Y","","","","","","Y","Hieracium agg","135","Asteraceae","","","",""
"Taraxacum agg","Taraxacum","135","Asteraceae","Dandelion","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","","24, 32, 40, 48","","","","","","native","","Priority for terpenes/Asteraceae BBSRC/DToL project ; In the list of top 2 arable weeds","","","","","","","","","","","","Taraxacum agg","135","Asteraceae","","","",""
"Valerianella carinata","Valerianella carinata","138","Valerianaceae","Keeled-fruited Cornsalad","642","Common","","","14,16,18","","A","","","","archaeophyte","","","","","","","","","","","","","Y","Valerianella carinata","138","Valerianaceae","","","",""
"Valerianella rimosa","Valerianella rimosa","138","Valerianaceae","Broad-fruited Cornsalad","186","Infrequent","","","14, 16","","A","","","","archaeophyte","","","","","","","","","","","","","","Valerianella rimosa","138","Valerianaceae","","","",""
"Trocdaris verticillata","Carum verticillatum","145","Apiaceae","Whorled Caraway","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","?18","20,22","","","","","","native","","","","","","","","","","","","","","Trocdaris verticillata","145","Apiaceae","","","",""
"Crocosmia pottsii x aurea = C. x crocosmiiflora","0","165","Iridaceae","Montbretia","#N/A","","","","22-24,33","","","","","","neophyte","","","","","","","","","","","","","","Crocosmia pottsii x aurea = C. x crocosmiiflora","165","Iridaceae","","","",""
"Carex simpliciusulca","Kobresia simpliciuscula","176","Cyperaceae","False Sedge","21","Very rare","","","72,76","","","","","","native","","","","","","","Y","","","","","","Y","Carex simpliciusulca","176","Cyperaceae","","","",""
"Poa humilis","Poa humilis","177","Poaceae","Spreading Meadow-grass","2223","Ubiquitous","8 (-2), 8, 9 (+2), 10 (+2), 12 (-1), 13 (+1), 12, 13 (-1), 10, 14, 15, 16 (-3)","54, 56, 65, 72, 83, 92, 84, 90, 70, 98, 105, 109","","","P","3.06","5.45","2","native","","","","","","","","","","FOR DISTRIBUTION-NV","","","","Poa humilis","177","Poaceae","","","",""
"Schedonorus arundinaceus","Schedonorus arundinaceus","177","Poaceae","Tall Fescue","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","","42","","","P","","","","native","","","","","","","","","","","","","","Schedonorus arundinaceus","177","Poaceae","","","",""
"Schedonorus pratensis","Schedonorus pratensis","177","Poaceae","Meadow Fescue","TO BE RESOLVED: PROBABLY SYNONYM MISMATCH","","2","14","","","P","","","","native","","","","","","","","","","","","","","Schedonorus pratensis","177","Poaceae","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","121","",""
