taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
	Xiphinema vanderlindei	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	5	2				https://www.tandfonline.com/doi/pdf/10.1080/02541858.1988.11448122?needAccess=true	
	Paramermis contorta	DORYLAIMIA	MERMITHIDAE	MERMITHINA	MERMITHIDAE	6	2			amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics; Parenti 1962	
	Heligmosomoides turgidus	CHROMADOREA	RHABDITIDA	RHABDITINA	HELIGMOSOMIDAE	6	2	XX/X0			Walton. 1924	
	Heterorhabditis heliothidis	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Heterorhabditis sp. D1	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Heterorhabditis sp. HW79	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Heterorhabditis sp. NC162	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Heterorhabditis sp. NZ	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Heterorhabditis sp. V16	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Filaroides mustelarum	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	8	2	XX/X0			Carnoy, 1896, Walton, 1940	
	Diploscapter sp. 2 JU359	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			parthenogenesis 	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
	Peliloditis pellio	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2				Walton, 1940	
	Protorhabditis prodontis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2				Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
	Protorhabditis sp. 2 SB406	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			parthenogenesis 	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
	Rhabditis aberrans	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	9	2	XX/X0			Kruger, 1913, Walton, 1940	
	Rhabditis anomala	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	3			parthenogenesis 	Goodchild and Irwin1971	
	Rhabditis aspera	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2	XX/X0			Walton, 1940 	
	Rhabditis maupasi	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2	XX/X0		amphimixis	Hertwig 1922, Walton 1940	
	Acuaria spiralis	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	6	2	XX/X0			Walton, 1959, 1974	
	Ascaridia dissimilis	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	5	2	XX/X0		male | female | amphimixis	Mutafova (1976)	
	Hexametra sp.	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	11	2				Mutafova (1995)	
	Camallanus baylisi	CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	5	2	XX/X0			Goswami, 1974 http://dx.doi.org/10.1051/parasite/2000073173	
	Cosmocerca kashmirensis	CHROMADOREA	RHABDITIDA	SPIRURINA	COSMOCERCIDAE	8	2				Fotedar et al. (1973)	
	Cucullanus elegans	CHROMADOREA	RHABDITIDA	SPIRURINA	CUCULLANIDAE	6	2				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
