Order	Family	Genus	species	Sexual System	Karyotype	Genotypic	Haplodiploidy	Predicted ploidy	Chromosome_number_female_2N	Chromosome_number_male_2N
Acariformes	Acaridae	Acotyledon	formosani	parthenogenetic						
Acariformes	Acaridae	Caloglyphus	mycophagus	gonochorous	XO				16	
Acariformes	Acaridae	Sancassania	mycophaga	gonochorous	XO				16	
Acariformes	Acaridae	Sapracarus	sp.	parthenogenetic						
Acariformes	Acaridae	Sapracarus	tuberculalUs	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.1	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.2	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.3	parthenogenetic						
Acariformes	Acaridae	Troglocoptes	sp.4	parthenogenetic						
Acariformes	Acaridae	Tyrophagus	palmarum	gonochorous	XO				16	
Acariformes	Achipteriidae	Achipteria	species	gonochorous						
Acariformes	Achipteriidae	Anachipteria	species	gonochorous						
Acariformes	Arrenuridae	Arrenurus	caudatus	gonochorous					26	
Acariformes	Arrenuridae	Arrenurus	maculata	gonochorous					20	
Acariformes	Arrenuridae	Arrenurus	sp.1	gonochorous					20	
Acariformes	Arrenuridae	Arrenurus	sp.2	gonochorous					26	
Acariformes	Arrenuridae	Arrenurus	sp.3	gonochorous						
Acariformes	Arrenuridae	Arrenurus	sp.4	gonochorous						
Acariformes	Arrenuridae	Arrenurus	sp.5	gonochorous						
Acariformes	Astegistidae	Cultroribula	divergens	parthenogenetic						
Acariformes	Bdellidae	Bdella	capitosa	parthenogenetic						
Acariformes	Bdellidae	Bdella	tropica	parthenogenetic						
Acariformes	Brachychthoniidae	Brachychthonius	pius	parthenogenetic						
Acariformes	Brachychthoniidae	Sellnickochthonius	lydiae	parthenogenetic						
Acariformes	Brachychthoniidae	Sellnickochthonius	suecia	parthenogenetic						
Acariformes	Camerobiidae	Neophyllobius	aesculi	gonochorous			other		22	
Acariformes	Camerobiidae	Neophyllobius	elegans	gonochorous			other		22	
Acariformes	Camerobiidae	Neophyllobius	piniphilus	gonochorous			other		20	
Acariformes	Camisiidae	Camisia	aff. lapponica	parthenogenetic						
Acariformes	Camisiidae	Camisia	carrolli	parthenogenetic						
Acariformes	Camisiidae	Heminothrus	interlamellaris	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	altimontanus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	banksi	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	biangulatus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	bicarinatus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	brevisetosus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	carinatus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	castaneus	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	major	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	microclava	parthenogenetic						
Acariformes	Camisiidae	Plarynothrus	peltifer	gonochorous					18	
Acariformes	Camisiidae	Platynothrus	skoettsbergi	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	traversus	parthenogenetic						
Acariformes	Ceratoppiidae	Ceratoppia	species	gonochorous						
Acariformes	Ceratozetidae	Ceratozetes	cf.	gonochorous						
Acariformes	Ceratozetidae	Fuscozetes	species	gonochorous						
Acariformes	Cheyletidae	Nodele	simplex	gonochorous			other		4	
Acariformes	Cosmochthoniidae	Nipponiella	sp	parthenogenetic						
Acariformes	Crotoniidae	Austronothrus	clarki	gonochorous						
Acariformes	Crotoniidae	Austronothrus	curviseta	gonochorous						
Acariformes	Crotoniidae	Austronothrus	flagellatus	gonochorous						
Acariformes	Crotoniidae	Crotonia	caudalis	gonochorous						
Acariformes	Crotoniidae	Holonothrus	sp.	gonochorous						
Acariformes	Cunaxidae	Cunaxa	capreolus	gonochorous			other		22	
Acariformes	Damaeidae	Damaeus	angustipes	gonochorous						
Acariformes	Damaeidae	Epidamaeus	species	gonochorous						
Acariformes	DAMAEOLIDAE	Fosseremus	laciniatus auct	parthenogenetic						
Acariformes	ELLIPTOCHTHONIIDAE	Elliptochthonius	profundus	parthenogenetic						
Acariformes	Epidermoptidae	Myialges	pari	gonochorous			other		16	
Acariformes	EPILOHMANNIIDAE	Epilohmannia	styriaca	parthenogenetic						
Acariformes	EPILOHMANNIIDAE	Epilohmannoides	jacoti	parthenogenetic						
Acariformes	EPILOHMANNIIDAE	Epilohmannoides	terrae	parthenogenetic						
Acariformes	Ereynetidae	Riccardoella	limacum	gonochorous			other		10	
Acariformes	Eriophyidae	Aceria	oleae	gonochorous			other			
Acariformes	Eriophyidae	Aculops	cornutus	gonochorous			other			
Acariformes	Eriophyidae	Aculops	fockeui	gonochorous			other			
Acariformes	Eriophyidae	Aculops	tetanothrix	gonochorous			other		4	
Acariformes	Eriophyidae	Aculus	persicae	gonochorous			other		4	
Acariformes	Eriophyidae	Artacris	macrorhynchus	gonochorous			other		4	
Acariformes	Eriophyidae	Leipothrix	dipsacivagus	gonochorous			other			
Acariformes	Eriophyidae	Tegolophus	hassani	gonochorous			other			
Acariformes	Eriophyidae	Vasates	aceriscrumena	gonochorous			other			
Acariformes	Erythraeidae	Balaustium	sp.	parthenogenetic						
Acariformes	Eupalopsellidae	Saniosulus	nudus	gonochorous			other		6	
Acariformes	Euphthiracaroidea	Rhysotritia	ardua	parthenogenetic						
Acariformes	Euphthiracaroidea	Rhysotritia	duplicata	parthenogenetic						
Acariformes	Eupodidae	Eupodes	sigmoidensis	parthenogenetic						
Acariformes	Eupodidae	Eupodes	sp.	gonochorous			other		18	
Acariformes	Eupodidae	Hawaiieupodes	thermophilus	parthenogenetic						
Acariformes	Galumnidae	Galumna	ithacensis	gonochorous						
Acariformes	Galumnidae	Galumna	sp.	gonochorous					18	
Acariformes	Galumnidae	Orthogalumna	terebrantis	gonochorous			other		18	
Acariformes	Galumnidae	Pergalumna	curva	parthenogenetic						
Acariformes	Galumnidae	Pergalumna	formiparthenogenesis (obligate)ria	gonochorous						
Acariformes	Gehypochthoniidae	Gehypochthonius	xarifae	parthenogenetic						
Acariformes	Gymnodamaeidae	Gymnodamaeus	bicostaus	gonochorous						
Acariformes	Gymnodamaeidae	Jacotella	species	gonochorous						
Acariformes	HAPLOCHTHONlIDAE	Amnemochthonius	taeniophorus	parthenogenetic						
Acariformes	HAPLOCHTHONlIDAE	Haplochthonius	simplex	parthenogenetic						
Acariformes	Haplozetidae	Peloribates	cf.	gonochorous						
Acariformes	Haplozetidae	Xylobates	oblongus	parthenogenetic						
Acariformes	Haplozetidae	Xylobates	robuSlior	parthenogenetic						
Acariformes	Harpirhynchidae	Harpyrhynchus	brevis	gonochorous			other		4	
Acariformes	Harpirhynchidae	Harpyrhynchus	novoplumaris	gonochorous			other		4	
Acariformes	Hemisarcoptidae	Hemisarcoptes	coccophagus	gonochorous					14	
Acariformes	Hermanniellidae	Hermanniella	species	gonochorous						
Acariformes	Histiostomatidae	Anoetus	laboratorium	gonochorous			other		8	
Acariformes	Histiostomatidae	Hormosianoetus	laboratorium	gonochorous			other		8	
Acariformes	Histiostomatidae	Myianoetus	sp.	gonochorous			other			
Acariformes	Histiostomatidae	Hexanoetus	conoidalis	gonochorous			other			
Acariformes	Histiostomatidae	Histiostoma	bakeri	gonochorous						
Acariformes	Histiostomatidae	Histiostoma	feroniarum.2	parthenogenetic						
Acariformes	Histiostomatidae	Histiostoma	formosana	gonochorous			other			
Acariformes	Histiostomatidae	Histiostoma	humiditatis	parthenogenetic						
Acariformes	Histiostomatidae	Histiostoma	murchei	gonochorous			other			
Acariformes	Hydrachnidae	Hydrachna	sp.1	gonochorous					12	
Acariformes	Hydrachnidae	Hydrachna	sp.2	gonochorous					12	
Acariformes	Hydrodromidae	Hydrodroma	despiciens.2	gonochorous					16	
Acariformes	HYDROZETlDAE	Hydrozetes	dimorphus virginalis	parthenogenetic						
Acariformes	HYDROZETlDAE	Hydrozetes	lacustris	parthenogenetic						
Acariformes	HYDROZETlDAE	Hydrozetes	parisiensis	parthenogenetic						
Acariformes	HYDROZETlDAE	Hydrozetes	terrestris	parthenogenetic						
Acariformes	HYDROZETlDAE	Hydrozetes	tridactylus	parthenogenetic						
Acariformes	Hydryphantidae	Hydryphantes	clypeatus	gonochorous					6	
Acariformes	Hydryphantidae	Hydryphantes	sp.	gonochorous					10	
Acariformes	Hydryphantidae	Hydryphantes	sp.1	gonochorous					10	
Acariformes	Hydryphantidae	Hydryphantes	sp.2	gonochorous					10	
Acariformes	Hypochthoniidae	Eohypochthonius	magnus	parthenogenetic						
Acariformes	Hypochthoniidae	Eohypochthonius	travei	parthenogenetic						
Acariformes	Hypochthoniidae	Hypochthonius	rufulus.2	parthenogenetic						
