Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Sapindales	Sapindaceae	Acer	albopurpurascens × buergerianum		var. formosanum		1												
Sapindales	Sapindaceae	Acer	brachystephyanum	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	caloneurum	C.Y.Wu & T.Z.Hsu															
Sapindales	Sapindaceae	Acer	chapaense	Gagnep.															
Sapindales	Sapindaceae	Acer	chiangdaoense	Santisuk															
Sapindales	Sapindaceae	Acer	cinerascentiforme	Pojark.															
Sapindales	Sapindaceae	Acer	divergens	K.Koch ex Paxton															
Sapindales	Sapindaceae	Acer	emeiense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	eucalyptoides	W.P.Fang & Y.T.Wu															
Sapindales	Sapindaceae	Acer	foveolatum	C.Y.Wu															
Sapindales	Sapindaceae	Acer	guizhouense	Y.K.Li															
Sapindales	Sapindaceae	Acer	hainanense	F.Chun & W.P.Fang															
Sapindales	Sapindaceae	Acer	huangpingense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	jingdongense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	laisuense	W.P.Fang & W.K.Hu															
Sapindales	Sapindaceae	Acer	lanpingense	W.P.Fang & M.Y.Fang															
Sapindales	Sapindaceae	Acer	lanum																
Sapindales	Sapindaceae	Acer	lauyuense	W.P.Fang ex C.C.Fu															
Sapindales	Sapindaceae	Acer	leptophyllum	W.P.Fang															
Sapindales	Sapindaceae	Acer	lichuanense	C.D.Chu & G.G.Tang															
Sapindales	Sapindaceae	Acer	longipedicellatum	C.Y.Wu															
Sapindales	Sapindaceae	Acer	mairei	H.Lév.															
Sapindales	Sapindaceae	Acer	mapienense	W.P.Fang															
Sapindales	Sapindaceae	Acer	medogense	T.Z.Hsu & Z.K.Zhou															
Sapindales	Sapindaceae	Acer	mono × truncatum				1												
Sapindales	Sapindaceae	Acer	nayongense	W.P.Fang															
Sapindales	Sapindaceae	Acer	okamotoi	Nakai															
Sapindales	Sapindaceae	Acer	oligocarpum	W.P.Fang & L.C.Hu						tree									
Sapindales	Sapindaceae	Acer	pehpeiense	W.P.Fang & H.Y.Su															
Sapindales	Sapindaceae	Acer	pluridens	T.Z.Hsu & H.Sun															
Sapindales	Sapindaceae	Acer	rubronervium	Y.K.Li															
Sapindales	Sapindaceae	Acer	salweenense	W.W.Sm.															
Sapindales	Sapindaceae	Acer	schneiderianum	Pax & K.Hoffm.															
Sapindales	Sapindaceae	Acer	shangszeense	W.P.Fang & Soong															
Sapindales	Sapindaceae	Acer	shensiense	W.P.Fang & L.C.Hu															
Sapindales	Sapindaceae	Acer	shihweii	F.Chun & W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	sichourense	(W.P.Fang & M.Y.Fang) W.P.Fang															
Sapindales	Sapindaceae	Acer	sinopurpurescens																
Sapindales	Sapindaceae	Acer	taipuense	W.P.Fang															
Sapindales	Sapindaceae	Acer	tenellum	Pax						tree									
Sapindales	Sapindaceae	Acer	tibetense	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	trialatum	L.L.Deng K.Y.Wei & G.S.Fan															
Sapindales	Sapindaceae	Acer	tricaudatum	W.P.Fang & C.C.Fu															
Sapindales	Sapindaceae	Acer	undulatum	Pojark.															
Sapindales	Sapindaceae	Acer	wuyishanicum	W.P.Fang & C.M.Tan															
Sapindales	Sapindaceae	Acer	× bornmuelleri	Borbás			1												
Sapindales	Sapindaceae	Acer	× coriaceum	Bosc ex Tausch.			1												
Sapindales	Sapindaceae	Acer	× freemanii	A.E.Murray			1												
Sapindales	Sapindaceae	Acer	× martinii	Jord.			1												
