Order	Family	Genus	Species	chr_num_female	chr_num_male	predicted_ploidy	sex_system	karyotype	genotypic	haplodiploidy	environmental	Polyfactorial (yes,no)	molecular_basis
Anura	Bufonidae	Bufo	Bufo baturae	33		3	gonochoristic|other						
Anura	Bufonidae	Bufo	Bufo viridis-1				gonochorous	homomorphic					
Anura	Bufonidae	Bufo	Bufo viridis-2				gonochorous	homomorphic					
Anura	Bufonidae	Bufo	Bufo viridis-3				gonochorous	ZW	female heterogametic				
Anura	Bufonidae	Bufo	Bufo viridis-4				gonochorous	XY	male heterogametic				
Anura	Bufonidae	Chaunus	Chaunus ssp	22	22		gonochorous	homomorphic					
Anura	Centronelidae	Centrolenella	Centrolenella anthistenesi				gonochorous	XY	male heterogametic				
Anura	Dendrobatidae	Ameerega	Ameerega galactonotus	18	18		gonochorous	homomorphic					
Anura	Dendrobatidae	Epipedobates	Epipedobates femoralis	24	24		gonochorous	homomorphic					
Anura	Dendrobatidae	Epipedobates	Epipedobates trivittattus	24	24		gonochorous	homomorphic					
Anura	Leptodactylidae	Crossodactylus	Crossodactylus caramaschi	26	26		gonochorous						
Anura	Leptodactylidae	Eleutherodactylus	Eleutherodactylus euphronides	32	32		gonochorous	ZW	female heterogametic				
Anura	Leptodactylidae	Eleutherodactylus	Eleutherodactylus maussi	36	35		gonochorous	complex XY	male heterogametic				
Anura	Leptodactylidae	Eleutherodactylus	Eleutherodactylus riveroi				gonochorous	homomorphic	male heterogametic				
Anura	Leptodactylidae	Eleutherodactylus	Eleutherodactylus shrevei	32	32	2	gonochorous	ZW	female heterogametic				
Anura	Pipidae	Silurana	Silurana tropicalis				gonochorous						
Anura	Racophoridae	Buergeria	Buergeria buergeri				gonochorous	ZW	female heterogametic				
Anura	Ranidae	Fejervarya	Fejervarya ssp				gonochorous	homomorphic					
Anura	Ranidae	Pelophylax	Pelophylax kl. Hispanicus			2	other						
Anura	Ranidae	Rana	Rana brevipoda				gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana huanrenesis	24	24		gonochorous	homomorphic					
Anura	Ranidae	Rana	Rana sakurai	26	26		gonochorous	homomorphic	male heterogametic				
Anura	Ranidae	Rana	Rana tigrina				gonochorous	homomorphic	female heterogametic				
Anura	Ranidae	Tomopterna	Tomopterna labrosa				gonochorous						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (2) laterale-(2) jeffersonianum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (2) laterale-(2) texanum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (2) laterale-texanum			3	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (3) laterale-jeffersonianum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (3) laterale-texanum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma (4) laterale-jeffersonianum			5	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale-(2) jeffersonianum-texanum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale-(2) jeffersonianum-tigrinum			4	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale-(2) texanum			3	other						
Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale-(2) texanum-tigrinum			4	other						
