"Subfamily","Tribe","Species","Sample_local"," Countries","Haploid_n","Diploid_2n","Karyotype","Notes","Genome_size_pg","Classic_cytogenetic_data","Molecular_cytogenetic_data","References ","Family"
"Apinae","Euglossini","Euglossasp.","Viosa, Minas Gerais","Brazil","21","","","","","Ag-NOR","","Maffei et al. 2001 ","Apidae"
"Apinae","Meliponini","Celetrigona longicornis","Nova Xavantina, Mato Grosso","Brazil","","","","","0.46-0.49","","","Tavares et al. 2012 ","Apidae"
"Apinae","Meliponini","Duckeola ghiliani","Manaus, Amazonas","Brazil","15","","","as Frieseomelitta (Duckeola) ghiliani","","","","Kerr 1972 ","Apidae"
"Apinae","Meliponini","Frieseomelitta meadewaldoi","Nova Ibi, Bahia","Brazil","","30","2k = 8metacentric + 4acrocentric + 18pseudo-acrocentric","","","C-banding","DAPI/CMA3; FISH (microsatellite probes)","Santos et al. 2018Santos et al. 2018 ","Apidae"
"Apinae","Meliponini","Frieseomelitta sp. n.","Jequi, Bahia","Brazil","","30","2k = 4metacentric + 4acrocentric + 22pseudo-acrocentric","","0.44","C-banding","DAPI/CMA3; FISH (microsatellite probes)","Tavares et al. 2012Santos et al. 2018 ","Apidae"
"Apinae","Meliponini","Lestrimelittasp.","Domingos Martins, Esprito Santo","Brazil","","28","","","0.463","","","Tavares et al. 2010a ","Apidae"
"Apinae","Meliponini","Meliponula becarii","Massinga","Moambique","17","","","as Meliplebeia becarii","","","","Kerr 1972 ","Apidae"
"Apinae","Meliponini","Nannotrigonasp.","Porto Seguro, Bahia","Brazil","","34","2k= 20acrocentric + 14pseudo-acrocentric","","","C-banding","DAPI/CMA3","Rocha et al. 2003a ","Apidae"
"Apinae","Meliponini","Nannotrigonasp.","Xapuri, Acre","Brazil","","","","","0.45","","","Tavares et al. 2012 ","Apidae"
"Apinae","Meliponini","Parapartamona brevipilosa","Baeza and Cosanga, Napo","Ecuador","","32","all metacentric or submetacentric","","","","","Bravo and Arcos 1991 ","Apidae"
"Apinae","Meliponini","Parapartamona zonata","Chiriboga and Tandayapa, Pichincha","Ecuador","16","32","all metacentric or submetacentric","","","","","Bravo and Arcos 1991 ","Apidae"
"Apinae","Meliponini","Plebeia sp.1","Viosa, Minas Gerais","Brazil","","34","","","","Ag-NOR","","Maffei et al. 2001 ","Apidae"
"Apinae","Meliponini","Plebeiasp.","Xapuri, Acre","Brazil","","","","","0.43-0.44","","","Tavares et al. 2012 ","Apidae"
"Apinae","Meliponini","Scaptotrigonasp.","So Jos do Sabugi, Paraba","Brazil","","34","2k= 18acrocentric + 16pseudo-acrocentric","","","C-banding","DAPI/CMA3","Rocha et al. 2003a ","Apidae"
"Apinae","Meliponini","Schwarzianasp.","Domingos Martins, Esprito Santo","Brazil","","","","","0.65","","","Tavares et al. 2012 ","Apidae"
"Apinae","Meliponini","Trigonasp.","Cnego Marinho, Minas Gerais","Brazil","17","","k= 2acrocentric + 15pseudo-acrocentric","as Trigona cfr. fuscipennis","","C-banding","","Rocha et al. 2003a ","Apidae"
"Apinae","Meliponini","Trigonasp.","Urbano Santos, Maranho","Brazil","","","","as Trigona fulviventris","0.81","","","Tavares et al. 2012 ","Apidae"
"Collectinae","Hylaeini","Hylaeus nippon","Matsue, Shimane","Japan","8","","k= 1pseudo-acrocentric + 7metacentric","","","C-banding","","Hoshiba and Imai 1993 ","Apidae"
"Collectinae","Hylaeini","Hylaeus sp. 1","Rifu, Miyagi","Japan","18","","k= 18metacentric","","","C-banding","","Hoshiba and Imai 1993 ","Apidae"
"Collectinae","Hylaeini","Hylaeus sp. 2","Rifu, Miyagi","Japan","28","","k= 26pseudo-acrocentric + 2metacentric","","","C-banding","","Hoshiba and Imai 1993 ","Apidae"
"Halictinae","Augochlorini","Augochloropsis sparsilis","Curitiba, Paran","Brazil","16","","","","","","","Kerr 1972 ","Apidae"
"Halictinae","Halictini","Lasioglossum lineatulus","Ithaca, New York","United States","12","24","all metacentric or submetacentric","Dialictus lineatulus","","","","Ramberg et al. 1984 ","Apidae"
"Halictinae","Halictini","Lasioglossum rhytidophorus","Curitiba, Paran","Brazil","6","","","as Lasioglossum (Dialictus) rhytidophorum","","","","Kerr 1972 ","Apidae"
"Megachilinae","Anthidiini","Loyolanthidium notatum","Orlando, Florida","United States","","","","as Anthidiellum notatum rufimaculatum","0.48","","","Ardila-Garcia et al. 2010 ","Apidae"
"Megachilinae","Megachilini","Megachile ainu","Matsue, Shimane","Japan","16","","k= 16pseudo-acrocentric","","","C-banding","","Hoshiba and Imai 1993 ","Apidae"
"Megachilinae","Megachilini","Megachile albitarsis","Orlando, Florida","United States","","","","","0.8","","","Ardila-Garcia et al. 2010 ","Apidae"
"Megachilinae","Megachilini","Megachile spissula","Sendai, Miyagi","Japan","16","","k= 14pseudo-acrocentric + 2metacentric","as Chalicodoma spissula","","C-banding","","Hoshiba and Imai 1993 ","Apidae"
