taxon_id	input	rank	suggested
	Euglossasp.	species	euglossa
596878	Duckeola ghiliani	species	Duckeola ghilianii
	Lestrimelittasp.	species	lestrimelitta
597077	Meliponula becarii	species	Meliplebeia beccarii
	Nannotrigonasp.	species	nannotrigona
	Plebeiasp.	species	plebeia	plebeius
	Scaptotrigonasp.	species	scaptotrigona
	Schwarzianasp.	species	schwarziana
	Trigonasp.	species	trigonaspis
1660277	Augochloropsis sparsilis	species	Augochloropsis sparsalis
1039749	Lasioglossum lineatulus	species	Lasioglossum lineatulum
1879104	Megachile albitarsis	species	Megachile sinuata
