Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Acuaria spiralis		revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	12	2	XX/X0	m/f			28
Anguina graminophila			CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2					66
Aphelenchoides fragrariae			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	8	2		m/f			69
Aphelenchoides tuzeli			CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2		p			69
Ascaridia dissimilis			CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	10	2	XX/X0	m/f			72
Camallanus baylisi			CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	10	2	XX/X0	m/f			78
Cosmocerca kashmirensis			CHROMADOREA	RHABDITIDA	SPIRURINA	COSMOCERCIDAE	16	2					32
Cucullanus elegans			CHROMADOREA	RHABDITIDA	SPIRURINA	CUCULLANIDAE	12	2					27
Cystidicola cristiwomeri			CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	12	2	XX/X0	m/f			80
Dipetalonema setariosum			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Diploscapter sp. 2 JU359		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			42
Filaroides mustelarum			CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	16	2					26
Foleyella agamae			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2					82
Ganguleterakis spumosa			CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	12	2					27
Hammerschmidtiella andersoni			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Heligmosomoides turgidus		revised	CHROMADOREA	RHABDITIDA	RHABDITINA	HELIGMOSOMIDAE	12	2		m/f			79
Heterodera tabacum			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterorhabditis heliothidis			CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. D1		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. HW79		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. NC162		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. NZ		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. V16		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Hexametra sp.		n.res.	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	22	2					71
Mehdiella microstoma			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
