"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation","Ploidy","Chrnum","Haploid_autosome_num","Sex_chromosomes","estimated_haploid"
"Coleoptera","Adephaga","Carabidae","Abacetus salzamanni","Sexual diplodiploidy","2n=41M 20+XO","XO","NA","","","Yadav,Lyapunova,Korablev,Baklushiskaya-Yani,and Vorontosov (1991)","2","41","20","XO","21/20"
"Coleoptera","Adephaga","Carabidae","Acinopus gutturosus","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Galian (1998)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonini sp. 1","Sexual diplodiploidy","2n=30M","","NA","","","Serrano and Yadav (1984)","2","30","","",""
"Coleoptera","Adephaga","Carabidae","Agonini sp. 2","Sexual diplodiploidy","2n=36M","","NA","","","Serrano and Yadav (1984)","2","36","","",""
"Coleoptera","Adephaga","Carabidae","Agonum bogemanni","Sexual diplodiploidy","2n=36M 17+NeoXY","NeoXY","NA","","","Serrano and Yadav (1984)","2","36","17","NeoXY","18/18"
"Coleoptera","Adephaga","Carabidae","Agonum cupripenne","Sexual diplodiploidy","2n=36M 17+NeoXY","NeoXY","NA","","","Serrano and Yadav (1984)","2","36","17","NeoXY","18/18"
"Coleoptera","Adephaga","Carabidae","Agonum errans","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonum margitum","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonum moestum longipenne","Sexual diplodiploidy","2n=34M 16+XY","XY","NA","","","Serrano and Yadav (1984)","2","34","16","XY","17/17"
"Coleoptera","Adephaga","Carabidae","Agonum munsteri","Sexual diplodiploidy","2n=36M 17+XY","XY","NA","","","Serrano and Yadav (1984)","2","36","17","XY","18/18"
"Coleoptera","Adephaga","Carabidae","Agonum sp. 1","Sexual diplodiploidy","2n=37M","","NA","","","Serrano and Yadav (1984)","2","37","","",""
"Coleoptera","Adephaga","Carabidae","Agonum sp. 2","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Agonum thoreyi melanocephalus","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Serrano and Yadav (1984)","2","35","17","XO","18/17"
"Coleoptera","Adephaga","Carabidae","Amara arcuata","","2n=37M","","NA","","","Serrano and Galian (1998)","2","37","","",""
"Coleoptera","Adephaga","Carabidae","Amara batesi","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Galian (1998)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Amara fervida","Sexual diplodiploidy","2n=33M 16+XO","XO","NA","","","Serrano and Galian (1998)","2","33","16","XO","17/16"
"Coleoptera","Adephaga","Carabidae","Amara impuncticollis","Sexual diplodiploidy","2n=34M","","NA","","","Serrano and Yadav (1984)","2","34","","",""
"Coleoptera","Adephaga","Carabidae","Amara laevipennis","Sexual diplodiploidy","2n=32M 15+NeoXY","NeoXY","NA","","","Serrano and Yadav (1984)","2","32","15","NeoXY","16/16"
"Coleoptera","Adephaga","Carabidae","Amara metallescens","","2n=21M","","NA","yes","","Serrano and Galian (1998)","2","21","","",""
"Coleoptera","Adephaga","Carabidae","Amara moerens","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Galian (1998)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Amara nila","Sexual diplodiploidy","2n=22M 10+XY","XY","NA","","","Serrano and Galian (1998)","2","22","10","XY","11/11"
"Coleoptera","Adephaga","Carabidae","Amara rotundicollis","","2n=26F","","NA","","","Serrano and Galian (1998)","2","26","","",""
"Coleoptera","Adephaga","Carabidae","Amblystomus bivittatus","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Amblystomus quadriguttatus","Sexual diplodiploidy","2n=28F","","NA","","","Galian and Moore (1994)","2","28","","",""
"Coleoptera","Adephaga","Carabidae","Anisodactylus sigtus","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Anomoglossus emargitus","Sexual diplodiploidy","2n=37M 18+XO","XO","NA","","","Serrano and Yadav (1984)","2","37","18","XO","19/18"
"Coleoptera","Adephaga","Carabidae","Apenes margilis","Sexual diplodiploidy","2n=36M","","NA","","","Serrano and Yadav (1984)","2","36","","",""
"Coleoptera","Adephaga","Carabidae","Arthropterus sp. 1","Sexual diplodiploidy","2n=46M/2n=46F","","NA","","","Galian and Moore (1994)","2/2","46/46","","",""
"Coleoptera","Adephaga","Carabidae","Asaphidion cyanicorne","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 1'","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 2'","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion ambiguum","Sexual diplodiploidy","2n=24M/2n=24F","","NA","","","Serrano and Yadav (1984)","2/2","24/24","","",""
"Coleoptera","Adephaga","Carabidae","Bembidion andreae andreae","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion andreae bualei","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion arizoe","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion bowditchi","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion carpetanum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion cf anguliferum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion cf. immaturum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion coeruleum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion consanguineum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group contractum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group viridicolle","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion convexulum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion cribum","Sexual diplodiploidy","2n=25M","","NA","","","Serrano and Yadav (1984)","2","25","","",""
"Coleoptera","Adephaga","Carabidae","Bembidion dahli","Sexual diplodiploidy","2n=25M","","NA","","","Serrano and Yadav (1984)","2","25","","",""
"Coleoptera","Adephaga","Carabidae","Bembidion dauricum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion fasciolatum egregium","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion fortutum","Sexual diplodiploidy","2n=24M/2n=24F 11+XY","XY","NA","","","Serrano and Yadav (1984)","2/2","24/24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion gebleri turbatum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion grisvardi","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion guadarramense","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion hasti","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Galian (1998)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion hasti","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","D. Maddison (1985)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion hasurada","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Galian (1998)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion hesperium","Sexual diplodiploidy","2n=22M 10+XY","XY","NA","","","D. Maddison (1985)","2","22","10","XY","11/11"
"Coleoptera","Adephaga","Carabidae","Bembidion hypocrita","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion ibericum","Sexual diplodiploidy","2n=24M 11+XY","XY","NA","","","Serrano and Yadav (1984)","2","24","11","XY","12/12"
"Coleoptera","Adephaga","Carabidae","Bembidion iequale iequale","Sexual diplodiploidy","2n=22M 10+XY","XY","NA","","","D. Maddison (1985)","2","22","10","XY","11/11"
