taxon_id	input	rank	suggested
1586935	Abacetus salzamanni	species	Abacetus salzmanni
	Agonum margitum	species	agonum marginatum	agonum marcidum
	Amara impuncticollis	species	amara puncticollis
1483809	Amara laevipennis	species	Amara torrida
1587011	Anisodactylus sigtus	species	Anisodactylus signatus
1166850	Bembidion arizoe	species	Bembidion durangoense
450215	Bembidion bowditchi	species	Bembidion bowditchii
347432	Bembidion convexulum	species	Paratachys bistriatus
1166940	Bembidion cribum	species	Sinechostictus cribrum
2493287	Bembidion dahli	species	Sinechostictus dahlii
	Bembidion fortutum	species	bembidion fortunatum
795071	Bembidion littorale	species	Bembidion litorale
1944110	Bembidion operosum	species	Bembidion petrosum
	Bembidion platum	species	bembidion planum
1553803	Bembidion rivulare	species	Trechus rivularis
1166858	Bembidion stephensi	species	Bembidion stephensii
2493403	Bembidion thetys	species	Bembidion tethys
	Bembidion tricolor	species	bembidion iricolor	bembidion varicolor	bembidion unicolor
1944111	Bembidion yukonoum	species	Bembidion yukonum
60828	Blethsia multipunctata	species	Blethisa multipunctata
1343429	Calachroa sexpunctata	species	Cicindela sexpunctata
127477	Calathus gratensis	species	Calathus granatensis
1236466	Calathus luctosus	species	Calathus luctuosus
114449	Calosoma maderae indigator	species	Campalita maderae
	Carabus arcensis arcensis	species	carabus arvensis arvensis
102646	Carabus olympia	species	Carabus olympiae
1149313	Carabus pyreeus	species	Carabus pyrenaeus
	Carabus pyreeus pyreeus	species	carabus pyrenaeus pyrenaeus
109858	Chlaenius aestivus	species	Chlaenius vestitus
2611518	Chlaenius laetiusculus	species	Chlaenius laeviusculus
869531	Cicindela bigemi	species	Cylindera bigemina
1587494	Cicindela silvicola	species	Cicindela sylvicola
1343317	Cicindela trisigta	species	Cylindera trisignata
170253	Colliuris pennsylvanica	species	Cosnania pensylvanica
1343317	Cylindera trisigta	species	Cylindera trisignata
1343309	Cylindra germanica	species	Cylindera germanica
1587257	Dromius meridiolis	species	Dromius meridionalis
304361	Dyschirus globosus	species	Dyschirius globosus
247379	Egadroma margitum	species	Egadroma marginatum
93363	Ellipsoptera margita	species	Cicindela marginata
247282	Harpalus aesculans	species	Harpalus aesculanus
247283	Harpalus albanicus	species	Harpalus affinis
247300	Harpalus wagnerii	species	Harpalus wagneri
585990	Laemostenus complatus	species	Laemostenus complanatus
2897411	Licinus aequatus	species	Ricinus arcuatus
2609233	Macrocheilus trimaculatus	species	Macrocheilus bensoni
175617	Mantichora amigdaloides	species	Manticora amygdaloides
1217135	Myriochile fastidiosa	species	Myriochila fastidiosa
1343349	Myriochile melancholica	species	Myriochila melancholica
1343350	Myriochile undulata	species	Myriochila undulata
1149906	Nebria asturiensis	species	Nebria subdilatata
247409	Nesarpalus fortutus	species	Nesarpalus fortunatus
155395	Notagonum submetalicum	species	Notagonum submetallicum
795083	Omaseus atterrimus	species	Pterostichus aterrimus
