"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser cygnoid","Cygnopsis cognoid","82","41","Hammar 1966"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Bucephala clangula americana","","80","40","Be�ak et al. 1973"
"NEOGNATHAE","GALLIFORMES","Cracidae","","Pipile cumanensis cumanensis","","84","42","Belterman and De Boer 1990"
"NEOGNATHAE","GALLIFORMES","Numididae","","Guttera pucherani edouardi","Guttera edouardi","76","38","Belterman and De Boer 1984"
"NEOGNATHAE","SPHENISCIFORMES","Spheniscidae","Penguins","Aptenodytes  patagonicus","","72","36","Cardozo et al. 2003"
"NEOGNATHAE","CICONIIFORMES","Ciconiidae","","Ciconia ciconia ciconia","","72","36","De Boer and Van Brink 1982"
"NEOGNATHAE","CICONIIFORMES","Ciconiidae","","Leptoptilos crumenifer","","52","26","Takagi and Sasaki 1974; De Boer and Van Brink 1982"
"NEOGNATHAE","PELECANIFORMES","Threskiornithidae","","Nipponia nippon�","","68","34","Takagi and Sasaki 1974; Sasaki et al. 1974"
"NEOGNATHAE","ACCIPITRIFORMES","Accipitridae","","Alquila chrysaetos","","62","31","Takagi and Sasaki 1974"
"NEOGNATHAE","ACCIPITRIFORMES","Accipitridae","","Alquila heliaca","","68","34","Takagi and Sasaki 1974"
"NEOGNATHAE","ACCIPITRIFORMES","Accipitridae","","Gyps himalayensi","","66","33","Nie et al. 2015"
"NEOGNATHAE","ACCIPITRIFORMES","Accipitridae","","Nisaetus nipalensis orientalis","","66","33","Nishida et al. 2013"
"NEOGNATHAE","ACCIPITRIFORMES","Accipitridae","","Theratopius ecaudatus","","66","33","Bed� Hom et al. 1998"
"NEOGNATHAE","GRUIFORMES","Gruidae","","Antigone antigone sharpii","","80","40","Takagi and Sasaki 1974"
"NEOGNATHAE","GRUIFORMES","Gruidae","","Antigone canadensis�","Grus canadensis","80","40","Takagi and Sasaki 1974"
"NEOGNATHAE","GRUIFORMES","Gruidae","","Grus carunculata","Bugeranus carunculatus","80","40","Takagi and Sasaki 1974"
"NEOGNATHAE","GRUIFORMES","Gruidae","","Leucogeranus leucogeranus","Grus leucogeranus","80","40","Les Christidis 1990"
"NEOGNATHAE","GRUIFORMES","Rallidae","","Aramides saracura","","80","40","Davide 1979"
"NEOGNATHAE","CHARADRIIFORMES","Charadriidae","","Vanellus malabaricus","","76","38","Samanta and Prasad 1981; Bhunya and Mohanty 1990"
