taxon_id	input	rank	suggested
336632	Anyphaena pecterosa	species	Anyphaena pectorosa
158285	Habronattus viridepes	species	Habronattus viridipes
256748	Latrodectus various	species	Latrodectus variolus
686703	Garjajewia cabanisi	species	Garjajewia cabanisii
86506	Palicarinus puzylli	species	Palicarinus puzyllii
232426	Rachotropis aculeata	species	Rhachotropis aculeata
2775428	Protohyale schmidti	species	Protohyale schmidtii
280789	Daphnia minnihaha	species	Daphnia minnehaha
	Microcaris fortunata	species	mirocaris fortunata
6689	Litopenaeus vanname	species	Penaeus vannamei
2992683	Caecidotea racovitzae	species	Caecidotea racovitzai
571814	Stichopus diabole	species	Isostichopus badionotus
	Psloidae	family	psyllidae	psocidae	psilidae
244941	Blatella nipponica	species	Blattella nipponica
346707	Apthona lutescens	species	Aphthona lutescens
38164	Ophraella cribata	species	Ophraella cribrata
	Coccinula quatordecimpustulata	species	coccinula quatuordecimpustulata	coccinula quattuordecimpustulata	coccinella quatuordecimpustulata
703264	Hippodamia variagata	species	Hippodamia variegata
558720	Propylea quatuorodecimpunctata	species	Propylea quattuordecimpunctata
77166	Dendroctonus ponderosa	species	Dendroctonus ponderosae
377198	Martineziana dutertrei	species	Martineziella dutertrei
329103	Aedes excrucianus	species	Ochlerotatus excrucians
1245354	Aedes pseudoalbopictus	species	Aedes pseudalbopictus
124917	Armigeres subalbanus	species	Armigeres subalbatus
329107	Culiseta moristans	species	Culiseta morsitans
54075	Drosophila neohydei	species	Drosophila eohydei
428973	Zaprionus camarounensis	species	Zaprionus camerounensis
284540	Zaprionus ghesquerei	species	Zaprionus ghesquierei
7297	Zaprionus tuberculatis	species	Zaprionus tuberculatus
1411026	Archisepsis escalcarata	species	Archisepsis ecalcarata
292405	Thermia putris	species	Themira putris
133065	Adelges cooleyii	species	Adelges cooleyi
112273	Mogoura viciae	species	Megoura viciae
	Myzus nicotinae	species	myzus nicotianae
168653	Rhopalosiphon cerasifoliae	species	Rhopalosiphum cerasifoliae
40932	Rhopalosiphon padi	species	Rhopalosiphum padi
486745	Melipoma asilvai	species	Melipona asilvai
60889	Melipoma bicolor	species	Melipona bicolor
596970	Melipoma capixaba	species	Melipona capixaba
28652	Melipoma compressipes	species	Melipona compressipes
486748	Melipoma crinita	species	Melipona crinita
596913	Melipoma eburnea	species	Melipona eburnea
486752	Melipoma fuscopilosa	species	Melipona fuscopilosa
398100	Melipoma grandis	species	Melipona grandis
486756	Melipoma mandacaia	species	Melipona mandacaia
486757	Melipoma marginata	species	Melipona marginata
561222	Melipoma mondury	species	Melipona mondury
166423	Melipoma quadrifasciata	species	Melipona quadrifasciata
300638	Melipoma quinquefasciata	species	Melipona quinquefasciata
486763	Melipoma rufiventris	species	Melipona rufiventris
263364	Melipoma scutellaris	species	Melipona scutellaris
486764	Melipoma seminigra	species	Melipona seminigra
300637	Melipoma subnitida	species	Melipona subnitida
486745	Melipona asilvaib	species	Melipona asilvai
166427	Nanotrigona testaceicornis	species	Nannotrigona testaceicornis
597192	Scaptotrigona xantotricha	species	Scaptotrigona xanthotricha
606811	Cerapachys edentata	species	Cerapachys edentatus
411748	Dormyrmex bicolor	species	Dorymyrmex bicolor
609848	Formica pallidifulva	species	Formica pallidefulva
1879104	Megachile albitarsis	species	Megachile sinuata
214157	Grammea virgo	species	Apantesis virgo
214159	Halisidota tesselaris	species	Halysidota tessellaris
216861	Ennomos subsignarius	species	Ennomos subsignaria
690220	Guenovia simcloria	species	Gueneria similaria
214081	Ceratoma undulosa	species	Ceratomia undulosa
2666032	Aeshna coerulea	species	Aeshna caerulea
218365	Argia sedulla	species	Argia sedula
	Macromia illionensis georgina	species	macromia illinoiensis georgina
2547837	Macrotona australis	species	Cnemoplites australis
1607840	Hemiramphus kurumeus	species	Hyporhamphus intermedius
443700	Hyporhampus affinis	species	Hyporhamphus affinis
371673	Holocentrus ascensionis	species	Holocentrus adscensionis
29064	Panthera unica	species	Panthera uncia
9642	Ursus hibetanus	species	Ursus thibetanus
189058	Neophocaena phocaenoides asiaorientalis	species	Neophocaena asiaeorientalis
930303	Brachycalcinus copei	species	Brachychalcinus copei
77229	Balionycterismaculata	species	Balionycteris maculata
58060	Cynopterusbrachyotis	species	Cynopterus brachyotis
258930	Lasiuris borealis	species	Lasiurus borealis
257879	Lasiuris cinereus	species	Aeorestes cinereus
258928	Lasiuris ega	species	Dasypterus ega
592573	Lasiuris intermedius	species	Dasypterus intermedius
258936	Myotis austroriparia	species	Myotis austroriparius
159327	Myotis keaisy	species	Myotis keaysi
	Pipistrelllus abramus	species	pipistrellus abramus	pipistrellys abramus
33589	Leptotilos crumeniferus	species	Leptoptilos crumeniferus
7957	Carassius auratus grandcuris	species	Carassius auratus
46780	Danio malabricus	species	Devario malabaricus
219677	Moroco lagwoski	species	Rhynchocypris lagowskii
109666	Moroco oxcephalus	species	Rhynchocypris oxycephalus
75358	Parabramis pekinesis	species	Parabramis pekinensis
357282	Barbatuala toni	species	Barbatula toni
119849	Poeciliopsis gracilus	species	Poeciliopsis gracilis
32467	Xiphophorus alverezi	species	Xiphophorus alvarezi
1960652	Macropus rufogrigeus	species	Notamacropus rufogriseus
8962	Aguila chrysaetos	species	Aquila chrysaetos
387830	Elanus caerulens	species	Elanus caeruleus
9118	Bugeranus carunculus	species	Grus carunculatus
390356	Ogcocephalus nausutus	species	Ogcocephalus nasutus
1094534	Syndactyla subularis	species	Syndactyla subalaris
	Osteichthyes	class	ostichthys
152551	Paralipophrys trigloide	species	Lipophrys trigloides
173324	Elegatis bipinnulata	species	Elagatis bipinnulata
281269	Haplochromis quiarti	species	Haplochromis guiarti
227774	Haplochromis squamipinnus	species	Haplochromis squamipinnis
257723	Pomatoschistus canestrini	species	Ninnigobius canestrinii
236585	Heamulon flavolineatum	species	Haemulon flavolineatum
435143	Oxycheilinus diagramma	species	Oxycheilinus digramma
182646	Gymnocranius grandiculis	species	Gymnocranius grandoculis
260525	Lutjanus fluviflamma	species	Lutjanus fulviflamma
80953	Pomacentrus bakanensis	species	Pomacentrus bankanensis
270537	Toxotes chatereus	species	Toxotes chatareus
2696653	Blennodon dorsale	species	Blennodon dorsalis
152555	Tripterygion tripteronotus	species	Tripterygion tripteronotum
8201	Lycoduchthys dearborni	species	Lycodichthys dearborni
34830	Galgoides alleni	species	Galago alleni
176015	Aratinga solstitalis	species	Aratinga solstitialis
51904	Deroptyus accitrinus	species	Deroptyus accipitrinus
10177	Georhychus capensis	species	Georychus capensis
10138	Hystrix africaenaustralis	species	Hystrix africaeaustralis
79684	Microtus ochragaster	species	Microtus ochrogaster
861760	Coregonus macropthalmus	species	Coregonus macrophthalmus
1266884	Triglops murrayii	species	Triglops murrayi
420384	Chamaeleo ceylanicus	species	Chamaeleo zeylanicus
617163	Chamaeleo hoehnelli	species	Trioceros hoehnelii
	Anolis sagraei	species	anolis sagrei	anolis sallaei
66049	Tropiduridae	family	Tropiduchidae
106732	Geochelone nigro nigrita	species	Chelonoidis porteri
304257	Diodon liturosis	species	Diodon liturosus
721873	Lactophrys trigonis	species	Lactophrys trigonus
	Ambystoma tigrinum mavoritum	species	ambystoma tigrinum mavortium
288315	Salamandrella keyserlingi	species	Salamandrella keyserlingii
57550	Ensatina eschscholtzi	species	Ensatina eschscholtzii
	Ensatina eschscholtzi croceater	species	ensatina eschscholtzii croceater
	Lissotriton vulgaris schmidtelrorum	species	lissotriton vulgaris schmidtlerorum
213852	Neurergus strauchi	species	Neurergus strauchii
164970	Paramesotriton deloustalii	species	Paramesotriton deloustali
148819	Anadara broughtoni	species	Anadara broughtonii
2951297	Reptadoenella violacea	species	Reptadeonella violacea
169116	Ophrytrocha costlowi	species	Ophryotrocha costlowi
169117	Ophrytrocha diadema	species	Ophryotrocha diadema
169118	Ophrytrocha gracilis	species	Ophryotrocha gracilis
169119	Ophrytrocha hartmanni	species	Ophryotrocha hartmanni
169120	Ophrytrocha labronica	species	Ophryotrocha labronica
169121	Ophrytrocha macrovifera	species	Ophryotrocha macrovifera
169122	Ophrytrocha notoglandulata	species	Ophryotrocha notoglandulata
169124	Ophrytrocha puerilis	species	Ophryotrocha puerilis
169125	Ophrytrocha robusta	species	Ophryotrocha robusta
216211	Themiste langeniformis	species	Themiste lageniformis
302034	Allolobophora chloritica	species	Allolobophora chlorotica
515657	Gonionema vertens	species	Gonionemus vertens
	Lima hemphillii	species	limax hemphili	lima hemphilli
320146	Arinia japonica	species	Chaenomeles japonica
57622	Buscyon canaliculatum	species	Busycotypus canaliculatus
1246631	Nassarius fossatus	species	Nassarius dorsatus
413436	Ischnochiton conspicua	species	Stenoplax conspicua
509938	Polinices duplicatus	species	Neverita duplicata
1514950	Polinices heros	species	Euspira heros
	Onychophorida	order	onychophora
273005	Leioscoloplos fragilis	species	Leitoscoloplos fragilis
646008	Scoloplos rubra	species	Leodamas rubra
	Chlamys hindsii	species	chlamys hindsi
ttIsoAnnu	Isohypsibius lunulatus	species	Isohypsibius annulatus
115833	Paleonotus debile	species	Chrysopetalum debile
101478	Archotoplana holotriche	species	Archotoplana holotricha
6233	Panagrellus redividus	species	Panagrellus redivivus
45464	Teladorsagia cricumcincta	species	Teladorsagia circumcincta
56550	Dugesia benazzi	species	Dugesia benazzii
1129275	Tresus nuttalli	species	Tresus nuttallii
584776	Tapes rhomboideus	species	Polititapes rhomboides
216095	Leptodrilus atlanticus	species	Lepetodrilus atlanticus
