row_number	ncbi_taxid	phylum	subphylum	class	order	family	genus_species	common_name	c_value	chromosome_number	c_value_method	cell_type	standard_species	references
2642	NA	Echinodermata	Asterozoa	Stelleroidea	Forcipulatida	Asteriidae	Pisaster giganteus giganteus	Sea star	0.68	NA	BFA	S	SP	218
2647	NA	Echinodermata	Asterozoa	Stelleroidea	Ophiurida	Ophiothrichidae	Ophiothrix spinosum	Serpent star	2.2	NA	BFA	S	SP	218
1784	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Cicurina sp.	Funnel-web spider	5.36	NA	FIA	HE	GD	176
1785	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Coras sp.	Funnel-web spider	4.67	NA	FIA	HE	GD	176
1786	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Unidentified sp.1	Funnel-web spider	1.77	NA	FIA	HE	GD	176
1787	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Unidentified sp.2	Funnel-web spider	1.08	NA	FIA	HE	GD	176
1791	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Anyphaenidae	Anyphaena pecterosa	Ghost spider	1.27	NA	FIA	HE	GD	176
1803	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Hyposinga sp.	Orb-web spider	4.09	NA	FIA	HE	GD	176
1814	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Gnaphosidae	Sergiolus sp.	Stealthy ground spider	1.59	NA	FIA	HE	GD	176
1817	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Erigone sp.	Dwarf spider	1.87	NA	FIA	HE	GD	176
1822	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Neriene sp.1	Sheetweb weaver	1.4	NA	FIA	HE	GD	176
1823	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Neriene sp.2	Sheetweb weaver	2.06	NA	FIA	HE	GD	176
1826	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Unidentified sp.	Sheetweb weaver	0.9	NA	FIA	HE	GD	176
1839	NA	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Unidentified sp.	Wolf spider	4.18	NA	FIA	HE	GD	176
1929	NA	Arthropoda	Chelicerata	Arachnida	Trombidiformes	Unknown	Unidentified sp.	Red water mite	0.19	NA	FIA	SC	GD	575
709	NA	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Ephemeridae	Unidentified sp.	Mayfly	0.69	NA	FCM	BR	DV	725
