taxon_id	input	rank	suggested
875634	Acacia gerrardi	species	Vachellia gerrardii
2695082	Agave avellaridens	species	Agave avellanidens
1179215	Albizzia amara	species	Albizia amara
	Albizzia lucida	species	albizia lucida
	Allium auctum	species	allium acutum	allium alatum
70760	Allium jesolianum	species	Allium jesdianum
543715	Allium tulipaefolium	species	Allium tulipifolium
72642	Alstroemeria caryophyllacea	species	Alstroemeria caryophyllaea
130453	Arachis spegazinii	species	Arachis duranensis
1640868	Arisarum proboscidium	species	Arisarum proboscideum
3704	Armoracia lapatifolia	species	Armoracia rusticana
422315	Arrhenechtites mixta	species	Arrhenechthites mixta
629273	Bromus macranthus	species	Bromus pictus
172644	Broussonetia payprifera	species	Broussonetia papyrifera
398446	Avena nudi-brevis	species	Avena brevis
511980	Briza jurgensii	species	Chascolytrum juergensii
511986	Briza poaemorpha	species	Chascolytrum poomorphum
52878	Cyphomandra luteoalba	species	Solanum luteoalbum
906780	Dendrobium hookeriana	species	Dendrobium hookerianum
263444	Carludovica drudeii	species	Carludovica drudei
2806786	Chrysanthemum macrophyllum	species	Thyrsanthemum macrophyllum
81941	Clarkia lasseninsis	species	Clarkia lassenensis
268015	Crepis conyzaefolia	species	Crepis conyzifolia
509670	Crepis lapsanoides	species	Crepis lampsanoides
217626	Cucumis meeusi	species	Cucumis meeusei
217630	Cucumis sagitattus	species	Cucumis sagittatus
56851	Dicranostigma franchetiana	species	Dicranostigma franchetianum
364679	Diplatia grandibracteata	species	Diplatia grandibractea
	Eryngium coeruleum	species	eryngium caeruleum
	Ficus bengalensis	species	ficus benghalensis	picus benghalensis	ficus senegalensis
339089	Gastrochilus dasyogon	species	Gastrochilus dasypogon
	Haemanthus katherinae	species	haemanthus katharinae
58930	Hordeum roshevitsii	species	Hordeum roshevitzii
1499322	Lathyrus armenius	species	Lathyrus armenus
1276796	Lathyrus ciliolatus	species	Lathyrus saxatilis
142759	Lycopersicon cheesemanii	species	Solanum cheesmaniae
148535	Moraea tulbhagensis	species	Moraea tulbaghensis
286088	Muellerina bidwilli	species	Muellerina bidwillii
32234	Neillia simensis	species	Neillia sinensis
	Nicotiana palmerii	species	nicotiana palmeri
94321	Orchidantha maxillaroides	species	Orchidantha maxillarioides
519128	Oxalis barrelierii	species	Oxalis barrelieri
357476	Papaver ruprifragum	species	Papaver rupifragum
53089	Paphiopedilum godefroye	species	Paphiopedilum godefroyae
364694	Peraxilla tetrasepala	species	Peraxilla tetrapetala
82020	Scilla pushkinioides	species	Fessia puschkinioides
82021	Scilla vvendenskyi	species	Fessia vvedenskyi
409907	Phaseolus geophillus	species	Macroptilium panduratum
141750	Pholidota inbricata	species	Pholidota imbricata
58971	Pillansia templemanii	species	Pillansia templemannii
46147	Portulaca oleraceae	species	Portulaca oleracea
286875	Ranunculus cappadocius	species	Ranunculus cappadocicus
2071522	Ranunculus flabellatus	species	Ranunculus flabellaris
	Ranunculus fontanus	species	ranunculus montanus
376248	Ranunculus macrophyllus	species	Ranunculus ficariifolius
1053844	Sisyrinchium pachyrrhizum	species	Sisyrinchium pachyrhizum
529595	Sogerianthe sessiliflora	species	Sogerianthe sessiflora
37687	Taeniatherum crititum	species	Taeniatherum caput-medusae
1157238	Tephrosia vogellii	species	Tephrosia vogelii
354420	Tigridia durangense	species	Tigridia durangensis
77340	Tradescantia ohioensis	species	Tradescantia ohiensis
49675	Trillium camchatcense	species	Trillium camschatcense
202786	Uncinia meredensis	species	Carex meridensis
229202	Vaccinium darrowi	species	Vaccinium darrowii
212402	Phalaenopsis luedemanniana	species	Phalaenopsis lueddemanniana
280450	Rhynchostylis gigantia	species	Rhynchostylis gigantea
281129	Pennisetum polystachyon	species	Cenchrus polystachios
