taxon_id	input	rank	suggested
46724	Agaristidae	family	Agariciidae
	Arctiidae	family	arctiinae
987922	Cycnial mendica	species	Diaphora mendica
1231953	Earias insulara	species	Earias insulana
179666	Hippocrita jacobaea	species	Tyria jacobaeae
987974	Lilhosia quadra	species	Lithosia quadra
375888	Theophila religiosae	species	Theophila religiosa
2731081	Euploea leuctostictos	species	Euploea leucostictos
551215	Euploea sylvestor	species	Euploea sylvester
	Euploes mulciber barsine	species	euploea mulciber barsine
551222	Tirumata limniace	species	Tirumala limniace
708645	Exotelsia dodscella	species	Exoteleia dodecella
708644	Exotelsia pinifoliella	species	Exoteleia pinifoliella
934813	Campaea margatitata	species	Campaea margaritaria
1100945	Chlorochysta miata	species	Chloroclysta miata
942386	Euphyia luctuata	species	Enchoria lacteata
934881	Mesolenca albicillata	species	Mesoleuca albicillata
98966	Gracilariidae	family	Gracillariidae
	Hesperidae	family	hesperiidae	histeridae
2049061	Anisocharia sublimbata	species	Anisochoria sublimbata
118093	Celotes celotes	species	Calotes calotes
1107688	Muschampsia proto	species	Muschampia proto
	Pelopidas conjucta conjucta	species	pelopidas conjuncta conjuncta
218758	Pyrgus maculates	species	Pyrgus maculatus
2705571	Reverdinus boeticus	species	Muschampia baetica
1873868	Spialia theraphne	species	Spialia therapne
420590	Dendrolinus jezoensis	species	Dendrolimus superans
151304	Dendrolinus pini	species	Dendrolimus pini
155323	Dendrolinus spectabilis	species	Dendrolimus spectabilis
624169	Eutrix potatoria	species	Euthrix potatoria
7098	Malacosoma neustrium	species	Malacosoma neustria
988021	Phyllodesma ilicifolium	species	Phyllodesma ilicifolia
1418836	Trabala vishnu	species	Trabala vishnou
203782	Calastrina argiolus	species	Celastrina argiolus
282386	Freyeria trochilus	species	Chilades trochylus
301168	lolana iolas	species	Iolana iolas
1160691	Lysandra nivescens	species	Pleroma trichopodum
	Maculinea alcon tarannis	species	maculinea alcon taranis
282036	Plebeius eurypilus	species	Kretania eurypilus
1233223	Plebeius pylaon	species	Kretania pylaon
155165	Plebejus agyrognomon	species	Plebejus argyrognomon
1261520	Tarucus balcanicus	species	Tarucus balkanicus
1706499	Laelia caenosa	species	Laelia coenosa
	Orgyia gonostigma	species	orgya gonostigma
1985232	Orgyia trigontehras	species	Orgyia trigotephras
2839568	Stallingsia maculosa	species	Stallingsia maculosus
987870	Agrochola Iota	species	Agrochola lota
1078805	Arcte coerulea	species	Arcte coerula
1078805	Arete coerulea	species	Arcte coerula
254368	Autographa nigrisigma	species	Autographa nigrisigna
749652	Chrysodeixis chalcytes	species	Chrysodeixis chalcites
987976	Lugephila viciae	species	Lygephila viciae
997540	Mythimna ferraeo	species	Mythimna ferrago
572785	Nycteola rinereana	species	Nycteola cinereana
987895	Paradrina clavipalpis	species	Caradrina clavipalpis
211498	Plusia intermixta	species	Clusia intertexta
254426	Plusia orichalceae	species	Thysanoplusia orichalcea
214125	Xylomyges dolosa	species	Egira dolosa
214091	Clostera alpicalis	species	Clostera apicalis
405010	Argynnis aglaia	species	Argynnis aglaja
405016	Argyronome loadice	species	Argynnis laodice
	Argyronome loadice japonica	species	argyronome laodice japonica
405033	Brenthis heate	species	Brenthis hecate
113313	Chlosyne harrish	species	Chlosyne harrisii
1546277	Cybdelis phaesila	species	Cybdelis phaesyla
127241	Elzunia pavoni	species	Elzunia pavonii
	Eueides tibilia	species	eueides vibilia	eleodes tibialis
2798363	Euphaedra edwardsii	species	Euphaedra edwardsi
33444	Heliconius elmatus	species	Heliconius elevatus
304548	Hyaliris antea	species	Hyalyris antea
2575784	Memphis falcate	species	Memphis falcata
	Neptis praslini staudingercana	species	neptis praslini staudingereana
672558	Oleria astraea	species	Oleria astrea
344663	Patricia dercillidas	species	Patricia dercyllidas
1916652	Polyura agrerius	species	Polyura agraria
2093611	Pseudacraea boisduvalii	species	Pseudacraea boisduvali
	Speyeria coronia halcyone	species	speyeria coronis halcyone
	Speyeria marmonia eurynome	species	speyeria mormonia eurynome
681817	Vila azeka	species	Vila azeca
95570	Cressid cressid	species	Cressida cressida
76208	Luedorfia japonica	species	Luehdorfia japonica
76209	Luedorfia puziloi	species	Luehdorfia puziloi
	Papilio brucei	species	papilio brunei	papilio drucei
	Papilio nepheles chaon	species	papilio nephelus chaon
66420	Papilio xuthus koxinga	species	Papilio xuthus
40079	Anagasta kiihniella	species	Ephestia kuehniella
1401941	Appias indra aristoxenus	species	Appias indra
78622	Colias phicimone	species	Colias phicomone
320251	Cunizza hirland	species	Hesperocharis hirlanda
	Eurema laeta bethesba	species	eurema laeta betheseba
380636	Hypsophila microdice	species	Hypsochila microdice
	Pieris brassicae azoriensis	species	pieris brassicae azorensis
	Pieris manni	species	pieris mannii	pteris mannii
441325	Pontia daplidicae	species	Pontia daplidice
139036	Corcvra cephalonica	species	Corcyra cephalonica
1372335	Nephopteryx eugraphella	species	Cryptoblabes euraphella
	Libythea bachmanii	species	libytheana bachmanii
290251	Antheraea frithii	species	Antheraea frithi
63985	Hyalophora euryalis	species	Hyalophora euryalus
63990	Philosarnia cynthia ricini	species	Samia ricini
270009	Bicylus funebris	species	Bicyclus funebris
887243	Bicylus sandace	species	Bicyclus sandace
887254	Bicylus vulgaris	species	Bicyclus vulgaris
167169	Bicylus zinebi	species	Bicyclus zinebi
111891	Brentesia circe	species	Brintesia circe
2798323	Chazara bischoffi	species	Chazara bischoffii
447839	Erebia nerine	species	Erebia neriene
2695288	Kirina climene	species	Esperarge climene
2695287	Kirina roxelana	species	Esperarge roxelana
441995	Mycatesis mineus	species	Mycalesis mineus
	Neope muirheadi nagasawae	species	neope muirheadii nagasawae
2798442	Pseudochazara berae	species	Pseudochazara beroe
111912	Satyrus semete	species	Hipparchia semele
270470	Yphthima argus	species	Ypthima baldus
270061	Yphthima doleta	species	Ypthima doleta
1248161	Yphthima motschulskyi	species	Ypthima motschulskyi
283848	Celerio vespertilio	species	Hyles vespertilio
753433	Talaeporia tubulosa	species	Taleporia tubulosa
571296	Archips breviplicanus	species	Archips breviplicana
263944	Yponomeuta polistictus	species	Yponomeuta polystictus
1666748	Zelleria haimhacki	species	Zelleria haimbachi
