family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Agaristidae	Seudyra	subflava	Seudyra subflava	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Seudyra subflava	NA	NA
Arctiidae	Abraxas	grossulariata dohrnii	Abraxas grossulariata dohrnii	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Abraxas grossulariata dohrnii	NA	NA
Arctiidae	Apantesis	radians	Apantesis radians	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Apantesis radians	NA	NA
Arctiidae	Arctia	caja phaesoma	Arctia caja phaesoma	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia caja phaesoma	NA	NA
Arctiidae	Arctia	hebe	Arctia hebe	30-33	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Arctia hebe	NA	NA
Arctiidae	Cycnial	mendica	Cycnial mendica	26	26	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cycnial mendica	NA	NA
Arctiidae	Earias	fabia	Earias fabia	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Earias fabia	NA	NA
Arctiidae	Earias	insulara	Earias insulara	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Earias insulara	NA	NA
Arctiidae	Halisidota	maculata	Halisidota maculata	17	17	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Halisidota maculata	NA	NA
Arctiidae	Hippocrita	jacobaea	Hippocrita jacobaea	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hippocrita jacobaea	NA	NA
Arctiidae	Lilhosia	quadra	Lilhosia quadra	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Lilhosia quadra	NA	NA
Arctiidae	Phragmatobia	fuliginosa amurensis	Phragmatobia fuliginosa amurensis	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Phragmatobia fuliginosa amurensis	NA	NA
Arctiidae	Spilarctia	infernalis	Spilarctia infernalis	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Spilarctia infernalis	NA	NA
Arctiidae	Spilosoma	mendica	Spilosoma mendica	26	26	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Spilosoma mendica	NA	NA
Arctiidae	Utetheisa	ornatrix bella	Utetheisa ornatrix bella	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Utetheisa ornatrix bella	NA	NA
Arctiidae	Utetheisa	ornatrix stretchii	Utetheisa ornatrix stretchii	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Utetheisa ornatrix stretchii	NA	NA
Bombycidae	Theophila	religiosae	Theophila religiosae	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Theophila religiosae	NA	NA
Danaidae	Euploea	leuctostictos	Euploea leuctostictos	30	30	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Euploea leuctostictos	NA	NA
Danaidae	Euploea	sylvestor	Euploea sylvestor	29	29	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Euploea sylvestor	NA	NA
Danaidae	Euploes	mulciber barsine	Euploes mulciber barsine	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euploes mulciber barsine	NA	NA
Danaidae	Idea	leuconoe clara	Idea leuconoe clara	30	30	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Idea leuconoe clara	NA	NA
Danaidae	Parantica	melaneus swinhoei	Parantica melaneus swinhoei	22	22	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Parantica melaneus swinhoei	NA	NA
Danaidae	Radena	similis	Radena similis	13	13	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Radena similis	NA	NA
Danaidae	Tirumata	limniace	Tirumata limniace	37	37	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Tirumata limniace	NA	NA
Eupterotidae	Apha	tychoona	Apha tychoona	22	22	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Apha tychoona	NA	NA
Gelechiidae	Eucordylea	resinosae	Eucordylea resinosae	30	30	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Eucordylea resinosae	NA	NA
Gelechiidae	Exotelsia	dodscella	Exotelsia dodscella	12	12	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Exotelsia dodscella	NA	NA
Gelechiidae	Exotelsia	nepheos	Exotelsia nepheos	12	12	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Exotelsia nepheos	NA	NA
Gelechiidae	Exotelsia	pinifoliella	Exotelsia pinifoliella	11	11	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Exotelsia pinifoliella	NA	NA
Geometridae	Aperia	syringaria	Aperia syringaria	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Aperia syringaria	NA	NA
Geometridae	Boarmia	consonaria	Boarmia consonaria	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Boarmia consonaria	NA	NA
Geometridae	Calospiloa	sylvata fulvobasalis	Calospiloa sylvata fulvobasalis	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Calospiloa sylvata fulvobasalis	NA	NA
Geometridae	Campaea	margatitata	Campaea margatitata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Campaea margatitata	NA	NA
Geometridae	Chlorochysta	miata	Chlorochysta miata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Chlorochysta miata	NA	NA
Geometridae	Coenotephria	sagittata	Coenotephria sagittata	12	12	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Coenotephria sagittata	NA	NA
Geometridae	Colostygia	didymata	Colostygia didymata	27	27	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Colostygia didymata	NA	NA
Geometridae	Colostygia	parallelolineata	Colostygia parallelolineata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Colostygia parallelolineata	NA	NA
Geometridae	Cusiala	stipitaria karuizawensis	Cusiala stipitaria karuizawensis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cusiala stipitaria karuizawensis	NA	NA
Geometridae	Ectropis	deodarae	Ectropis deodarae	31	31	Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.	3	Ectropis deodarae	NA	NA
Geometridae	Epirrhoe	trista	Epirrhoe trista	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Epirrhoe trista	NA	NA
Geometridae	Eulype	hastata	Eulype hastata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Eulype hastata	NA	NA
Geometridae	Eulype	subhastata	Eulype subhastata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Eulype subhastata	NA	NA
Geometridae	Euphyia	corylata	Euphyia corylata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia corylata	NA	NA
Geometridae	Euphyia	cucullata	Euphyia cucullata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia cucullata	NA	NA
Geometridae	Euphyia	luctuata	Euphyia luctuata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euphyia luctuata	NA	NA
Geometridae	Hydrelia	testaceata	Hydrelia testaceata	13	13	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hydrelia testaceata	NA	NA
Geometridae	Larentia	autumnalis	Larentia autumnalis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Larentia autumnalis	NA	NA
Geometridae	Lyncometra	ocellata	Lyncometra ocellata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lyncometra ocellata	NA	NA
Geometridae	Mesolenca	albicillata	Mesolenca albicillata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Mesolenca albicillata	NA	NA
