Order	Family	Genus	Binomial	Female2n	Male2n	B_chromosomes	Sex_chromosome_system	Notes_sex_chrom	Notes_diploid_num	Source
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus hottentotus longiceps	30	30		XY			Gilbert et al 2008
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus hottentotus meesteri	30	30		XY			Gilbert et al 2008
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus hottentotus pondoliae	30	30		XY			Gilbert et al 2008
Afrosoricida	Chrysochloridae	Amblysomus	Amblysomus iris	34	34		XY			Capanna et al. 1989
Afrosoricida	Tenrecidae	Tenrec	Tenrec eucadatus	38	38		XY			Blackmon 2019
Artiodactyla	Balaenidae	Balena	Balena mysticetus	42	42		XY			Jarelle 1979
Artiodactyla	Bovidae	Aepyceros	Aepyceros melampus petersi	59	59		XY		58-60	Rubes et al. 2012
Artiodactyla	Bovidae	Alcephalus	Alcephalus buselaphus jacksoni	40	40		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Alcephalus	Alcephalus busephalus	40	40		XY			Blackmon 2019
Artiodactyla	Bovidae	Anoa	Anoa depressicornis depressicornis	48	48		XY			Blackmon 2019
Artiodactyla	Bovidae	Bos	Bos frontalis (gaurus)	58	58		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Bos	Bos frontalis (gayal)	58	58		XY			Chi et al. 2005a
Artiodactyla	Bovidae	Capra	Capra hircus hircus	60	60		XY			Biltueva and Graphodatsky (Unpublished)
Artiodactyla	Bovidae	Connochaetes	Connochaetes taurinus albojubatus	58	58		XY			Rubes et al. 2012
Artiodactyla	Bovidae	Damaliscus	Damaliscus dorcas phillipsi	38	38		XY			Blackmon 2019
Artiodactyla	Bovidae	Damaliscus	Damaliscus lunatus topi	36	36		XY			Kumamoto et al. 1996
Artiodactyla	Bovidae	Damaliscus	Damaliscus pygargus phillipsi	38	38		XY			Kumamoto et al. 1996
Artiodactyla	Bovidae	Gazella	Gazella rufifrons laevipes	58	58		XY	rujuvenation of autosome to sex chromosomes		CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Gazella	Gazella subgutturosa marica	31	31		complex XY	XY1Y2	30-32	Kingswoo and Blank 1996
Artiodactyla	Bovidae	Gazella	Gazella subgutturosa subgutturosa	30	31		complex XY	XY1Y2		CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Kobus	Kobus ellipsiprymnus defassa	53	53		XY		53-54	Kingswood et al. 1998a
Artiodactyla	Bovidae	Kobus	Kobus ellipsiprymnus ellipsiprymnus	51	51		XY		50-52	Kingswood et al. 1998a
Artiodactyla	Bovidae	Kobus	Kobus kob thomasi	50	50		XY			Kingswood et al. 2000
Artiodactyla	Bovidae	Naemorhedus	Naemorhedus baileyi cranbrooki	56	56		XY			Huang et al. 2005
Artiodactyla	Bovidae	Nanger	Nanger dama mhorr	39	39		complex XY	X1X2Y1Y2	38-40	Cernohorska et al. 2012
Artiodactyla	Bovidae	Nanger	Nanger dama ruficollis	39	39		complex XY	X1X2Y1Y2	38-40	Cernohorska et al. 2012
Artiodactyla	Bovidae	Nanger	Nanger granti roosevelti	30	31		complex XY	XY1Y2		CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Oreotragus	Oreotragus oreotragus stevensoni	60	60		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Oryx	Oryx beisa beisa	58	58		XY			Kumamoto et al. 1999
Artiodactyla	Bovidae	Oryx	Oryx beisa callotis	58	58		XY			Kumamoto et al. 1999
Artiodactyla	Bovidae	Oryx	Oryx gazella callotis	58	58		XY			Kumamoto et al. 1999
Artiodactyla	Bovidae	Oryx	Oryx gazella gazella	56	56		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Ovis	Ovis ammon nigrimontana	56	56		XY			Blackmon 2019
Artiodactyla	Bovidae	Ovis	Ovis aries aries	54	54		XY			Iannuzzi et al. 1999
Artiodactyla	Bovidae	Ovis	Ovis aries musimon	54	54		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Ovis	Ovis nivcola	52	52		XY			Huang et al. 2005
Artiodactyla	Bovidae	Ovis	Ovis orientalis musimon	54	54		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Pseudois	Pseudois nayaur szechuanensis	56	56		XY			CRES San Diego (Unpublished)
Artiodactyla	Bovidae	Rupricapra	Rupricapra rupicapra	58	58		XY			Blackmon 2019
Artiodactyla	Bovidae	Taurotragus	Taurotragus oryx pattersonianus	32	31		complex XY	X1X2Y		Rubes et al. 2008
Artiodactyla	Bovidae	Tragelaphus	Tragelaphus strepsiceros strepsiceros	32	31		complex XY	X1X2Y		Blackmon 2019
Artiodactyla	Cervidae	Axis	Axis calamianensis	68	68		XY			CRES San Diego (Unpublished)
Artiodactyla	Cervidae	Cervus	Cervus elaphus bactrianus	68	68		XY			CRES San Diego (Unpublished)
Artiodactyla	Cervidae	Cervus	Cervus elaphus sibiricus	68	68		XY			Graphodatsky (Unpublished)
Artiodactyla	Cervidae	Cervus	Cervus nippon hortulorum	66	66		XY			Graphodatsky (Unpublished)
Artiodactyla	Cervidae	Cervus	Cervus nippon mandarinus	66	66		XY			CRES San Diego (Unpublished)
Artiodactyla	Cervidae	Cervus	Cervus timorensis russa	60	60		XY			Frohlich et al. 2017
Artiodactyla	Cervidae	Cervus	Cervus unicolor malaccensis	56	56		XY			CRES San Diego (Unpublished)
Artiodactyla	Cervidae	Hippocamelus	Hippocamelus bisculus	70	70		XY			Spotorno et al. 1987
Artiodactyla	Cervidae	Ozotocerus	Ozotocerus bezoarticus	68	68		XY			Duarte and Giannoni 1995b
Artiodactyla	Giraffidae	Giraffa	Giraffa camelopardis	30	30		XY			Huang et al. 2008
Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus sundervallii	34	34		XY			CRES San Diego (Unpublished)
Artiodactyla	Suidae	Sus	Sus scrofa domestica	38	38		XY			Biltueva et al. 2004
Artiodactyla	Suidae	Sus	Sus scrofa scrofa	36	36		XY			CRES San Diego (Unpublished)
Carnivora	Canidae	Nyctereutes	Nyctereutes procyonoides procyonoides	54	54	yes (3)	XY			Graphodatsky et al. (Unpublished)
Carnivora	Canidae	Nyctereutes	Nyctereutes procyonoides viverrinus	38	38	yes (3)	XY			Nash et al. 2001
Carnivora	Canidae	Vulpes	Vulpes fulva	34	34		XY			Blackmon 2019
Carnivora	Eupleridae	Fossa	Fossa fossa	42	42		XY			Nash et al. 2008
Carnivora	Felidae	Felis	Felis marmorata	38	38		XY			Blackmon 2019
Carnivora	Felidae	Felis	Felis wiedi	36	36		XY			Blackmon 2019
Carnivora	Felidae	Leopardus	Leopardus colocolo	36	36		XY			Wurster-Hill and Gray 1973
Carnivora	Felidae	Octocolobus	Octocolobus manul	38	38		XY			Wurster-Hill and Gray 1975
Carnivora	Felidae	Panthera	Panthera tigris altaica	38	38		XY			CRES San Diego (Unpublished)
Carnivora	Felidae	Prionailurus	Prionailurus bengalensis euptilurus	38	38		XY			Proskuryakova et al. (Unpublished)
Carnivora	Herpestidae	Bdeogale	Bdeogale sp.	36	36		XY			Wurster-Hill and Gray 1975
