Order	Family	Genus	Species	femalediploidnumber	malediploidnumber	Chromosome_number	haploidnumber	reproductivemode	sexchromosome	notes	citation	femalediploidnumber/malediploidnumber
Isoptera	Termitidae	Amitermes	Amitermes eucalipti	42	NA		21				Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753.	42/NA
Phasmatodea	Phylliidae	Leptynia	Leptynia sp.	40	39		20	gonochorous	XO		Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219.	40/39
Orthoptera	Gryllotalpidae	Gryllotalpa	Gryllotalpa marismortui	24	23		12	gonochorous	XO		Broza, M., Blondheim, S., & Nevo, E. (1998). New species of mole crickets of the Gryllotalpa gryllotalpa group (Orthoptera: Gryllotalpidae) from Israel, based on morphology, song recordings, chromosomes and cuticular hydrocarbons, with comments on the distribution of the group in Europe and the Mediterranean region.Systematic Entomology,23(2), 125-135.	24/23
Orthoptera	Gryllotalpidae	Gryllotalpa	Gryllotalpa tali	20	19		10	gonochorous	XO		Broza, M., Blondheim, S., & Nevo, E. (1998). New species of mole crickets of the Gryllotalpa gryllotalpa group (Orthoptera: Gryllotalpidae) from Israel, based on morphology, song recordings, chromosomes and cuticular hydrocarbons, with comments on the distribution of the group in Europe and the Mediterranean region.Systematic Entomology,23(2), 125-135.	20/19
Orthoptera	Acrididae	Dichromatos	Dichromatos corupa	22	21		11	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/21
Orthoptera	Acrididae	Dichromatos	Dichromatos montanus	22	21		11	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/21
Orthoptera	Acrididae	Leiotettix	Leiotettix politus	14	14		7	gonochorous	XY		Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	14/14
Orthoptera	Acrididae	Leiotettix	Leiotettix politus	14	13		7	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	14/13
Orthoptera	Acrididae	Paratylotropidia	Paratylotropidia morsei	NA	NA		NA	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	NA/NA
Orthoptera	Acrididae	Ronderosia	Ronderosia robustus	22	21		11	gonochorous	XXY	X1X1X2X2/X1X2Y	Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231.	22/21
