"Phylum","Class","Order","Family","Genus","Species","2N","N","Reference"
"Acanthocephala","Archiacanthocephala","Oligacanthorhynchida","Oligacanthorhynchidae","Macracanthorhynchus","Macracanthorhynchus hirudinaceus","8,6","3,4","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus ranae","","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Echinorhynchus","Echinorhynchus gadi","","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Acanthocephala","Palaeacanthocephala","Polymorphida","Polymorphidae","Filicollis","Filicollis anatis","","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Acanthobdellida","Acanthobdellidae","Acanthobdella","Acanthobdella peledina","","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdella","Erpobdella octoculata","16","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Arhynchobdellida","Haemopidae","Haemopis","Haemopis sanguisuga","","13","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Branchiobdellida","Branchiobdellidae","Branchiobdella","Branchiobdella astaci","16","8","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Allolobophora","Allolobophora chlorotica","32","16","Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
"Annelida","Clitellata","Crassiclitellata","Lumbricidae","Aporrectodea","Aporrectodea caliginosa","36","18","Gregory, T. R. and Hebert, P. D. N. (2002). Genome size estimates for some oligochaete annelids. Canadian Journal of Zoology 80: 1485-1489; Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames."
