taxon_id	input	rank	suggested
310569	Analycus flavus	species	Mesenchytraeus flavus
2135382	Enchytraeus hegemon	species	Fridericia hegemon
152572	Megadrilus purpureus	species	Protodrilus purpureus
209516	Tegenaria derhami	species	Tegenaria domestica
2740835	Nephila clavata	species	Trichonephila clavata
187181	Linyphia marginata	species	Neriene radiata
1906373	Lycosa fluviatilis	species	Pardosa agricola
378665	Lycosa monticola	species	Pardosa monticola
74984	Lycosa paludicola	species	Pardosa paludicola
75001	Lycosa saccata	species	Pardosa amentata
1155755	Pisaura listeri	species	Pisaura mirabilis
1926229	Sitticus terebratus	species	Attulus terebratus
1155772	Micrommata viridissima	species	Micrommata virescens
948055	Xysticus viaticus	species	Xysticus cristatus
2527845	Caloglyphus michaeli	species	Sancassania michaeli
2922345	Tyrophagus casei	species	Tyrolichus casei
2583526	Argas lahorensis	species	Alveonasus lahorensis
2528302	Areolaspis bifoliatus	species	Holostaspella bifoliata
99229	Amblygamasus septentrionalis	species	Pergamasus septentrionalis
1932964	Phytoseius plumifer	species	Phytoseius finitimus
1160254	Liobunum japonicum	species	Leiobunum japonicum
885409	Achipteria punctata	species	Parachipteria punctata
34648	Buthus eupeus	species	Mesobuthus eupeus
2025105	Lebertia stackelbergi	species	Lebertia porosa
301510	Sinella caeca	species	Coecobrya tenebricosa
1458441	Willowsia buski	species	Willowsia buskii
187682	Isotoma notabilis	species	Parisotoma notabilis
211078	Calanus gracilis	species	Neocalanus gracilis
406573	Gromphadorhina chopardi	species	Elliptorhina chopardi
36963	Leucophaea maderae	species	Rhyparobia maderae
109983	Gislenia australica	species	Neotemnopteryx fulva
103000	Shawella couloniana	species	Paratemnopteryx couloniana
37813	Parcoblatta pennsylvanica	species	Parcoblatta pensylvanica
36974	Symploce capitata	species	Symploce pallens
2992524	Xestoblatta immaculata	species	Antroxestoblatta immaculata
2755526	Cubitermes sankurensis	species	Nitiditermes sankurensis
2755539	Cubitermes weissi	species	Ternicubitermes weissi
1553035	Psammoporus sabuleti	species	Aegialia sabuleti
1515531	Rhynchites heros	species	Epirhynchites heros
324817	Anthaxia bicolor	species	Anthaxia nitidula
102642	Abax ater	species	Abax parallelepipedus
1588386	Agonum livens	species	Platynus livens
1586962	Agonum moestum	species	Agonum duftschmidi
2611451	Amara giganteus	species	Amara gigantea
1586991	Amara simplex	species	Amara nitida
1587085	Baudia anomala	species	Badister collaris
547356	Bembidion andreae	species	Bembidion pallidipenne
1042819	Bembidion atrocoeruleum	species	Bembidion atrocaeruleum
1166794	Bembidion castum	species	Lionepha casta
1166842	Bembidion grapei	species	Bembidion grapii
114449	Calosoma maderae	species	Campalita maderae
49192	Carabus arcensis	species	Carabus arvensis
2107209	Chlaenius pictus	species	Chlaenius virgulifer
212438	Cicindela chloris	species	Calomera chloris
212556	Cicindela chloropleura	species	Jansenia chloropleura
38653	Cicindela dorsalis	species	Habroscelimorpha dorsalis
1603916	Cicindela funerea	species	Calomera funerea
1343300	Cicindela hispanica	species	Cephalota hispanica
285225	Cicindela littoralis	species	Calomera littoralis
1343298	Cicindela lunulata	species	Calomera lunulata
1485676	Cicindela maura	species	Cephalota maura
869544	Cicindela minuta	species	Cylindera minuta
1343341	Cicindela multiguttata	species	Lophyra multiguttata
1343314	Cicindela severini	species	Cylindera severini
1343343	Cicindela striatifrons	species	Lophyra striatifrons
869548	Cicindela striolata	species	Lophyra striolata
869552	Cicindela sumatrensis	species	Calomera angulata
1343316	Cicindela suturalis	species	Cylindera suturalis
873034	Cicindela triguttata	species	Cylindera viduata
873034	Cicindela viduata	species	Cylindera viduata
869550	Cicindela viridilabris	species	Cylindera viridilabris
1334592	Cicindela vittigera	species	Lophyra vittigera
1561868	Edaphopaussus favieri	species	Paussus favieri
2873806	Habroscelimorpha fulgoris	species	Eunota fulgoris
1206285	Harpalus oblitus	species	Harpalus fraternus
247363	Harpalus schaumii	species	Cryptophonus schaumii
247282	Harpalus semipunctatus	species	Harpalus aesculanus
247365	Harpalus tenebrosus	species	Cryptophonus tenebrosus
346483	Megacephala euphratica	species	Grammognatha euphratica
247413	Odotoncarus cephalotes	species	Odontocarus cephalotes
585992	Olisthopus glabratus	species	Olisthopus fuscatus
247406	Ophonus incisus	species	Incisophonus incisus
280766	Orthomus canariensis	species	Eutrichopus canariensis
795062	Platynus assimile	species	Limodromus assimilis
795062	Platynus assimilis	species	Limodromus assimilis
1588200	Platynus longiventris	species	Limodromus longiventris
877726	Platynus obscurus	species	Oxypselaphus obscurus
272006	Platynus ruficornis	species	Paranchus albipes
1470298	Pogonus testaceus	species	Pogonistes testaceus
137749	Pterostichus angustatus	species	Pterostichus negligens
587705	Pterostichus ebenus	species	Pterostichus globosus
484343	Pterostichus elongatus	species	Pterostichus idahoae
293750	Pterostichus metallicus	species	Poecilus versicolor
484291	Pterostichus patruelis	species	Pterostichus riparius
76547	Scarites cyclops	species	Scarites occidentalis
76549	Scarites impressus	species	Scarites hespericus
1902567	Stenolophus piceus	species	Dicheirus piceus
247382	Stenolophus smaragdulus	species	Egadroma subrobustus
347432	Tachys bistriatus	species	Paratachys bistriatus
217632	Anoplophora malasiaca	species	Anoplophora chinensis
2982201	Gaurotes doris	species	Paragaurotes doris
534392	Macrotoma scutellaris	species	Prinobius myardi
2567331	Pogonocherus penicillatus	species	Pogonocherus parvulus
1932080	Euphoria inda	species	Trichiotinus rufobrunneus
1207124	Protaetia aeruginosa	species	Protaetia speciosissima
294721	Aspidimorpha miliaris	species	Aspidomorpha miliaris
75512	Chrysolina janbechynei	species	Chrysolina curvilinea
1971878	Colaphellus sophiae	species	Colaphus sophiae
715800	Crepidodera plutus	species	Crepidodera pluta
204947	Cryptocephalus hypochoeridis	species	Cryptocephalus hypochaeridis
1425556	Cryptocephalus sexmaculatus	species	Cryptocephalus obliteratifer
273145	Diabrotica innuba	species	Acalymma innubum
2037880	Jolivetia obscura	species	Jolivetia ovatula
1412126	Lema coromandeliana	species	Lema praeusta
7539	Leptinotarsa decimlineata	species	Leptinotarsa decemlineata
200130	Oedionychis cincta	species	Oedionychus cinctus
2583630	Oides bipunctata	species	Oides palleata
153779	Plagiosterna aenea	species	Linaeidea aenea
2598218	Psylliodes chrysocephalus	species	Psylliodes chrysocephala
1425596	Psylliodes circumdata	species	Psylliodes circumdatus
467376	Psylliodes cuprea	species	Psylliodes cupreus
87543	Timarcha monserratensis	species	Timarcha montserratensis
577850	Cis impressa	species	Cis fuscipes
703264	Adonia variegata	species	Hippodamia variegata
115346	Brumus quadripustulatus	species	Exochomus quadripustulatus
940482	Brumus suturalis	species	Brumoides suturalis
419956	Calvia quatuordecimguttata	species	Calvia quattuordecimguttata
2083553	Coccidophilus marginata	species	Coccidophilus marginatus
436170	Epilachna pustulosa	species	Henosepilachna pustulosa
459478	Epilachna septima	species	Henosepilachna septima
420088	Epilachna vigintioctomaculata	species	Henosepilachna vigintioctomaculata
420089	Epilachna vigintioctopunctata	species	Henosepilachna vigintioctopunctata
2755261	Exochomus flavipes	species	Parexochomus flavipes
511894	Harmonia arcuata	species	Harmonia octomaculata
1082689	Micraspis cardoni	species	Anegleis cardoni
1778208	Orcus chalybeus	species	Halmus chalybeus
558720	Propylaea quatuordecimpunctata	species	Propylea quattuordecimpunctata
558720	Propylea quatuordecimpunctata	species	Propylea quattuordecimpunctata
1709595	Anthonomus scutellatus	species	Anthonomus signatus
143020	Blastophagus piniperda	species	Tomicus piniperda
1964260	Catapionus viridimetallicus	species	Catapionus fossulatus
1341933	Cathormiocerus aristatus	species	Trachyphloeus aristatus
1069501	Diaprepes marginicollis	species	Exophthalmus marginicollis
1588323	Dodecastichus obsoletus	species	Otiorhynchus obsoletus
397344	Exomias albinae	species	Barypeithes albinae
397345	Exomias chevrolati	species	Barypeithes chevrolati
397346	Exomias formaneki	species	Barypeithes formaneki
397347	Exomias interpositus	species	Barypeithes interpositus
397350	Exomias pellucidus	species	Barypeithes pellucidus
397351	Exomias purkynei	species	Barypeithes purkynei
1763934	Hypera elongata	species	Hypera diversipunctata
102838	Ips latidens	species	Orthotomicus latidens
102841	Ips mexicanus	species	Pseudips mexicanus
1943862	Lepyrus alternans	species	Lepyrus nordenskioeldi
202102	Otiorhynchus apenninus	species	Otiorhynchus armadillo
221504	Otiorhynchus dubius	species	Otiorhynchus nodosus
1342079	Otiorhynchus fuscipes	species	Otiorhynchus tenebricosus
653195	Otiorhynchus niger	species	Otiorhynchus coecus
703599	Otiorhynchus pseudonothus	species	Otiorhynchus salicicola
703599	Otiorhynchus salicis	species	Otiorhynchus salicicola
346826	Phyllobius urticae	species	Phyllobius pomaceus
1943923	Pissodes dubius	species	Pissodes striatulus
54546	Pissodes memorensis	species	Pissodes nemorensis
994698	Polydrusus atomarius	species	Polydrusus pallidus
994700	Polydrusus ruficornis	species	Polydrusus fulvicornis
479299	Scolytus scarabaeoides	species	Phloeotribus scarabaeoides
878987	Sitona flavescens	species	Sitona lepidus
202215	Strophosoma melanogrammus	species	Strophosoma melanogrammum
1342232	Trachyphloeus bifoveolatus	species	Romualdius bifoveolatus
1915149	Anthrenus fasciatus	species	Anthrenus flavipes
1915150	Attagenus elongatulus	species	Attagenus brunneus
1475208	Attagenus megatoma	species	Attagenus unicolor
441253	Dermestes caninus	species	Dermestes undulatus
273928	Allomyrina dichotoma	species	Trypoxylus dichotomus
1710662	Ligyrus gibbosus	species	Tomarus gibbosus
1509382	Colymbetes affinis	species	Colymbetes fuscus
1509387	Colymbetes infuscatus	species	Rhantus notaticollis
1267232	Colymbetes thomsoni	species	Colymbetes dolabratus
1309557	Stictotarsus griseostriatus	species	Boreonectes griseostriatus
2008391	Stictotarsus ibericus	species	Boreonectes ibericus
1309560	Stictotarsus multilineatus	species	Boreonectes multilineatus
1902187	Adelocera modesta	species	Lacon modestus
1770661	Ctenicera arata	species	Paraphotistus aratus
1710657	Ctenicera nitidula	species	Paraphotistus nitidulus
1720648	Ctenicera tarsalis	species	Corymbitodes tarsalis
2038154	Pyrophorus luminosus	species	Ignelater luminosus
1710657	Setasomus nitidulus	species	Paraphotistus nitidulus
2109416	Anoplotrupes balyi	species	Geotrupes balyi
997867	Thorectes punctatissimus	species	Silphotrupes punctatissimus
415100	Hydrous piceus	species	Hydrophilus piceus
7052	Luciola lateralis	species	Aquatica lateralis
877989	Leiodes calcarata	species	Leiodes politus
723364	Speonomus delarouzeei	species	Parvospeonomus delarouzeei
1304773	Troglocharinus variabilis	species	Troglocharinus elongatus
231732	Macrodorcas rectus	species	Dorcus rectus
443656	Epicauta pennsylvanica	species	Epicauta pensylvanica
1112828	Passalus unicornis	species	Passalus punctiger
2025057	Petrejoides mazatecus	species	Yumtaax mazatecus
383491	Anomala chalybaea	species	Anomala polita
360071	Amphimallon solstitialis	species	Amphimallon solstitiale
1553010	Aphodius subterraneus	species	Eupleurus subterraneus
383507	Autoserica assamensis	species	Maladera thomsoni
2602155	Paracopris ramosiceps	species	Copris ramosiceps
2900051	Eudicella smithi	species	Eudicella smithii
997864	Geotrupes hypocrita	species	Sericotrupes niger
166345	Geotrupes intermedius	species	Geotrupes stercorarius
1207153	Goliathus goliathus	species	Goliathus goliatus
206876	Gromphas lacordairei	species	Gromphas aeruginosa
903834	Melolontha fuscotestacea	species	Melolontha pectoralis
166328	Oniticellus fulvus	species	Euoniticellus fulvus
166365	Onthophagus amyntas	species	Euonthophagus amyntas
1848546	Onthophagus crassus	species	Onthophagus tricornis
2602157	Onthophagus hidakai	species	Microcopris hidakai
206759	Onthophagus ramosellus	species	Onthophagus capella
