"distribution","max","median","minimum","resolved_name"
"10-11","11","11","10","Abietinella abietina"
"26","26","26","26","Acaulon muticum"
"12","12","12","12","Achrophyllum dentatum"
"9","9","9","9","Acrobolbus ciliatus"
"11","11","11","11","Acrocladium auriculatum"
"11","11","11","11","Acrocladium chlamydophyllum"
"11","11","11","11","Acrocladium cuspidatum"
"9","9","9","9","Acrolejeunea emergens"
"11","11","11","11","Aerobryidium filamentosum"
"11","11","11","11","Aerobryopsis subdivergens"
"11","11","11","11","Aerobryopsis wallichii"
"26","26","26","26","Aloina aloides"
"24-28","28","24","24","Aloina brevirostris"
"24-26-48","48","26","24","Aloina rigida"
"9-14-18-20","20","14","9","Amblyodon dealbatus"
"21-36-40","40","21","21","Amblystegium riparium"
"7-9-10-11-12-13-20-21-22-40","40","12","7","Amblystegium serpens"
"10","10","10","10","Amblystegium subtile"
"20","20","20","20","Amblystegium tenax"
"10-11-12-19-20-21-40","40","11","10","Amblystegium varium"
"13-16","16","16","13","Amphidium lapponicum"
"13","13","13","13","Amphidium mougeotii"
"16","16","16","16","Amphidium tortuosum"
"11","11","11","11","Anacamptodon splachnoides"
"8","8","8","8","Anacolia menziesii"
"8","8","8","8","Anastrepta orcadensis"
"9","9","9","9","Anastrophyllum bidens"
"8","8","8","8","Anastrophyllum michauxii"
"9","9","9","9","Anastrophyllum minutum"
"10","10","10","10","Andreaea australis"
"10","10","10","10","Andreaea nivalis"
"10-11","11","10","10","Andreaea rothii"
"9-10-11","11","10","9","Andreaea rupestris"
"8","8","8","8","Aneura latissima"
"8-10","10","10","8","Aneura maxima"
"6-9-10-11-20","20","10","6","Aneura pinguis"
"13","13","13","13","Anoectangium aestivum"
"13","13","13","13","Anoectangium thomsonii"
"10","10","10","10","Anomobryum auratum"
"10","10","10","10","Anomobryum filiforme"
"10-11","11","10","10","Anomodon attenuatus"
"11","11","11","11","Anomodon giraldii"
"11","11","11","11","Anomodon longifolius"
"10-11","11","10","10","Anomodon minor"
"10-11-12","12","11","10","Anomodon rostratus"
"11","11","11","11","Anomodon rugelii"
"11","11","11","11","Anomodon thraustus"
"10-11","11","11","10","Anomodon viticulosus"
"9","9","9","9","Anthelia julacea"
"4-5","5","5","4","Anthoceros agrestis"
"5","5","5","5","Anthoceros caucasicus"
"6","6","6","6","Anthoceros formosae"
"6","6","6","6","Anthoceros laevis"
"4-5-6","6","4","4","Anthoceros punctatus"
"27","27","27","27","Aphanorrhegma serratum"
"8-9","9","8","8","Apometzgeria pubescens"
"9","9","9","9","Apotreubia nana"
"13-26","26","13","13","Archidium alternifolium"
"26","26","26","26","Archidium hallii"
"13","13","13","13","Archidium stellatum"
"26","26","26","26","Archidium tenerrimum"
"8-9","9","8","8","Archilejeunea autoica"
"9","9","9","9","Archilejeunea elobulata"
"9","9","9","9","Archilejeunea kiushiana"
"13-14","14","13","13","Arctoa fulvella"
"6","6","6","6","Arnellia fennica"
"4","4","4","4","Aspiromitus cavernosus"
"9","9","","9","Asterella blumeana"
"16","16","16","16","Asterella gracilis"
"8-9","9","8","8","Asterella lindenbergiana"
"8","8","8","8","Asterella mussuriensis"
"18","18","18","18","Asterella syngenesica"
"13","13","13","13","Astomum crispum"
"9","9","9","9","Athalamia hyalina"
"9","9","9","9","Athalamia spathysii"
"7-14","14","14","7","Atrichum altecristatum"
"14","14","14","14","Atrichum androgynum"
"7-8","8","7","7","Atrichum angustatum"
"7","7","7","7","Atrichum crispulum"
"7","7","7","7","Atrichum crispum"
"7-14-21","21","14","7","Atrichum flavisetum"
"7","7","7","7","Atrichum selwynii"
"7-14","14","14","7","Atrichum tenellum"
"7-14-21","21","21","7","Atrichum undulatum"
"12","12","12","12","Aulacomnium acuminatum"
"10-11-12","12","11","10","Aulacomnium androgynum"
"11-12","12","12","11","Aulacomnium heterostichum"
"10-12","12","12","10","Aulacomnium palustre"
"12","12","12","12","Aulacomnium turgidum"
"9","9","9","9","Balantiopsis cancellata"
"10","10","10","10","Barbella flagellifera"
"10","10","10","10","Barbella pendula"
"8-9","9","9","8","Barbilophozia attenuata"
"9","9","9","9","Barbilophozia barbata"
"8","8","8","8","Barbilophozia floerkei"
"8","8","8","8","Barbilophozia hatcheri"
"10","10","10","10","Barbilophozia lycopodioides"
"9","9","9","9","Barbilophozia quadriloba"
"13","13","13","13","Barbula bolleana"
"7-13-14","14","13","7","Barbula constricta"
"10-11-13-14","14","11","10","Barbula convoluta"
"14","14","14","14","Barbula gregaria"
"15","15","15","15","Barbula hiroshii"
"13","13","13","13","Barbula recurvirostris"
"12-13","13","13","12","Barbula rigidula"
"11-13-14-16-24","24","13","11","Barbula unguiculata"
"6","6","6","6","Bartramia breviseta"
"8-9-12","12","9","8","Bartramia halleriana"
"6-8-12-36","36","12","6","Bartramia ithyphylla"
"11-16","16","16","11","Bartramia patens"
"8-12","12","8","8","Bartramia pomiformis"
"16","16","16","16","Bartramia stricta"
"6","6","6","6","Bartramidula bartramioides"
"7","7","7","7","Bartramiopsis lescurii"
"10","10","10","10","Bazzania adnexa"
"9","9","9","9","Bazzania fauriana"
"9","9","9","9","Bazzania japonica"
"9","9","9","9","Bazzania praerupta"
"10","10","10","10","Bazzania tricrenata"
"9-10","10","9","9","Bazzania tridens"
"9","9","9","9","Bazzania trilobata"
"10","10","10","10","Bescherellia elegantissima"
"9","9","9","9","Blasia pusilla"
"8-9","9","8","8","Blepharidophyllum densifolium"
"18","18","18","18","Blepharostoma minus"
"9","9","9","9","Blepharostoma trichophyllum"
"13-14","14","13","13","Blindia acuta"
"14","14","14","14","Blindia japonica"
"10-11","11","11","10","Boulaya mittenii"
"11","11","11","11","Brachydontium trichodes"
"10-11","11","10","10","Brachymenium acuminatum"
"10-11-20","20","11","10","Brachymenium exile"
"10","10","10","10","Brachymenium longicolle"
"11-12-20-22","22","12","11","Brachymenium nepalense"
"22-30","30","22","22","Brachymenium preissianum"
"6-7-9","9","7","6","Brachythecium albicans"
"10","10","10","10","Brachythecium austrosalebrosum"
"6-10-11-14","14","10","6","Brachythecium buchananii"
"7-11-12-16-17","17","16","7","Brachythecium campestre"
"11","11","11","11","Brachythecium coreanum"
"6","6","6","6","Brachythecium frigidum"
"10","10","10","10","Brachythecium garovaglioides"
"10","10","10","10","Brachythecium geheebii"
"8","8","8","8","Brachythecium glaciale"
"6-9-10-14","14","9","6","Brachythecium glareosum"
"8-11-18","18","11","8","Brachythecium helminthocladum"
"10","10","10","10","Brachythecium kuroishicum"
"10","10","10","10","Brachythecium leibergii"
"13-14","14","14","13","Brachythecium mildeanum"
"18","18","18","18","Brachythecium piligerum"
"10-11-15","15","11","10","Brachythecium plumosum"
"9-10-11","11","10","9","Brachythecium populeum"
"10-11-12-20","20","10","10","Brachythecium reflexum"
"6-11-12-13-16","16","6","6","Brachythecium rivulare"
"5-9-10-11-12-20","20","11","5","Brachythecium rutabulum"
"10-11-12-13","13","13","10","Brachythecium salebrosum"
"6-10-20","20","10","6","Brachythecium starkii"
"13","13","13","13","Brachythecium subplicatum"
"14","14","14","14","Brachythecium turgidum"
"1-10-11-12-18","18","10","1","Brachythecium velutinum"
"10","10","10","10","Braithwaitea sulcata"
"6","6","6","6","Breutelia affinis"
"6","6","6","6","Breutelia arundinifolia"
"6","6","6","6","Breutelia chrysocoma"
"6","6","6","6","Breutelia integrifolia"
"6","6","6","6","Breutelia pendula"
"12","12","12","12","Brothera leana"
"10","10","10","10","Brotherella complanata"
"10","10","10","10","Brotherella erythrocaulis"
"10","10","10","10","Brotherella falcata"
"8","8","8","8","Brotherella fauriei"
"9-10","10","10","9","Brotherella henonii"
"7","7","7","7","Brotherella herbacea"
"6-7","7","6","6","Brotherella recurvans"
"28-30","30","28","28","Bruchia drummondii"
"14-15-16-28","28","14","14","Bruchia flexuosa"
"11","11","11","11","Bryhnia hultenii"
"11","11","11","11","Bryhnia noesica"
"11","11","11","11","Bryhnia novae-angliae"
"10","10","10","10","Bryhnia tokubuchii"
"11","11","11","11","Bryhnia trichomitria"
"12","12","12","12","Bryoandersonia illecebra"
"13-14-26-52","52","14","13","Bryobrittonia longipes"
"13","13","13","13","Bryoerythrophyllum atrorubens"
"13","13","13","13","Bryoerythrophyllum caledonicum"
"13","13","13","13","Bryoerythrophyllum recurvirostrum"
"13-26","26","13","13","Bryoerythrophyllum wallichii"
"22","22","22","22","Bryonoguchia molkenboeri"
"11","11","11","11","Bryosedgwickia aurea"
"14","14","14","14","Bryoxiphium norvegicum"
"20","20","20","20","Bryum arcticum"
"10-11-12-20","20","10","10","Bryum argenteum"
"10","10","10","10","Bryum atrovirens"
"10-20","20","10","10","Bryum billarderi"
"10-11-20","20","10","10","Bryum caespiticium"
"40","40","40","40","Bryum calophyllum"
"10-11","11","10","10","Bryum cellulare"
"10-20","20","10","10","Bryum coronatum"
"10-22-30","30","10","10","Bryum creberrimum"
"10","10","10","10","Bryum cyclophyllum"
"10-24","24","10","10","Bryum dichotomum"
"10","10","10","10","Bryum elegans"
"10","10","10","10","Bryum gemmiferum"
"10","10","10","10","Bryum gemmiparum"
"20-24","24","20","20","Bryum intermedium"
"11","11","11","11","Bryum knowltonii"
"33","33","33","33","Bryum kunzei"
"10","10","10","10","Bryum mildeanum"
"10","10","10","10","Bryum pachytheca"
"10-20","20","10","10","Bryum pallens"
"10-11-12-20-22","22","11","10","Bryum pallescens"
"10","10","10","10","Bryum paradoxum"
"5-10-11-12-20","20","11","5","Bryum pseudotriquetrum"
"10","10","10","10","Bryum turbinatum"
"10-11","11","10","10","Bryum uliginosum"
"15","15","15","15","Bryum warneum"
"20-50","50","20","20","Bryum wrightii"
"8-9","9","8","8","Bucegia romanica"
"13-14","14","13","13","Bucklandiella heterosticha"
"7-14","14","7","7","Bucklandiella microcarpa"
"14","14","14","14","Bucklandiella sudetica"
"8","8","8","8","Buxbaumia aphylla"
"8","8","8","8","Buxbaumia piperi"
"8","8","8","8","Buxbaumia viridis"
"11-22","22","22","11","Callicladium haldanianum"
"10-20-21-22","22","20","10","Calliergon cordifolium"
"11-12","12","12","11","Calliergon giganteum"
"11","11","","11","Calliergon richardsonii"
"11","11","11","11","Calliergon stramineum"
"10-11","11","11","10","Calliergonella cuspidata"
"10","10","10","10","Calliergonella lindbergii"
"8-9","9","9","8","Calycularia crispula"
"9","9","9","9","Calypogeia arguta"
"18","18","18","18","Calypogeia fissa"
"9","9","9","9","Calypogeia granulata"
"9","9","9","9","Calypogeia integristipula"
