taxon_id	input	rank	suggested
52999	Acrocladium cuspidatum	species	Calliergonella cuspidata
184688	Aerobryopsis wallichii	species	Pseudotrachypus wallichii
622456	Amblystegium subtile	species	Pseudoamblystegium subtile
111436	Amblystegium varium	species	Hygroamblystegium varium
1331071	Anastrophyllum bidens	species	Schizophyllopsis bidens
248346	Anastrophyllum minutum	species	Sphenolobus minutus
2779804	Anomodon attenuatus	species	Pseudanomodon attenuatus
84229	Anomodon giraldii	species	Pseudanomodon giraldii
48387	Anthoceros formosae	species	Anthoceros angustus
37308	Anthoceros laevis	species	Phaeoceros laevis
130306	Aphanorrhegma serratum	species	Physcomitrium serratum
357979	Apometzgeria pubescens	species	Metzgeria pubescens
1795072	Archilejeunea autoica	species	Dibrachiella autoica
1795074	Archilejeunea elobulata	species	Dibrachiella elobulata
1795075	Archilejeunea kiushiana	species	Spruceanthus kiushianus
41834	Aspiromitus cavernosus	species	Anthoceros agrestis
122620	Asterella gracilis	species	Mannia gracilis
301313	Astomum crispum	species	Weissia longifolia
122615	Athalamia hyalina	species	Clevea hyalina
1214463	Athalamia spathysii	species	Clevea spathysii
170478	Barbella pendula	species	Neodicladiella pendula
1331087	Barbilophozia attenuata	species	Neoorthocaulis attenuatus
209806	Barbilophozia floerkei	species	Neoorthocaulis floerkei
537838	Barbilophozia quadriloba	species	Schljakovianthus quadrilobus
200695	Barbula bolleana	species	Hydrogonium bolleanum
487403	Barbula constricta	species	Didymodon constrictus
187995	Barbula convoluta	species	Streblotrichum convolutum
1277875	Barbula gregaria	species	Hydrogonium gregarium
1297384	Barbula hiroshii	species	Hydrogonium hiroshii
81812	Barbula recurvirostris	species	Hymenostylium recurvirostrum
260780	Barbula rigidula	species	Didymodon rigidulus
187827	Brachymenium acuminatum	species	Bryum pungens
216084	Brachymenium preissianum	species	Bryum preissianum
219726	Brachythecium glaciale	species	Sciuro-hypnum glaciale
184629	Brachythecium reflexum	species	Sciuro-hypnum reflexum
466179	Brachythecium starkii	species	Sciuro-hypnum starkei
113273	Brachythecium velutinum	species	Brachytheciastrum velutinum
324245	Bryosedgwickia aurea	species	Platygyriella aurea
576377	Bryum arcticum	species	Ptychostomum arcticum
109056	Bryum billarderi	species	Rosulabryum billarderi
66992	Bryum caespiticium	species	Gemmabryum caespiticium
187835	Bryum cellulare	species	Ptychostomum cellulare
216087	Bryum coronatum	species	Gemmabryum coronatum
200806	Bryum cyclophyllum	species	Ptychostomum cyclophyllum
576378	Bryum dichotomum	species	Gemmabryum dichotomum
2929762	Bryum elegans	species	Ptychostomum elegans
216088	Bryum gemmiferum	species	Gemmabryum gemmiferum
187837	Bryum gemmiparum	species	Imbribryum gemmiparum
563845	Bryum mildeanum	species	Imbribryum mildeanum
200810	Bryum pallens	species	Ptychostomum pallens
187839	Bryum pallescens	species	Ptychostomum pallescens
981517	Bryum turbinatum	species	Ptychostomum turbinatum
200812	Bryum uliginosum	species	Plagiobryum uliginosum
187843	Bryum wrightii	species	Ptychostomum wrightii
374220	Bucklandiella heterosticha	species	Racomitrium heterostichum
249548	Calliergon stramineum	species	Straminergon stramineum
2499986	Campyliadelphus elodes	species	Kandaea elodes
140001	Campyliadelphus stellatus	species	Campylium stellatum
2601386	Campylium calcareum	species	Campylophyllopsis calcarea
94482	Campylium chrysophyllum	species	Campyliadelphus chrysophyllus
140384	Campylium hispidulum	species	Campylophyllopsis hispidula
140388	Campylium polygamum	species	Drepanocladus polygamus
304421	Campylium sommerfeltii	species	Campylophyllopsis sommerfeltii
70212	Cephalozia lammersiana	species	Cephalozia bicuspidata
1230430	Cephalozia pleniceps	species	Fuscocephaloziopsis pleniceps
350784	Cephaloziella arctica	species	Cephaloziella varians
264783	Chandonanthus hirtellus	species	Plicanthus hirtellus
248349	Chandonanthus setiformis	species	Tetralophozia setiformis
94690	Cheilothela chilensis	species	Chrysoblastella chilensis
535802	Cirriphyllum flotowianum	species	Sciuro-hypnum flotowianum
1230438	Cladopodiella fluitans	species	Odontoschisma fluitans
424934	Clasmatocolea humilis	species	Chiloscyphus humilis
129286	Codriophorus fascicularis	species	Dilutineuron fasciculare
1286318	Codriophorus varius	species	Frisvollia varia
263890	Craspedophyllum marginatum	species	Hymenophyllum marginatum
69983	Cratoneuron commutatum	species	Palustriella falcata
69983	Cratoneuron falcatum	species	Palustriella falcata
280810	Cryptothallus mirabilis	species	Aneura mirabilis
1091218	Desmatodon cernuus	species	Tortula cernua
2779699	Dicranella palustris	species	Dichodontium palustre
98485	Dicranoweisia crispula	species	Hymenoloma crispulum
98330	Dicranum montanum	species	Orthodicranum montanum
226469	Dicranum strictum	species	Dicranum tauricum
2592088	Didymodon brachyphyllus	species	Vinealobryum brachyphyllum
260773	Didymodon fallax	species	Geheebia fallax
260774	Didymodon ferrugineus	species	Geheebia ferruginea
200716	Didymodon giganteus	species	Geheebia gigantea
324301	Didymodon recurvus	species	Bellibarbula recurva
260777	Didymodon vinealis	species	Vinealobryum vineale
209816	Diplophyllum plicatum	species	Douinia plicata
167897	Drepanocladus exannulatus	species	Sarmentypnum exannulatum
140007	Drepanocladus revolvens	species	Scorpidium revolvens
140003	Drepanocladus uncinatus	species	Sanionia uncinata
517545	Echinodium hispidum	species	Echinodiopsis hispida
857537	Eurhynchium arbuscula	species	Kindbergia arbuscula
184666	Eurhynchium confertum	species	Rhynchostegium confertum
1519433	Eurhynchium dumosum	species	Pseudokindbergia dumosa
184644	Eurhynchium eustegium	species	Eurhynchiadelphus eustegia
100466	Eurhynchium pulchellum	species	Eurhynchiastrum pulchellum
129936	Eurhynchium pumilum	species	Microeurhynchium pumilum
219728	Eurhynchium striatulum	species	Plasteurhynchium striatulum
1286802	Fissidens bryoides var. gymnandrus	species	Fissidens gymnandrus
642300	Frullania squarrosa	species	Frullania ericoides
1968115	Funaria hygrometrica var. calvescens	species	Funaria calvescens
1094763	Funaria muhlenbergii	species	Entosthodon muhlenbergii
717527	Funaria obtusa	species	Entosthodon obtusus
1094764	Funaria pulchella	species	Entosthodon pulchellus
576376	Gemmabryum apiculatum	species	Anomobryum apiculatum
324233	Gollania philippinensis	species	Elmeriobryum philippinense
98950	Heterophyllium affine	species	Heterophyllium nematosum
306428	Heterophyllium haldanianum	species	Callicladium haldanianum
184622	Homalothecium geheebii	species	Brachythecium geheebii
184650	Homalothecium lutescens	species	Camptothecium lutescens
111435	Hygroamblystegium tenax	species	Amblystegium tenax
140392	Hygrohypnum duriusculum	species	Platyhypnum duriusculum
140393	Hygrohypnum eugyrium	species	Pseudohygrohypnum eugyrium
140005	Hygrohypnum ochraceum	species	Hygrohypnella ochracea
304430	Hygrohypnum polare	species	Hygrohypnella polaris
81472	Hylocomium pyrenaicum	species	Hylocomiastrum pyrenaicum
157232	Hypnodendron comatum	species	Mniodendron comatum
272304	Hypnodendron comosum	species	Mniodendron comosum
67636	Hypnodendron dendroides	species	Mniodendron dendroides
272338	Hypnodendron diversifolium	species	Touwiodendron diversifolium
272321	Hypnodendron kerrii	species	Sciadocladus kerrii
129281	Hypnodendron menziesii	species	Sciadocladus menziesii
452813	Hypnodendron reinwardtii	species	Dendro-hypnum reinwardtii
1183237	Hypnum circinale	species	Trochophyllohypnum circinale
2029240	Hypnum curvifolium	species	Calliergonella curvifolia
2594609	Hypnum dieckei	species	Calliergonellopsis dieckii
2601389	Hypnum fertile	species	Pseudohygrohypnum fertile
455284	Hypnum fujiyamae	species	Callicladium fujiyamae
301023	Hypnum oldhamii	species	Calohypnum oldhamii
140011	Hypnum pallescens	species	Jochenia pallescens
98943	Hypnum plumaeforme	species	Calohypnum plumiforme
301024	Hypnum pratense	species	Stereodon pratensis
301184	Hypnum sakuraii	species	Calohypnum sakuraii
1671329	Hypnum subimponens	species	Stereodon subimponens
90307	Hypnum tristoviride	species	Pylaisiadelpha tristoviridis
98735	Hypopterygium tamariscinum	species	Canalohypopterygium tamariscinum
186693	Isopterygiopsis pulchella	species	Isopterygiella pulchella
53015	Jamesoniella autumnalis	species	Syzygiella autumnalis
264778	Jamesoniella nipponica	species	Syzygiella nipponica
463575	Jungermannia amakawana	species	Liochlaena subulata
745657	Jungermannia confertissima	species	Solenostoma confertissimum
463579	Jungermannia gracillima	species	Solenostoma gracillimum
389507	Jungermannia hyalina	species	Solenostoma hyalinum
1529958	Jungermannia infusca	species	Solenostoma infuscum
248342	Jungermannia obovata	species	Solenostoma obovatum
1585955	Jungermannia pyriflora	species	Plectocolea jishibana
463580	Jungermannia sphaerocarpa	species	Solenostoma sphaerocarpum
463575	Jungermannia subulata	species	Liochlaena subulata
1585952	Jungermannia tetragona	species	Solenostoma tetragonum
1527748	Jungermannia truncata	species	Solenostoma truncatum
2184355	Kiaeria falcata	species	Pseudoblindia falcata
537828	Leiocolea badensis	species	Mesoptychia badensis
208982	Lescuraea incurvata	species	Pseudoleskea incurvata
208983	Lescuraea patens	species	Pseudoleskea patens
