taxon_id	input	rank
61542	Abietinella abietina	species
129285	Acaulon muticum	species
245372	Achrophyllum dentatum	species
334149	Acrobolbus ciliatus	species
186686	Acrocladium auriculatum	species
206511	Acrocladium chlamydophyllum	species
52999	Calliergonella cuspidata	species
1592792	Acrolejeunea emergens	species
184686	Aerobryidium filamentosum	species
2752315	Aerobryopsis subdivergens	species
184688	Pseudotrachypus wallichii	species
2606793	Aloina aloides	species
2779723	Aloina brevirostris	species
324432	Aloina rigida	species
67244	Amblyodon dealbatus	species
111434	Amblystegium riparium	species
99400	Amblystegium serpens	species
622456	Pseudoamblystegium subtile	species
111435	Amblystegium tenax	species
111436	Hygroamblystegium varium	species
61544	Amphidium lapponicum	species
96799	Amphidium mougeotii	species
1984807	Amphidium tortuosum	species
94513	Anacamptodon splachnoides	species
190856	Anacolia menziesii	species
264780	Anastrepta orcadensis	species
1331071	Schizophyllopsis bidens	species
248321	Anastrophyllum michauxii	species
248346	Sphenolobus minutus	species
1183220	Andreaea australis	species
64624	Andreaea nivalis	species
50745	Andreaea rothii	species
13797	Andreaea rupestris	species
560053	Aneura latissima	species
414042	Aneura maxima	species
39026	Aneura pinguis	species
200692	Anoectangium aestivum	species
2683725	Anoectangium thomsonii	species
576372	Anomobryum auratum	species
576373	Anomobryum filiforme	species
2779804	Pseudanomodon attenuatus	species
84229	Pseudanomodon giraldii	species
304420	Anomodon longifolius	species
84231	Anomodon minor	species
272694	Anomodon rostratus	species
84230	Anomodon rugelii	species
2585790	Anomodon thraustus	species
253516	Anomodon viticulosus	species
280797	Anthelia julacea	species
41834	Anthoceros agrestis	species
1263688	Anthoceros caucasicus	species
48387	Anthoceros angustus	species
37308	Phaeoceros laevis	species
3234	Anthoceros punctatus	species
130306	Physcomitrium serratum	species
357979	Metzgeria pubescens	species
321064	Apotreubia nana	species
98457	Archidium alternifolium	species
1183235	Archidium hallii	species
129263	Archidium stellatum	species
146546	Archidium tenerrimum	species
1795072	Dibrachiella autoica	species
1795074	Dibrachiella elobulata	species
1795075	Spruceanthus kiushianus	species
127159	Arctoa fulvella	species
1285440	Arnellia fennica	species
526699	Asterella blumeana	species
122620	Mannia gracilis	species
160682	Asterella lindenbergiana	species
486045	Asterella mussuriensis	species
157219	Asterella syngenesica	species
301313	Weissia longifolia	species
122615	Clevea hyalina	species
1214463	Clevea spathysii	species
187994	Atrichum altecristatum	species
201542	Atrichum androgynum	species
37310	Atrichum angustatum	species
1643629	Atrichum crispulum	species
1643630	Atrichum crispum	species
752045	Atrichum flavisetum	species
934046	Atrichum selwynii	species
173094	Atrichum tenellum	species
38592	Atrichum undulatum	species
171831	Aulacomnium acuminatum	species
67247	Aulacomnium androgynum	species
171832	Aulacomnium heterostichum	species
171833	Aulacomnium palustre	species
67248	Aulacomnium turgidum	species
255999	Balantiopsis cancellata	species
170465	Barbella flagellifera	species
170478	Neodicladiella pendula	species
1331087	Neoorthocaulis attenuatus	species
209798	Barbilophozia barbata	species
209806	Neoorthocaulis floerkei	species
248322	Barbilophozia hatcheri	species
402105	Barbilophozia lycopodioides	species
537838	Schljakovianthus quadrilobus	species
200695	Hydrogonium bolleanum	species
487403	Didymodon constrictus	species
187995	Streblotrichum convolutum	species
1277875	Hydrogonium gregarium	species
1297384	Hydrogonium hiroshii	species
81812	Hymenostylium recurvirostrum	species
260780	Didymodon rigidulus	species
96465	Barbula unguiculata	species
1286809	Bartramia breviseta	species
65528	Bartramia halleriana	species
203222	Bartramia ithyphylla	species
2684902	Bartramia patens	species
52976	Bartramia pomiformis	species
66990	Bartramia stricta	species
204010	Bartramidula bartramioides	species
111653	Bartramiopsis lescurii	species
139842	Bazzania adnexa	species
100460	Bazzania fauriana	species
2488990	Bazzania japonica	species
2575587	Bazzania praerupta	species
306421	Bazzania tricrenata	species
588641	Bazzania tridens	species
13808	Bazzania trilobata	species
129270	Bescherellia elegantissima	species
122625	Blasia pusilla	species
402598	Blepharidophyllum densifolium	species
2743362	Blepharostoma minus	species
70214	Blepharostoma trichophyllum	species
67425	Blindia acuta	species
254114	Blindia japonica	species
90380	Boulaya mittenii	species
226501	Brachydontium trichodes	species
187827	Bryum pungens	species
576375	Brachymenium exile	species
187830	Brachymenium longicolle	species
187831	Brachymenium nepalense	species
216084	Bryum preissianum	species
184618	Brachythecium albicans	species
1344371	Brachythecium austrosalebrosum	species
184619	Brachythecium buchananii	species
219721	Brachythecium campestre	species
1344373	Brachythecium coreanum	species
184621	Brachythecium frigidum	species
384648	Brachythecium garovaglioides	species
184622	Brachythecium geheebii	species
219726	Sciuro-hypnum glaciale	species
184623	Brachythecium glareosum	species
879961	Brachythecium helminthocladum	species
384649	Brachythecium kuroishicum	species
283384	Brachythecium leibergii	species
219720	Brachythecium mildeanum	species
879962	Brachythecium piligerum	species
94488	Brachythecium plumosum	species
184630	Brachythecium populeum	species
184629	Sciuro-hypnum reflexum	species
90277	Brachythecium rivulare	species
53005	Brachythecium rutabulum	species
80886	Brachythecium salebrosum	species
466179	Sciuro-hypnum starkei	species
2596693	Brachythecium subplicatum	species
219725	Brachythecium turgidum	species
113273	Brachytheciastrum velutinum	species
67388	Braithwaitea sulcata	species
190857	Breutelia affinis	species
203203	Breutelia arundinifolia	species
203204	Breutelia chrysocoma	species
2596694	Breutelia integrifolia	species
188170	Breutelia pendula	species
98475	Brothera leana	species
118191	Brotherella complanata	species
1547321	Brotherella erythrocaulis	species
2164115	Brotherella falcata	species
118192	Brotherella fauriei	species
98356	Brotherella henonii	species
118193	Brotherella herbacea	species
13801	Brotherella recurvans	species
324443	Bruchia drummondii	species
175143	Bruchia flexuosa	species
647081	Bryhnia hultenii	species
1344376	Bryhnia noesica	species
94490	Bryhnia novae-angliae	species
1344377	Bryhnia tokubuchii	species
420370	Bryhnia trichomitria	species
184636	Bryoandersonia illecebra	species
67431	Bryobrittonia longipes	species
1988020	Bryoerythrophyllum atrorubens	species
1988022	Bryoerythrophyllum caledonicum	species
200698	Bryoerythrophyllum recurvirostrum	species
1988026	Bryoerythrophyllum wallichii	species
1547266	Bryonoguchia molkenboeri	species
324245	Platygyriella aurea	species
98454	Bryoxiphium norvegicum	species
576377	Ptychostomum arcticum	species
37413	Bryum argenteum	species
2006500	Bryum atrovirens	species
109056	Rosulabryum billarderi	species
66992	Gemmabryum caespiticium	species
2779767	Bryum calophyllum	species
187835	Ptychostomum cellulare	species
216087	Gemmabryum coronatum	species
2779770	Bryum creberrimum	species
200806	Ptychostomum cyclophyllum	species
576378	Gemmabryum dichotomum	species
2929762	Ptychostomum elegans	species
216088	Gemmabryum gemmiferum	species
187837	Imbribryum gemmiparum	species
2779703	Bryum intermedium	species
2779773	Bryum knowltonii	species
2779774	Bryum kunzei	species
563845	Imbribryum mildeanum	species
200809	Bryum pachytheca	species
200810	Ptychostomum pallens	species
187839	Ptychostomum pallescens	species
576379	Bryum paradoxum	species
200811	Bryum pseudotriquetrum	species
981517	Ptychostomum turbinatum	species
200812	Plagiobryum uliginosum	species
2779704	Bryum warneum	species
187843	Ptychostomum wrightii	species
53027	Bucegia romanica	species
374220	Racomitrium heterostichum	species
70138	Bucklandiella microcarpa	species
981376	Bucklandiella sudetica	species
70128	Buxbaumia aphylla	species
187997	Buxbaumia piperi	species
187998	Buxbaumia viridis	species
306428	Callicladium haldanianum	species
671105	Calliergon cordifolium	species
139999	Calliergon giganteum	species
294394	Calliergon richardsonii	species
249548	Straminergon stramineum	species
94527	Calliergonella lindbergii	species
269526	Calycularia crispula	species
41852	Calypogeia arguta	species
362796	Calypogeia fissa	species
2483124	Calypogeia granulata	species
70143	Calypogeia integristipula	species
56915	Calypogeia muelleriana	species
588642	Calypogeia neesiana	species
985893	Calypogeia sphagnicola	species
373805	Calypogeia suecica	species
2483130	Calypogeia tosana	species
663592	Calyptothecium hookeri	species
2029537	Calyptothecium pinnatum	species
245345	Calyptrochaeta japonica	species
245376	Camptochaete vaga	species
184650	Camptothecium lutescens	species
94482	Campyliadelphus chrysophyllus	species
2499986	Kandaea elodes	species
140001	Campylium stellatum	species
2601386	Campylophyllopsis calcarea	species
140384	Campylophyllopsis hispidula	species
140388	Drepanocladus polygamus	species
304421	Campylophyllopsis sommerfeltii	species
127161	Campylopus atrovirens	species
96529	Campylopus flexuosus	species
193020	Campylopus fragilis	species
218459	Campylopus gracilis	species
98324	Campylopus introflexus	species
281621	Campylopus pyriformis	species
194398	Campylopus savannarum	species
255500	Campylopus schmidii	species
193028	Campylopus tallulensis	species
146562	Catoscopium nigritum	species
269524	Cavicularia densa	species
1230423	Cephalozia ambigua	species
70212	Cephalozia bicuspidata	species
1920155	Cephalozia hamatiloba	species
588643	Cephalozia otaruensis	species
1230430	Fuscocephaloziopsis pleniceps	species
350784	Cephaloziella varians	species
1806565	Ceratodon heterophyllus	species
3225	Ceratodon purpureus	species
264783	Plicanthus hirtellus	species
248349	Tetralophozia setiformis	species
139844	Chandonanthus squarrosus	species
203663	Cheilolejeunea imbricata	species
94690	Chrysoblastella chilensis	species
261371	Chiastocaulon dendroides	species
95762	Chiloscyphus pallescens	species
70557	Chiloscyphus polyanthos	species
215272	Chiloscyphus profundus	species
910423	Chorisodontium aciphyllum	species
324422	Chryso-hypnum diminutivum	species
170469	Chrysocladium retrorsum	species
1263848	Cinclidium arcticum	species
1263849	Cinclidium latifolium	species
67261	Cinclidium stygium	species
1263851	Cinclidium subrotundum	species
324449	Cinclidotus aquaticus	species
2927646	Cinclidotus danubicus	species
200780	Cinclidotus fontinaloides	species
140630	Cinclidotus riparius	species
155542	Cirriphyllum crassinervium	species
535802	Sciuro-hypnum flotowianum	species
184640	Cirriphyllum piliferum	species
1230438	Odontoschisma fluitans	species
169505	Claopodium aciculum	species
1547322	Claopodium assurgens	species
304422	Claopodium crispifolium	species
1547323	Claopodium pellucinerve	species
221738	Claopodium whippleanum	species
424934	Chiloscyphus humilis	species
94515	Clasmatodon parvulus	species
324384	Clastobryella kusatsuensis	species
94443	Climacium americanum	species
70131	Climacium dendroides	species
84239	Climacium japonicum	species
296905	Codriophorus aciculare	species
129286	Dilutineuron fasciculare	species
1286318	Frisvollia varia	species
1186953	Cololejeunea calcarea	species
2358415	Cololejeunea goebelii	species
1186978	Cololejeunea ornata	species
1186983	Cololejeunea raduliloba	species
41839	Conocephalum conicum	species
134427	Conocephalum japonicum	species
203217	Conostomum pentastichum	species
146551	Conostomum tetragonum	species
63791	Corsinia coriandrina	species
226481	Coscinodon calyptratus	species
263890	Hymenophyllum marginatum	species
69983	Palustriella falcata	species
99398	Cratoneuron filicinum	species
1748855	Cronisia fimbriata	species
1748856	Cronisia weddellii	species
94446	Cryphaea glomerata	species
213555	Cryphaea heteromalla	species
480555	Cryphaea tasmanica	species
280810	Aneura mirabilis	species
455256	Ctenidium capillifolium	species
455257	Ctenidium hastile	species
455258	Ctenidium homalophyllum	species
94526	Ctenidium malacodes	species
90309	Ctenidium molluscum	species
455261	Ctenidium percrassum	species
455262	Ctenidium pinnatum	species
2666443	Ctenidium pubescens	species
455264	Ctenidium serratifolium	species
2846787	Cyathodium smaragdinum	species
98737	Cyathophorum bulbosum	species
1225627	Cynodontium bruntonii	species
2736546	Cynodontium fallax	species
127173	Cynodontium jenneri	species
96528	Cynodontium polycarpum	species
324453	Cynodontium strumiferum	species
2029539	Cyptodontopsis leveillei	species
1906817	Cyrto-hypnum minutulum	species
1727182	Cyrtomnium hymenophylloides	species
67347	Cyrtomnium hymenophyllum	species
759696	Daltonia semitorta	species
752046	Dawsonia beccarii	species
201545	Dawsonia polytrichoides	species
400549	Dendroceros crispus	species
1262581	Dendroceros japonicus	species
82265	Dendroligotrichum dendroides	species
129210	Dendroligotrichum squamosum	species
1091218	Tortula cernua	species
61549	Desmotheca apiculata	species
184690	Diaphanodon blandus	species
123083	Dichelyma falcatum	species
98482	Dichodontium pellucidum	species
98325	Dicranella cerviculata	species
2736552	Dicranellopsis crispa	species
80885	Dicranella heteromalla	species
2902107	Dicranella hookeri	species
2779699	Dichodontium palustre	species
2736556	Dicranella rufescens	species
2736524	Aongstroemia schreberiana	species
2736558	Dicranellopsis subulata	species
2736559	Dicranella varia	species
94686	Dicranodontium denudatum	species
1380067	Dicranoloma brevisetum	species
175293	Dicranoloma dicarpum	species
175147	Dicranoloma menziesii	species
380527	Dicranoloma robustum	species
96532	Dicranoweisia cirrata	species
98485	Hymenoloma crispulum	species
98486	Dicranum bonjeanii	species
1792294	Dicranum caesium	species
127162	Dicranum condensatum	species
380526	Dicranum elongatum	species
446145	Dicranum flagellare	species
226468	Dicranum fuscescens	species
1510174	Dicranum groenlandicum	species
1385677	Dicranum japonicum	species
175148	Dicranum majus	species
