taxon_id	input	rank
162425	Aspergillus nidulans	species
2867405	Blumeria hordei	species
36044	Erysiphe pisi	species
5518	Fusarium graminearum	species
5141	Neurospora crassa	species
5076	Penicillium chrysogenum	species
59557	Tuber aestivum	species
5341	Agaricus bisporus	species
5599	Alternaria alternata	species
279185	Botrytis allii	species
139641	Botrytis byssoidea	species
40559	Botrytis cinerea	species
139640	Botrytis squamosa	species
87230	Botrytis tulipae	species
29918	Cladosporium herbarum	species
5016	Bipolaris maydis	species
5017	Bipolaris zeicola	species
45130	Bipolaris sorokiniana	species
#grNecHaem	Nectria haematococca	species
