institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x32	primary
LCD	1994-2809	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	lathyris	<Petro	GPB3%PVPBmet	220.69	398.38	2.98	3.13	1.805	228.77	408.79	NA	2.52	1.26	1.23	2.77	2.96	0.018	NA	Sahr Mian	28/07/2020	KDTOL10006	no previous estimate	NA	NA	NA	1
Offsite	MC9001	DTOL	Angiosperm	Fabaceae	Ononis	repens	<Petro	GPB3%PVPBmet	288.88	450.78	3.33	2.36	1.56	292.92	460.98	NA	2.86	1.43	1.4	3.12	2.1	0.012	NA	Sahr Mian	8/4/2020	KDTOL10003	genus estimate = 1.24., 285	NA	NA	NA	1
Offsite	MC9002	DTOL	Angiosperm	Orobanchaceae	Orobanche	hederae	>Solanum	GPB3%PVPBmet	190.16	550.79	3.78	3.14	2.896	571.76	202.3	NA	5.65	2.83	2.76	3.32	3.63	0.060	NA	Sahr Mian	8/4/2020	KDTOL10004/5	4.65 (2005)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9000	DTOL	Angiosperm	Brassicaceae	Brassica	oleracea	<Solanum	GPB3%PVPBmet	303.17	420.58	3.75	3.29	1.387	301.78	418.99	NA	1.44	0.72	0.7	4.11	3.38	0.006	NA	Sahr Mian	8/4/2020	KDTOL10002	1.8 (1974)* 1.42 (2005)	NA	NA	NA	1
Offsite	MC9004	DTOL	Angiosperm	Balsaminaceae	Impatiens	noli-tangere	<Petro	GPB3%PVPBmet	258.47	777.36	3.12	2.48	3.008	271.15	794.45	NA	1.54	0.77	0.75	3.35	2.36	0.082	NA	Sahr Mian	8/4/2020	KDTOL10007	0.8-6.51	NA	NA	NA	1
Offsite	MC9005	DTOL	Angiosperm	Onagraceae	Circaea	lutetiana	<Solanum	GPB3%PVPBmet	225.44	368.59	3.55	2.89	1.635	231.46	376.63	NA	1.23	0.61	0.6	3.61	3.01	0.012	NA	Sahr Mian	8/5/2020	KDTOL10008	1.16 (2013)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9006	DTOL	Angiosperm	Solanaceae	Atropa	belladonna	>Solanum	GPB3%PVPBmet	246.96	492.75	2.65	3.04	1.995	501.02	233.45	NA	4.29	2.15	2.1	2.9	2.67	0.016	NA	Sahr Mian	8/5/2020	KDTOL10009	3.9 (1983)*	NA	NA	NA	1
Offsite	MC9007	DTOL	Angiosperm	Papaveraceae	Papaver	dubium	>Solanum	GPB3%PVPBmet	196.57	476.90	3.36	2.54	2.426	480.19	198.23	NA	4.84	2.42	2.37	2.66	3.53	0.027	NA	Sahr Mian	8/5/2020	KDTOL10010	7.4 (1991)* 9 (1976)*	NA	NA	NA	1
Offsite	MC9008	DTOL	Angiosperm	Papaveraceae	Fumaria	officinalis	<Solanum	GPB3%PVPBmet	230.33	357.06	4.14	3.23	1.55	241.12	375.01	NA	1.29	0.64	0.63	4.17	3.13	0.006	NA	Sahr Mian	8/5/2020	KDTOL10011	no previous estimate	Sanger - low DNA yield	NA	NA	1
Offsite	MC9009	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	peplus	<Solanum	GPB3%PVPBmet	215.00	541.00	4.98	2.79	2.514	220.04	552.48	NA	0.8	0.4	0.39	4.82	2.74	0.020	NA	Sahr Mian	8/5/2020	KDTOL10012	0.69 (2007)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9010	DTOL	Angiosperm	Poaceae	Holcus	mollis	>Petro	GPB3%PVPBmet	309.38	527.77	2.86	2.43	2.128	536.03	316.3	NA	7.63	3.81	3.73	2.38	2.72	0.005	NA	Sahr Mian	8/5/2020	KDTOL10013	5.5 (1993)* 8.18 (1993)* 8.40 (1984)	NA	NA	period where Paris was unavailable so Fritillaria/Edelweiss were used	1
Offsite	MC9011	DTOL	Angiosperm	Urticaceae	Urtica	urens	<Solanum	GPB3%PVPBmet	204.56	409.01	4.05	3.78	1.999	222.01	436.37	NA	1.02	0.51	0.5	3.67	3.8	0.038	NA	Sahr Mian	8/6/2020	KDTOL10014	0.6 (1967)* 1.07 (2003)	peaks showed endopolypoidy, peaks overlapping wth standard peaks - messy	NA	NA	1
Offsite	MC9012	DTOL	Angiosperm	Urticaceae	Urtica	dioica	<Petro	GPB3%PVPBmet	305.69	566.17	2.8	2.71	1.852	313.85	576.08	NA	2.45	1.23	1.2	3.23	2.87	0.018	NA	Sahr Mian	8/6/2020	KDTOL10015	1.04 (2016) 1.22 (2011) 2.34(2003) 3.2(1989)*	NA	NA	NA	1
Offsite	MC9013	DTOL	Angiosperm	Polygonaceae	Persicaria	maculosa	>Solanum	GPB3%PVPBmet	233.88	412.32	3.71	3.64	1.732	420.03	242.52	NA	3.46	1.73	1.69	3.62	4.1	0.017	NA	Sahr Mian	8/6/2020	KDTOL10016	3.9 (2012)*	NA	NA	NA	1
Offsite	MC9014	DTOL	Angiosperm	Convolvulaceae	Calystegia	sepium	<Solanum	GPB3%PVPBmet	254.29	346.00	3.8	3.28	1.361	268.55	363.23	NA	1.48	0.74	0.72	3.79	3.28	0.008	NA	Sahr Mian	8/6/2020	KDTOL10017	1.42 (2012)*	LB and Ebihara tried	NA	NA	1
Offsite	MC9015	DTOL	Angiosperm	Lythraceae	Lythrum	salicaria	>Solanum	GPB3%PVPBmet	226.04	371.76	3.91	3.07	1.645	395.46	244.25	NA	3.24	1.62	1.58	3.46	3.72	0.023	NA	Sahr Mian	8/6/2020	KDTOL10018	no previous estimate	Sanger - low DNA yield	NA	NA	1
Offsite	MC9016	DTOL	Angiosperm	Lamiaceae	Lycopus	europaeus	No data as sample was quite messy, all buffers tried, recollect next year	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KDTOL10019	NA	NA	NA	NA	1
Offsite	MC9017	DTOL	Angiosperm	Verbenaceae	Verbena	officinalis	<Solanum	GPB3%PVPBmet	216.46	604.43	3.96	2.32	2.847	213.13	589.57	NA	0.72	0.36	0.35	4.13	2.54	0.058	NA	Sahr Mian	8/7/2020	KDTOL10020	no previous estimate	Repeated with LB, OXPRO and again with GPB	NA	Sanger - low DNA yield	1
Offsite	MC9018	DTOL	Angiosperm	Asteraceae	Arctium	minus	>Solanum	GPB3%PVPBmet	219.22	467.87	2.8	2.47	2.134	474.18	224.42	NA	4.23	2.11	2.07	2.18	2.68	0.022	NA	Sahr Mian	8/7/2020	KDTOL10022	3.75*, 4.07 (2013) 4.40 (2012)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9019	DTOL	Angiosperm	Juncaceae	Juncus	effusus	<Solanum	GPB3%PVPBmet	123.95	420.95	3.12	2.62	3.316	129.32	430.53	NA	0.6	0.3	0.29	2.97	2.48	0.044	NA	Sahr Mian	8/7/2020	KDTOL10021	0.6 (1988)*	NA	NA	NA	1
Offsite	MC9020	DTOL	Angiosperm	Boraginaceae	Borago	officinalis	>Solanum	GPB3%PVPBmet	203.87	336.35	3.33	3.91	1.65	349.67	213.7	NA	3.27	1.64	1.6	3.75	3.26	0.012	NA	Sahr Mian	8/7/2020	KDTOL10023	3.5 (1995)*	Sample left in the fridge for a while and had some damage to leaves	NA	NA	1
Offsite	MC9021	DTOL	Angiosperm	Plantaginaceae	Misopates	orontium	<Solanum	GPB3%PVPBmet	220.89	449.21	4.86	3.03	3.316	234.42	470.06	NA	1	0.5	0.49	4.54	2.89	0.044	NA	Sahr Mian	8/7/2020	KDTOL10024	0.88 (2012)*	Tried with LB and OXPRO, best peaks with Gpb	NA	NA	1
Offsite	MC9022	DTOL	Monilophyte	Pteridaceae	Adiantum	capillus-veneris	>Petro	Ebihara	215.00	578.11	3	4	2.689	595.39	226.81	NA	11.81	5.91	5.78	3.6	2.91	0.066	NA	Sahr Mian	8/10/2020	KDTOL10025	10.96 (2013)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9023	DTOL	Monilophyte	Aspleniaceae	Asplenium	scolopendrium	<Allium	Ebihara	290.49	588.78	2.96	2.34	2.027	299.63	601.29	NA	17.39	8.69	8.5	2.8	1.96	0.017	NA	Sahr Mian	8/10/2020	KDTOL10026	15.93 (2013) 16.86 (2019)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9024	DTOL	Angiosperm	Fabaceae	Medicago	arabica	<Solanum	GPB3%PVPBmet	271.99	439.83	3.32	2.72	1.617	276.98	445.69	NA	1.24	0.62	0.61	3.15	2.8	0.009	NA	Sahr Mian	8/10/2020	KDTOL10027	1.12 (2016)*	NA	NA	NA	1
Offsite	MC9025	DTOL	Angiosperm	Asteraceae	Eupatorium	cannabinum	<Pisum	GPB3%PVPBmet	355.02	587.49	3.2	2.78	3.237	367.26	608.27	NA	5.49	2.74	2.68	3.46	2.72	0.043	NA	Sahr Mian	8/10/2020	KDTOL10028	4.77 (2013) 4.93 (2009) 5.15 (2010)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9026	DTOL	Angiosperm	Convolvulaceae	Convolvulus	arvensis	<Solanum	GPB3%PVPBmet	418.61	643.62	3.05	3.09	1.539	443.15	675.52	NA	1.31	0.66	0.64	3.17	3.13	0.013	NA	Sahr Mian	8/10/2020	KDTOL10029	1.33 (2013)* 2.92 (2013) 3.6 (1998)	NA	NA	NA	1
Offsite	MC9027	DTOL	Angiosperm	Caryophyllaceae	Stellaria	media	<Petro	GPB3%PVPBmet	283.28	556.60	3.22	2.33	1.852	297.85	577.42	NA	2.32	1.16	1.14	3.23	2.6	0.018	NA	Sahr Mian	8/11/2020	KDTOL10030	2.10 (1972)* 2.30 (1983) 1.44 (2013 4.23 (2013)	NA	Paris working again	NA	1
Offsite	MC9028	DTOL	Angiosperm	Plantaginaceae	Veronica	chamaedrys	<Petro	GPB3%PVPBmet	305.55	353.74	2.39	1.97	1.852	308.36	356.89	NA	3.89	1.94	1.9	2.22	1.77	0.018	NA	Sahr Mian	8/11/2020	KDTOL10031	2.98 (2003)* 3.72 (2012)	NA	NA	NA	1
Offsite	MC9029	DTOL	Monilophyte	Osmundaceae	Osmunda	regalis	<Allium	Ebihara	538.12	639.98	3.75	2.29	2.027	555.49	667.08	NA	29.05	14.53	14.21	3.66	2.32	0.017	NA	Sahr Mian	13/8/2020	KDTOL10032	28.01 (2011)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9030	DTOL	Angiosperm	Cucurbitaceae	Bryonia	dioica	>Solanum	GPB3%PVPBmet	262.60	431.71	3.46	2.42	1.65	437.92	268.77	NA	3.26	1.63	1.59	2.71	3.23	0.012	NA	Sahr Mian	14/8/2020	KDTOL10033	3.30 (1975)* 5.63 (2012)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9031	DTOL	Angiosperm	Polygonaceae	Fallopia	convolvulus	<Solanum	GPB3%PVPBmet	377.56	548.99	3.97	3.1	1.539	405.73	581.98	NA	1.39	0.7	0.68	3.94	3.16	0.013	NA	Sahr Mian	14/8/2020	KDTOL10034	1.4 (1992)*	Sanger - low DNA yield	NA	NA	1
