taxon_id	input	rank
5322	Pleurotus ostreatus	species
494438	Meconema thalassinum	species
218720	Carterocephalus palaemon	species
414934	Phosphuga atrata	species
356393	Limnoperna fortunei	species
6526	Biomphalaria glabrata	species
194200	Ballota nigra	species
938167	Euclidia mi	species
934844	Eupithecia centaureata	species
1126402	Andrena hattorfiana	species
1042620	Micropterix aruncella	species
110024	Nebria brevicollis	species
1108570	Synanthedon myopaeformis	species
45834	Solanum dulcamara	species
28468	Rhytidiadelphus loreus	species
67428	Thuidium tamariscinum	species
33127	Parietaria judaica	species
97023	Trifolium fragiferum	species
38846	Euphorbia peplus	species
43171	Linaria vulgaris	species
29803	Sherardia arvensis	species
76502	Schoenoplectus lacustris	species
234461	Carex depauperata	species
59018	Luzula sylvatica	species
102599	Misopates orontium	species
53169	Scutellaria galericulata	species
56535	Pulicaria dysenterica	species
13055	Chamaenerion angustifolium	species
57919	Geum urbanum	species
13579	Juncus effusus	species
473050	Urtica urens	species
4052	Hedera helix	species
70936	Medicago arabica	species
57917	Filipendula ulmaria	species
3517	Alnus glutinosa	species
260603	Lycopus europaeus	species
197152	Cloeon dipterum	species
87960	Patella depressa	species
2795681	Merzomyia westermanni	species
178772	Empis livida	species
260537	Notonecta glauca	species
351486	Grammoptera ruficornis	species
165100	Ricordea florida	species
28469	Hylocomiadelphus triquetrus	species
46595	Harmothoe impar	species
249532	Icerya purchasi	species
38945	Flammulina velutipes	species
558755	Cryptosula pallasiana	species
39272	Allacma fusca	species
301036	Synanthedon formicaeformis	species
100756	Hericium coralloides	species
3213	Polytrichum commune	species
2725509	Eristalinus sepulchralis	species
10129	Apodemus sylvaticus	species
78070	Platismatia glauca	species
174074	Cladonia squamosa	species
10090	Mus musculus	species
1542540	Megachile ligniseca	species
2026310	Closterotomus trivialis	species
987440	Herminia tarsipennalis	species
987876	Amphipoea oculea	species
4002	Buxus sempervirens	species
35632	Lumbricus rubellus	species
481575	Megachile willughbiella	species
1219160	Physocephala rufipes	species
286459	Episyrphus balteatus	species
3972	Viscum album	species
552050	Isoperla grammatica	species
419443	Blastomussa wellsi	species
80829	Tridacna gigas	species
2234001	Brachypalpus laphriformis	species
41492	Bellis perennis	species
36212	Trachurus trachurus	species
473354	Borostomias antarcticus	species
206093	Electrona antarctica	species
1060938	Stachys palustris	species
3905	Vicia cracca	species
