taxon	est_size_mb	length_mb
3972	NA	99471
638464	NA	2082
360071	NA	1603
3486	NA	2294
362106	220	280
877886	330	375
858189	189	197
121492	601	186
78070	34	38
311328	429	479
311328	493	432
148596	NA	1279
630703	588	218
80831	NA	1298
486073	NA	1006
2884234	635	653
152947	51	55
7153	183	186
948025	NA	1384
344624	433	310
722279	252	259
260603	476	403
38846	355	293
76502	497	494
234461	724	707
57917	287	280
1553597	NA	132
178772	662	296
260537	NA	1176
1219160	214	244
95463	550	528
2026310	NA	1169
1301332	37	40
32260	279	280
3034142	NA	10
100756	44	43
1676147	595	762
28469	508	568
295837	678	287
5323	57	54
875886	NA	1081
1587206	318	374
2690816	418	446
77129	188	231
1190801	447	445
1689122	472	463
795047	645	637
1190803	517	584
199064	355	410
50603	449	471
3501	985	458
7660	450	619
176009	50	53
1553241	166	186
161101	254	550
1384908	221	263
1126404	288	342
65333	656	581
1411665	454	525
877828	656	723
712039	553	659
1226606	646	731
203813	344	324
1446181	559	642
2803876	469	445
2881124	692	733
270614	660	757
218773	492	569
5804	45	53
446425	935	688
877844	691	682
878397	365	367
72669	302	321
2979191	294	314
307131	711	751
197176	NA	1298
65311	234	260
2494894	221	253
1032817	47	52
1169566	45	61
1539394	713	731
2922075	416	390
2867249	269	260
2884233	658	701
333879	NA	1679
88504	419	441
88504	430	396
1542598	373	377
418785	53	66
1859540	538	586
30202	263	302
346868	597	610
414950	199	203
1143099	707	706
295940	121	192
55410	155	183
49291	240	265
2184727	277	323
1747324	671	392
1045598	223	252
347394	655	679
154017	234	236
2776077	481	503
878348	226	237
422171	100	111
1851132	272	292
2171618	521	652
31202	918	1841
37598	NA	1209
69293	440	499
127875	NA	1173
114497	33	35
207157	343	408
1101143	720	715
1822507	418	431
223862	NA	2701
2867109	455	399
468783	251	259
190013	37	40
65146	395	438
2268375	NA	24
71668	59	68
334708	685	702
494149	310	367
1492915	296	373
2922058	NA	1765
2589382	755	812
205924	38	42
1606788	494	570
48171	693	717
934901	339	361
258209	NA	1320
1594338	356	444
1587142	163	181
500645	790	792
1542539	465	574
123328	NA	1312
176793	37	40
374263	384	425
2867105	371	513
508554	655	741
948024	NA	1457
304823	89	241
1220549	640	834
1954227	973	1203
559701	NA	1479
295679	800	800
1100979	591	672
2561799	358	392
662494	234	300
226145	563	560
90074	661	725
426098	646	682
332519	NA	1216
290657	143	160
988003	640	653
29151	383	511
877730	NA	1305
2021473	580	668
102642	568	603
877990	NA	1723
1816463	NA	1077
1342093	NA	1406
1202164	393	453
878065	NA	1103
1091426	NA	1310
1717392	NA	1617
1244581	NA	1198
202117	NA	1085
2867262	NA	1224
398365	257	101
878018	389	372
207148	NA	1353
2715158	NA	1336
55651	417	504
2725500	291	337
268694	690	695
987932	609	671
7282	144	182
331331	468	524
265386	506	527
344636	539	708
98922	NA	2140
471053	633	662
486065	NA	974
344647	360	385
345047	341	365
1406516	698	798
232653	NA	1204
85663	402	358
181985	57	67
265388	539	550
123417	441	459
59425	894	850
282397	567	567
1090481	NA	1338
282043	561	575
544954	198	220
56720	685	769
309002	294	344
268641	606	587
1421387	522	531
56723	671	723
871386	165	365
88523	412	468
2884228	185	225
220392	NA	1493
28680	NA	1192
39082	NA	2498
268656	580	597
575428	488	515
345062	454	531
268662	552	552
443705	NA	1096
2998544	382	384
265384	684	670
9731	NA	2662
601518	149	312
34570	NA	5074
306012	442	490
876066	627	643
119284	398	487
268636	595	605
1552766	170	183
1776471	480	555
70193	NA	5811
2776046	187	235
136194	188	190
2922074	416	408
91661	408	305
331327	539	536
331329	630	723
243486	NA	5588
115342	NA	1881
1545100	785	834
703264	352	375
2567736	546	582
2567738	510	567
81636	374	NA
196075	679	811
37639	NA	11850
116142	NA	15065
223681	216	244
1587122	462	453
1667470	307	401
1603211	170	115
1028563	NA	1362
601640	253	270
1905387	277	291
2881813	549	528
1779456	124	302
709496	44	47
2822767	61	319
2447973	40	284
1101044	782	792
318605	61	67
230827	59	NA
557324	87	118
440096	51	294
91752	65	NA
378274	58	1
2864184	44	77
2966	191	230
155530	NA	3196
157483	34	60
1077153	4	11
2929759	161	NA
140242	850	90
2848973	481	206
2848974	148	NA
75065	315	NA
457147	542	518
487684	931	1029
39468	786	796
77065	405	404
172267	374	439
1149847	373	387
75704	739	814
475394	484	659
234466	375	356
240680	449	390
312760	412	363
234471	310	338
241234	433	365
372271	394	417
128002	NA	3725
210355	348	367
154990	452	603
756629	772	780
212925	NA	1010
4039	485	468
23211	520	490
193516	NA	967
4166	559	432
41496	739	1186
114204	346	404
29818	755	606
94688	192	1098
860203	386	455
80891	327	561
13805	414	1057
128247	373	588
702255	281	530
69996	147	336
69996	255	260
41492	NA	800
4123	NA	1066
186058	482	591
119177	NA	3310
53159	830	800
374711	275	548
13597	NA	1408
1060938	485	640
41653	NA	2099
165318	NA	755
60093	783	673
3580	363	717
169223	NA	3323
313220	280	244
291096	759	690
230724	461	476
1053398	268	483
191669	274	399
126913	436	839
169241	921	491
125585	NA	1672
50459	306	230
3710	455	455
50462	230	209
65561	397	402
1053368	414	569
65948	317	227
109996	525	532
415813	518	460
59985	285	803
38787	375	490
1053350	547	281
56853	975	817
83862	719	681
173702	763	695
