taxon_id	input	rank
40674	Mammalia	class
335469	Orgyia antiqua	species
203782	Celastrina argiolus	species
38846	Euphorbia peplus	species
112528	Biomphalaria tenagophila	species
33127	Parietaria judaica	species
28469	Hylocomiadelphus triquetrus	species
6526	Biomphalaria glabrata	species
1545138	Gonocerus acuteangulatus	species
159417	Clavelina lepadiformis	species
50417	Mimachlamys varia	species
9361	Dasypus novemcinctus	species
378071	Stegostoma fasciatum	species
259920	Rhincodon typus	species
137246	Chiloscyllium punctatum	species
36176	Chiloscyllium plagiosum	species
460621	Euleptes europaea	species
31201	Spisula solida	species
31202	Spisula subtruncata	species
1582885	Mactra stultorum	species
