taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
70231	Longidorus elongatus	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	7	4	28				Dalmasso Cytogenetics and Reproduction in Xiphinema and Longidorus	
188093	Longidorus macrosoma	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	7	4	28				Dalmasso Cytogenetics and Reproduction in Xiphinema and Longidorus	
241698	Longidorus vineacola	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	7	4	28				Dalmasso Cytogenetics and Reproduction in Xiphinema and Longidorus	
191820	Xiphinema diversicaudatum	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	5	2	10				https://www.tandfonline.com/doi/pdf/10.1080/02541858.1988.11448122?needAccess=true	
243736	Xiphinema elongatum	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	5	2	10				https://www.tandfonline.com/doi/pdf/10.1080/02541858.1988.11448122?needAccess=true	
46003	Xiphinema index	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	5	4	20				https://www.tandfonline.com/doi/pdf/10.1080/02541858.1988.11448122?needAccess=true	
1437454	Hexamermis albicans	DORYLAIMIA	MERMITHIDAE	MERMITHINA	MERMITHIDAE	8	2	16			amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Goncharova and Romanenko 1976	
13658	Romanomermis culicivorax	DORYLAIMIA	MERMITHIDAE	MERMITHINA	MERMITHIDAE	6	2	12			outcrossing	Henry PhD Thesis  SEX DETERMINATION IN THE MERMITHID NEMATODE ...spiral.imperial.ac.uk › Hendry-LM-1985-PhD-Thesis 	
320062	Spirinia parasitifera	DORYLAIMIA	RHABDITIDA	DESMODORINA	DESMADORIDAE	7	2	14				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
54126	Pristionchus pacificus	CHROMADOREA	RHABDITIDA	RHABDITINA	DIPLOGASTERIDAE	6	2	12	XX/X0			Mitreva et al. (2005)	
37862	Heterorhabditis bacteriophora	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2	14				https://core.ac.uk/download/pdf/39865835.pdf	
52065	Heterorhabditis megidis	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	7	2	14				https://core.ac.uk/download/pdf/39865835.pdf	
2138241	Mesorhabditis belari	CHROMADOREA	RHABDITIDA	RHABDITINA	MESORHABDITIDAE	10	2	20	XX/XY		parthenogenesis autopseudogamy	https://science.sciencemag.org/content/363/6432/1210	
44603	Dictyocaulus filaria	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	12	XX/X0		male | female | amphimixis	Struckmann, 1906, Walton, 1940 	
29172	Dictyocaulus viviparus	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	12	XX/X0		male | female | amphimixis	Walton, 1940	
1705085	Metastrongylus apri	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	12	XX/X0			Gulick, 1911, Walton, 1940	
174716	Rhabdias bufonis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	12	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Walton 1940, Runey 1978	
174716	Rhabdias bufonis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	12	XX/X0		hermaphrodite	Schleip, 1911	
1492862	Rhabdias elegans	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	12	XX/X0			Nigon & Dougherty 1949	
357927	Rhabdias ranae	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	12	XX/X0		heterogony-amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics; Walton 1940, Runey 1978	
473160	Auanema rhodensis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2	14	XX/X0		male | female | hermaphrodite	Tandonnet S., Farrell M.C., Koutsovoulos G.D., Blaxter M.L., Parihar M., et al., 2018 Sex- and gamete-specific patterns of X chromosome segregation in a trioecious nematode. Curr Biol 28: 93–99 e93.	
6238	Caenorhabditis briggsae	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	12	XX/X0		male | protandrous hermaphrodite	Mitreva et al. (2005)	
6239	Caenorhabditis elegans	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	12	XX/X0		male | protandrous hermaphrodite	Mitreva et al. (2005)	
281687	Caenorhabditis japonica	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	12	XX/X0			Mitreva et al. (2005)	
31234	Caenorhabditis remanei	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	12	XX/X0			Mitreva et al. (2005)	
288516	Diploscapter coronatus	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2	2			parthenogenesis 	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler 1968	
367193	Diploscapter lycostoma	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2	2			parthenogenesis 	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
