taxon_id	input	rank	suggested
2527844	Caloglyphus berlesei	species	Sancassania berlesei
2527845	Caloglyphus michaeli	species	Sancassania michaeli
2922345	Tyrophagus casei	species	Tyrolichus casei
885409	Achipteria punctata	species	Parachipteria punctata
708361	Platynothrus septentrionalis	species	Heminothrus capillatus
2984412	Damaeus verticillipes	species	Spatiodamaeus verticillipes
1046791	Hydrachna uniscutata	species	Hydrachna globosa
2025105	Lebertia stackelbergi	species	Lebertia porosa
2051686	Trimalaconothrus novus	species	Malaconothrus novus
198290	Nanhermannia dorsalis	species	Nanhermannia coronata
229741	Phthiracarus setosellus	species	Phthiracarus longulus
133227	Tetranychus atlanticus	species	Tetranychus turkestani
412851	Trhypochthoniellus badius	species	Mainothrus badius
1490236	Eutetranychus sambiranensis	species	Eutetranychus africanus
406573	Gromphadorhina chopardi	species	Elliptorhina chopardi
36963	Leucophaea maderae	species	Rhyparobia maderae
109983	Gislenia australica	species	Neotemnopteryx fulva
1902165	Lupparia notulata	species	Balta notulata
37813	Parcoblatta pennsylvanica	species	Parcoblatta pensylvanica
103000	Shawella couloniana	species	Paratemnopteryx couloniana
36974	Symploce capitata	species	Symploce pallens
2992524	Xestoblatta immaculata	species	Antroxestoblatta immaculata
1720714	Notoxus constrictus	species	Notoxus desertus
1515531	Rhynchites heros	species	Epirhynchites heros
92692	Rhizopertha dominica	species	Rhyzopertha dominica
197179	Cylas formicarius elegantulus	species	Cylas formicarius
324817	Anthaxia bicolor	species	Anthaxia nitidula
1029723	Chrysobothris floricola	species	Chrysobothris cribraria
1166676	Coraebus sinuatus	species	Coraebus elatus
1553174	Cantharis thoracica	species	Cantharis nigra
1553716	Rhagonycha limbata	species	Rhagonycha nigriventris
102642	Abax ater	species	Abax parallelepipedus
1588386	Agonum livens	species	Platynus livens
1586962	Agonum moestum	species	Agonum duftschmidi
2611451	Amara giganteus	species	Amara gigantea
1586991	Amara simplex	species	Amara nitida
1587085	Baudia anomala	species	Badister collaris
1166850	Bembidion arizonae	species	Bembidion durangoense
1042819	Bembidion atrocoeruleum	species	Bembidion atrocaeruleum
1166794	Bembidion castum	species	Lionepha casta
1166881	Bembidion flebile	species	Bembidion curtulatum
1166842	Bembidion grapei	species	Bembidion grapii
1042822	Bembidion millerianum	species	Sinechostictus millerianus
1166891	Bembidion roosvelti	species	Bembidion roosevelti
795074	Bembidion ruficorne	species	Sinechostictus ruficornis
2107209	Chlaenius pictus	species	Chlaenius virgulifer
869530	Cicindela agnata	species	Cylindera agnata
176381	Cicindela argentata	species	Brasiella argentata
869531	Cicindela bigemina	species	Cylindera bigemina
212438	Cicindela chloris	species	Calomera chloris
212556	Cicindela chloropleura	species	Jansenia chloropleura
869535	Cicindela cognata	species	Cylindera cognata
1485677	Cicindela deserticoloides	species	Cephalota deserticoloides
38653	Cicindela dorsalis	species	Habroscelimorpha dorsalis
2873806	Cicindela fulgoris	species	Eunota fulgoris
1603916	Cicindela funerea	species	Calomera funerea
176384	Cicindela hemichrysea	species	Brasiella hemichrysea
1343300	Cicindela hispanica	species	Cephalota hispanica
176368	Cicindela lemniscata	species	Cylindera lemniscata
285225	Cicindela littoralis	species	Calomera littoralis
1485676	Cicindela maura	species	Cephalota maura
869544	Cicindela minuta	species	Cylindera minuta
1343341	Cicindela multiguttata	species	Lophyra multiguttata
176330	Cicindela severa	species	Habroscelimorpha severa
1343314	Cicindela severini	species	Cylindera severini
176362	Cicindela sexguttata sexguttata	species	Cicindela sexguttata
1343343	Cicindela striatifrons	species	Lophyra striatifrons
869548	Cicindela striolata	species	Lophyra striolata
869552	Cicindela sumatrensis	species	Calomera angulata
1343316	Cicindela suturalis	species	Cylindera suturalis
873034	Cicindela triguttata	species	Cylindera viduata
1343317	Cicindela trisignata	species	Cylindera trisignata
873034	Cicindela viduata	species	Cylindera viduata
869550	Cicindela viridilabris	species	Cylindera viridilabris
1334592	Cicindela vittigera	species	Lophyra vittigera
1561868	Edaphopaussus favieri	species	Paussus favieri
331376	Harpalus pennsylvanicus	species	Harpalus pensylvanicus
346504	Megacephala brasiliensis	species	Tetracha brasiliensis
346487	Megacephala cruciata	species	Phaeoxantha cruciata
346483	Megacephala euphratica	species	Grammognatha euphratica
346524	Megacephala sobrina	species	Tetracha sobrina
795082	Melanius anthracinus	species	Pterostichus anthracinus
1588620	Melanius gracilis	species	Pterostichus gracilis
346837	Melanius nigrita	species	Pterostichus nigrita
247307	Melanius rhaeticus	species	Pterostichus rhaeticus
247406	Ophonus incisus	species	Incisophonus incisus
795062	Platynus assimile	species	Limodromus assimilis
877726	Platynus obscurus	species	Oxypselaphus obscurus
272006	Platynus ruficornis	species	Paranchus albipes
1470298	Pogonus testaceus	species	Pogonistes testaceus
585991	Pristonychus terricola	species	Laemostenus terricola
137749	Pterostichus angustatus	species	Pterostichus negligens
484343	Pterostichus elongatus	species	Pterostichus idahoae
587705	Pterostichus globosus ebenus	species	Pterostichus globosus
293750	Pterostichus metallicus	species	Poecilus versicolor
484291	Pterostichus patruelis	species	Pterostichus riparius
76550	Scarites planus	species	Distichus planus
1902567	Stenolophus piceus	species	Dicheirus piceus
212547	Taenidia circumdata	species	Cephalota circumdata
537315	Anoplophora chinensis macularia	species	Anoplophora macularia
217632	Anoplophora malasiaca	species	Anoplophora chinensis
2586296	Apomecyna neglecta	species	Apomecyna saltator
2138433	Callipogon armillatus	species	Enoplocerus armillatus
256647	Criocephalus rusticus	species	Arhopalus rusticus
58006	Cyllene robiniae	species	Megacyllene robiniae
2138400	Derancistrus thomae	species	Solenoptera thomae
1586579	Dilus fugax	species	Deilus fugax
1473609	Elaphidion villosum	species	Anelaphus villosus
2982201	Gaurotes doris	species	Paragaurotes doris
1710699	Gonocallus collaris	species	Pronocera collaris
381544	Leontium viride	species	Chloridolum viride
295678	Liopus nebulosus	species	Leiopus nebulosus
534392	Macrotoma scutellaris	species	Prinobius myardi
1847800	Oberea mandarina	species	Oberea tripunctata
2567331	Pogonocherus penicellatus	species	Pogonocherus parvulus
1710435	Saperda calcarata adspersa	species	Saperda calcarata
1143061	Strangalia 4-fasciata	species	Leptura quadrifasciata
878968	Strangalia maculata	species	Rutpela maculata
879044	Tetrops praeusta	species	Tetrops praeustus
1425587	Asiorestia impressa	species	Neocrepidodera impressa
1454959	Aspidimorpha indica	species	Aspidimorpha furcata
294721	Aspidimorpha miliaris	species	Aspidomorpha miliaris
75512	Chrysolina janbechynei	species	Chrysolina curvilinea
1553210	Chrysolina staphylea	species	Chrysolina staphylaea
63687	Chrysomela tremulae	species	Chrysomela tremula
1075297	Clytra laeviscula	species	Clytra laeviuscula
1425560	Cryptocephalus alboscutellatus	species	Cryptocephalus saucius
204947	Cryptocephalus hypochoeridis	species	Cryptocephalus hypochaeridis
1425556	Cryptocephalus sexmaculatus	species	Cryptocephalus obliteratifer
2037880	Jolivetia obscura	species	Jolivetia ovatula
1412126	Lema coromandeliana	species	Lema praeusta
7539	Leptinotarsa decimlineata	species	Leptinotarsa decemlineata
2583630	Oides bipunctata	species	Oides palleata
2598218	Psylliodes chrysocephalus	species	Psylliodes chrysocephala
1425596	Psylliodes circumdata	species	Psylliodes circumdatus
87543	Timarcha monserratensis	species	Timarcha montserratensis
577850	Cis impressa	species	Cis fuscipes
703264	Adonia variegata	species	Hippodamia variegata
940482	Brumus suturalis	species	Brumoides suturalis
436170	Epilachna pustulosa	species	Henosepilachna pustulosa
459478	Epilachna septima	species	Henosepilachna septima
420088	Epilachna vigintioctomaculata	species	Henosepilachna vigintioctomaculata
420089	Epilachna vigintioctopunctata	species	Henosepilachna vigintioctopunctata
2755261	Exochomus flavipes	species	Parexochomus flavipes
511894	Harmonia arcuata	species	Harmonia octomaculata
1082689	Micraspis cardoni	species	Anegleis cardoni
2083553	Microweisea marginata	species	Coccidophilus marginatus
1778208	Orcus chalybeus	species	Halmus chalybeus
558720	Propylea quatuordecimpunctata	species	Propylea quattuordecimpunctata
1709595	Anthonomus scutellatus	species	Anthonomus signatus
1964260	Catapionus viridimetallicus	species	Catapionus fossulatus
1341933	Cathormiocerus aristatus	species	Trachyphloeus aristatus
1069501	Diaprepes marginicollis	species	Exophthalmus marginicollis
1763934	Hypera elongata	species	Hypera diversipunctata
1943862	Lepyrus alternans	species	Lepyrus nordenskioeldi
202102	Otiorhynchus apenninus	species	Otiorhynchus armadillo
221504	Otiorhynchus dubius	species	Otiorhynchus nodosus
1342079	Otiorhynchus fuscipes	species	Otiorhynchus tenebricosus
653195	Otiorhynchus niger	species	Otiorhynchus coecus
703599	Otiorhynchus salicis	species	Otiorhynchus salicicola
346826	Phyllobius urticae	species	Phyllobius pomaceus
1943923	Pissodes dubius	species	Pissodes striatulus
54546	Pissodes memorensis	species	Pissodes nemorensis
994698	Polydrusus atomarius	species	Polydrusus pallidus
994700	Polydrusus ruficornis	species	Polydrusus fulvicornis
1342115	Sitona crinitus	species	Sitona macularius
878987	Sitona flavescens	species	Sitona lepidus
1342115	Sitona macularis	species	Sitona macularius
202215	Strophosoma melanogrammus	species	Strophosoma melanogrammum
1342232	Trachyphloeus bifoveolatus	species	Romualdius bifoveolatus
1915149	Anthrenus fasciatus	species	Anthrenus flavipes
1915150	Attagenus elongatulus	species	Attagenus brunneus
1475208	Attagenus megatoma	species	Attagenus unicolor
441253	Dermestes caninus	species	Dermestes undulatus
1509382	Colymbetes affinis	species	Colymbetes fuscus
1509387	Colymbetes infuscatus	species	Rhantus notaticollis
1267232	Colymbetes thomsoni	species	Colymbetes dolabratus
183365	Hydaticus fabricii	species	Prodaticus fabricii
107862	Hydaticus leander	species	Prodaticus leander
666459	Hydaticus luczonicus	species	Prodaticus luczonicus
666472	Hydaticus vittatus	species	Prodaticus vittatus
1553717	Rhantus notatus	species	Rhantus frontalis
1902187	Adelocera modesta	species	Lacon modestus
195168	Adelocera murina	species	Agrypnus murinus
1770661	Ctenicera arata	species	Paraphotistus aratus
1710657	Ctenicera nitidula	species	Paraphotistus nitidulus
1720648	Ctenicera tarsalis	species	Corymbitodes tarsalis
2038154	Pyrophorus luminosus	species	Ignelater luminosus
2109416	Anoplotrupes balyi	species	Geotrupes balyi
997864	Geotrupes hypocrita	species	Sericotrupes niger
997852	Thorectes intermedius	species	Jekelius intermedius
997867	Thorectes punctatissimus	species	Silphotrupes punctatissimus
878024	Haliplus lineatus	species	Haliplus confinis
415100	Hydrous piceus	species	Hydrophilus piceus
7051	Luciola cruciata	species	Nipponoluciola cruciata
7052	Luciola lateralis	species	Aquatica lateralis
877989	Leiodes calcarata	species	Leiodes politus
723364	Speonomus delarouzeei	species	Parvospeonomus delarouzeei
1304773	Troglocharinus variabilis	species	Troglocharinus elongatus
231732	Macrodorcas rectus	species	Dorcus rectus
443656	Epicauta pennsylvanica	species	Epicauta pensylvanica
1112828	Passalus unicornis	species	Passalus punctiger
2025057	Petrejoides mazatecus	species	Yumtaax mazatecus
273928	Allomyrina dichotoma	species	Trypoxylus dichotomus
360071	Amphimallon solstitialis	species	Amphimallon solstitiale
1553010	Aphodius subterraneus	species	Eupleurus subterraneus
383507	Autoserica assamensis	species	Maladera thomsoni
1133720	Cyclocephala melanocephala rubiginosa	species	Cyclocephala melanocephala
