taxon_id	input	rank
8345	Bombina bombina	species
8346	Bombina orientalis	species
8348	Bombina variegata	species
8384	Bufo bufo	species
30326	Epidalea calamita	species
30331	Bufo gargarizans	species
8386	Rhinella marina	species
30335	Duttaphrynus melanostictus	species
103435	Strauchbufo raddei	species
389288	Bufotes boulengeri	species
47582	Melanophryniscus stelzneri	species
2826092	Rhinella achalensis	species
38577	Rhinella arenarum	species
1079993	Rhinella fernandezae	species
2736592	Rhinella diptycha	species
209679	Proceratophrys boiei	species
200925	Adelphobates castaneoticus	species
200927	Adelphobates quinquevittatus	species
92734	Ameerega picta	species
92724	Dendrobates tinctorius	species
384900	Ameerega flavopicta	species
161872	Ameerega hahneli	species
8443	Alytes obstetricans	species
8351	Discoglossus pictus	species
318254	Nyctimantis brunoi	species
394460	Gastrotheca ovifera	species
248795	Gastrotheca pseustes	species
8420	Gastrotheca riobambae	species
394467	Gastrotheca walkeri	species
121869	Hyla arborea	species
314582	Dryophytes femoralis	species
109175	Dryophytes japonicus	species
318341	Hyla savignyi	species
317352	Dryophytes squirellus	species
30343	Dryophytes versicolor	species
317341	Boana polytaenia	species
317371	Itapotihyla langsdorffii	species
860361	Phasmahyla exilis	species
8394	Pithecopus rohdei	species
428381	Pseudis bolbodactyla	species
428383	Pseudis fusca	species
43558	Pseudis paradoxa	species
428384	Pseudis tocantins	species
1701578	Scinax alter	species
1903091	Scinax argyreornatus	species
317394	Ololygon catharinae	species
192740	Scinax ruber	species
279982	Smilisca baudinii	species
39591	Hyperolius viridiflavus	species
118230	Leiopelma archeyi	species
43508	Leiopelma hamiltoni	species
51644	Leiopelma hochstetteri	species
76064	Engystomops petersi	species
247950	Eupsophus insularis	species
247951	Eupsophus migueli	species
377249	Hylodes phyllodes	species
76062	Physalaemus ephippifer	species
448636	Pristimantis dundeei	species
2420075	Pristimantis paulodutrai	species
1477596	Pseudopaludicola canga	species
1477599	Pseudopaludicola murundu	species
1477600	Pseudopaludicola saltica	species
1221123	Crinia bilingua	species
51250	Neobatrachus sudelli	species
51251	Neobatrachus sutor	species
191477	Pelobates fuscus	species
43542	Pelodytes punctatus	species
8355	Xenopus laevis	species
105430	Xenopus ruwenzoriensis	species
167930	Amolops mantzorum	species
45623	Pelophylax lessonae	species
1752047	Pelophylax grafi	species
8409	Pelophylax nigromaculatus	species
8406	Pelophylax ridibundus	species
30357	Pyxicephalus adspersus	species
30360	Lithobates berlandieri	species
152344	Lithobates blairi	species
8400	Lithobates catesbeianus	species
145282	Lithobates clamitans	species
71582	Rana dybowskii	species
