"Order","Family","Species","Diploid.number","Fundamental.number","Sex.chromosome","Ploidy","Max.Bs","Microchromosomes","Notes","Original.listing","Citation"
"Anura","Allophrynidae","Allophryne ruthveni","20","40","","","","","","","Trujillo Torres, M.B., 2018. Caracterization citogenetica de Teratohyla amelie y Teratohyla midas.(Anura: Centrolenidae) (Bachelor's thesis, PUCE)."
"Anura","Alsodidae","Alsodes barrioi","34","56","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes coppingeri","26","52","","","","","","Eupsophus coppingeri","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes gargola","26","52","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes hugoi","26","","","","","","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes igneus","26","","","","","","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes montanus","26","52","","","","","","Telmatobius montanus","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes monticola","26","52","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes neuquensis","26","","","","","","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes nodosus","22","44","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes norae","30","52","","","","","","","Cuevas, C.C., 2008. A new species of the genus Alsodes (Anura: Neobatrachia) from the Nothofagus forest, Coastal Range, southern Chile, identified by its karyotype.Zootaxa,1771, pp.43-53."
"Anura","Alsodidae","Alsodes pehuenche","26","52","","","","","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alsodidae","Alsodes tumultuosus","26","52","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes vanzolinii","26","50","","","","","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alsodidae","Alsodes vanzolinii","26","52","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes verrucosus","26","52","","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes vittatus","28","","","","","","","Eupsophus vittatus","Bogart, J. P. 1970. Systematic problems in the amphibian family Leptodactlidae (Anura) as indicated by karyotypic analysis. Cytogenetics 9: 369-383."
"Anura","Alsodidae","Eupsophus calcaratus","30","46","","","","","","","Formas, J. R. 1980. The chromosomes of E. calcaratus and the karyological evolution of the genus Eupsophus (Anura: Leptodactylidae). Experientia 36: 1163-1164."
"Anura","Alsodidae","Eupsophus emiliopugini","28","56","","","","","","","Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
"Anura","Alsodidae","Eupsophus insularis","30","44","XY","","","","","","Cuevas, C.C. and Formas, J.R., 1996. Heteromorphic sex chromosomes inEupsophus insularis (Amphibia: Anura: Leptodactylidae). Chromosome Research, 4(6), pp.467-470."
"Anura","Alsodidae","Eupsophus migueli","30","44","XY","","","","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Eupsophus roseus","30","44","","","","","","","Barrio, A. and P. Rinaldi de Chieri. 1971. Contribucion al esclarecimiento de la posicion taxofiletica de algunos batracios patagonicos de la familia Leptodactylidae mediante el analisis cariotipico. Physis 30: 673-685."
