"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"PALEOGNATHAE","STRUTHIONIFORMES","Struthionidae","Ostriches","Struthio camelus","","80","40","Itoh et al. 1969; Takagi et al. 1972; Nishida-Umehara et al. 2007"
"PALEOGNATHAE","RHEIFORMES","Rheidae","Rheas","Rhea americana","","80","40","Be�ak et al. 1973; Takagi et al. 1972; Takagi and Sasaki 1974; Gunski and Giannoni 1998; Guttenbach et al. 2003; Nishida-Umehara et al. 2007"
"PALEOGNATHAE","RHEIFORMES","Rheidae","","Rhea pennata","Pterocnemia pennata","80","40","Liotta and Gunski, 1998"
"PALEOGNATHAE","APTERYGIFORMES","Apterygidae","Kiwis","Apteryx australis","","80","40","De Boer 1980a"
"PALEOGNATHAE","CASUARIIFORMES","Casuariidae","Cassowaries and Emu","Casuarius casuarius","","92","46","Takagi et al. 1972; Nishida-Umehara et al. 2007"
"PALEOGNATHAE","CASUARIIFORMES","Casuariidae","","Dromaius novaehollandiae","","80","40","Takagi et al. 1972; De Boer 1980a; Nishida-Umehara et al. 2007"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","Tinamous","Crypturellus parvirostris","","78","39","De Lucca 1974b; Duarte and Giannoni 1985"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","","Crypturellus tataupa","","78","39","Garnero et al. 2006"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","","Eudromia elegans","","80","40","Sasaki et al. 1980"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","","Nothura maculosa","","80","40","Aguiar 1968; Garnero and Gunski 2000; Pigozzi and Solari 2005;"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","","Rhynchotus rufescens","","78","39","Garnero and Gunski 2000"
"PALEOGNATHAE","TINAMIFORMES","Tinamidae","","Tinamus solitarius","","80","40","Belterman and De Boer 1990; Garnero et al. 2006"
"NEOGNATHAE","ANSERIFORMES","Anatidae","Ducks, Geese and Swans","Aix galericulata","","84","42","Be�ak et al. 1973; Shoffner 1974"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Aix sponsa","","80","40","Makino 1951; Be�ak et al. 1973"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Alopochen aegyptiaca","","80","40","Be�ak et al. 1975"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anas acuta","","80","40","Be�ak et al. 1973; Abu-Almaaty et al. 2019"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anas castanea","","82","41","Belterman and De Boer 1984"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anas crecca","","80","40","Makino 1951; Abu-Almaaty et al. 2019"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anas platyrhynchos","","80","40","Takagi and Makino 1966; Aguiar 1968; Be�ak et al. 1973; W�jcik and Smalec 2007"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser albifrons","","82","41","Itoh et al. 1969; Shields 1982"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser anser","","82","41","Hammar 1966; Guttenbach et al. 2003"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser caerulescens","","82","41","Be�ak et al. 1975"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser canagicus","","82","41","Be�ak et al. 1975"
"NEOGNATHAE","ANSERIFORMES","Anatidae","","Anser fabalis","","80","40","Takagi and Sasaki 1974; Uno et al. 2019"
