row_number	ncbi_taxid	phylum	subphylum	class	order	family	genus_species	common_name	c_value	chromosome_number	c_value_method	cell_type	standard_species	references
2639	7603	Echinodermata	Asterozoa	Stelleroidea	Forcipulatida	Asteriidae	Asterias forbesi	Sea star	0.6	NA	BFA	S	SP	218
2640	279900	Echinodermata	Asterozoa	Stelleroidea	Forcipulatida	Asteriidae	Astrometis sertulifera	Sea star	0.7	NA	BFA	S	SP	218
2643	7614	Echinodermata	Asterozoa	Stelleroidea	Forcipulatida	Asteriidae	Pycnopodia helianthoides	Sea star	0.79	NA	BFA	S	SP	218
2644	331088	Echinodermata	Asterozoa	Stelleroidea	Ophiurida	Ophiocomidae	Ophiocoma echinata	Serpent star	2.4	NA	BFA	S	SP	218
2645	1077063	Echinodermata	Asterozoa	Stelleroidea	Ophiurida	Ophiocomidae	Ophiopteris papillosa	Serpent star	2.3	NA	BFA	S	SP	218
2646	1763996	Echinodermata	Asterozoa	Stelleroidea	Ophiurida	Ophiodermatidae	Ophioderma panamensis	Serpent star	3.3	NA	BFA	S	SP	218
2648	1815203	Echinodermata	Asterozoa	Stelleroidea	Ophiurida	Ophiuridae	Ophioplocus esmarki	Serpent star	3	NA	BFA	S	SP	218
2649	46514	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Asterinidae	Patiria miniata	Sea star	0.76	NA	BFA	S	SP	218
2650	559820	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Echinasteridae	Echinaster echinophorus	Sea star	0.96	NA	BFA	S	SP	218
2651	72721	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Echinasteridae	Echinaster sepositus	Red starfish	0.76	NA	FCM	HE	MGP	685
2652	133436	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Echinasteridae	Henricia leviuscula	Sea star	0.85	NA	BFA	S	SP	218
2653	72675	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Echinasteridae	Henricia sanguinolenta	Sea star	0.89	NA	BFA	S	SP	218
2654	7590	Echinodermata	Asterozoa	Stelleroidea	Spinulosida	Poraniidae	Dermasterias imbricata	Sea star	0.54	NA	BFA	S	SP	218
2749	7740	Chordata	Cephalochordata	Leptocardia	Amphioxi	Branchiostomidae	Branchiostoma lanceolatum	Lancelet	0.59	24	FD	PH	HS	15
1782	313392	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Agelenopsis potteri	Funnel-web spider	3.64	NA	FIA	HE	GD	176
1783	313394	Arthropoda	Chelicerata	Arachnida	Araneae	Agelenidae	Agelenopsis utahana	Grass spider	4.2	NA	FIA	HE	GD	176
1788	336583	Arthropoda	Chelicerata	Arachnida	Araneae	Amaurobiidae	Amaurobius ferox	Hacklemesh weaver	2.69	NA	FIA	HE	GD	176
1789	336637	Arthropoda	Chelicerata	Arachnida	Araneae	Amaurobiidae	Callobius bennetti	Hacklemesh weaver	3.65	NA	FIA	HE	GD	176
1790	224616	Arthropoda	Chelicerata	Arachnida	Araneae	Antrodiaetidae	Antrodiaetus unicolor	Folding door spider	1.23	NA	FD	HE	GD	732
1792	336690	Arthropoda	Chelicerata	Arachnida	Araneae	Anyphaenidae	Wulfila saltabundus	Ghost spider	1	NA	FIA	HE	GD	176
1793	45920	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Araneus diadematus	Cross orbweaver	2.57	NA	FIA	HE	GD	176
1794	336584	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Araneus marmoreus	Marbled orbweaver	2.39	NA	FIA	HE	GD	176
1796	336630	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Araniella displicata	Orb-web spider	2.35	NA	FIA	HE	GD	176
1797	156844	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Argiope aurantia	Black and yellow argiope	1.62	NA	FIA	HE	GD	176
1798	156844	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Argiope aurantia	Black and yellow argiope	1.65	NA	FD	HE	GD	732
1799	156845	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Argiope trifasciata	Banded argiope	1.69	NA	FIA	HE	GD	176
1800	336648	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Cyclosa conica	Trashline orbweaver	2.74	NA	FIA	HE	GD	176
1801	336652	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Eustala anastera	Humpbacked orbweaver	1.47	NA	FIA	HE	GD	176
1802	336661	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Hypsosinga pygmaea	Orb-web spider	2.02	NA	FIA	HE	GD	176
1804	1698869	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Larinia borealis	Orb-web spider	2.23	NA	FIA	HE	GD	176
1805	336591	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Larinioides cornutus	Furrow orbweaver	2.13	NA	FIA	HE	GD	176
1806	280406	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Larinioides sclopetarius	Bridge orbweaver	1.89	NA	FIA	HE	GD	176
1807	588435	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Mangora gibberosa	Lines orbweaver	2.31	NA	FIA	HE	GD	176
1808	336594	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Neoscona arabesca	Arabesque orbweaver	1.62	NA	FIA	HE	GD	176
1809	2175612	Arthropoda	Chelicerata	Arachnida	Araneae	Araneidae	Zygiella dispar	Orb-web spider	2.25	NA	FIA	HE	GD	176
1810	1659923	Arthropoda	Chelicerata	Arachnida	Araneae	Clubionidae	Clubiona maritima	Leaf-curling sac spider	0.79	NA	FIA	HE	GD	176
1811	1107586	Arthropoda	Chelicerata	Arachnida	Araneae	Clubionidae	Clubiona obesa	Leaf-curling sac spider	1.08	NA	FIA	HE	GD	176
1812	336650	Arthropoda	Chelicerata	Arachnida	Araneae	Dictynidae	Emblyna annulipes	Meshweaver	1.02	NA	FIA	HE	GD	176
1813	58764	Arthropoda	Chelicerata	Arachnida	Araneae	Dysderidae	Dysdera crocata	Cell spider	3	NA	FIA	HE	GD	176
1815	1109753	Arthropoda	Chelicerata	Arachnida	Araneae	Gnaphosidae	Zelotes fratris	Stealthy ground spider	1.4	NA	FIA	HE	GD	176
1816	139869	Arthropoda	Chelicerata	Arachnida	Araneae	Hypochilidae	Hypochilus thorelli	Spider	1.42	NA	FD	HE	GD	732
1818	329899	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Frontinella communis	Bowl and doily weaver	1.64	NA	FIA	HE	GD	176
1819	932966	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Lepthyphantes leprosus	Sheetweb weaver	1.04	NA	FIA	HE	GD	176
1820	336595	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Neriene clathrata	Sheetweb weaver	1.05	NA	FIA	HE	GD	176
1821	187181	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Neriene radiata	Filmy dome spider	1.28	NA	FIA	HE	GD	176
1824	187180	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Neriene variabilis	Sheetweb weaver	1.09	NA	FIA	HE	GD	176
1825	187175	Arthropoda	Chelicerata	Arachnida	Araneae	Linyphiidae	Pityohyphantes costatus	Hammock spider	1.38	NA	FIA	HE	GD	176
1828	336582	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Alopecosa aculeata	Wolf spider	3.49	NA	FIA	HE	GD	176
1829	1405132	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Arctosa alpigena	Wolf spider	2.89	NA	FIA	HE	GD	176
1830	336590	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Hogna helluo	Wolf spider	2.49	NA	FIA	HE	GD	176
1832	1100096	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Pardosa lapidicina	Thin-legged wolf spider	2.06	NA	FIA	HE	GD	176
1833	1107700	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Pardosa saxatilis	Thin-legged wolf spider	1.96	NA	FIA	HE	GD	176
1835	336605	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Pirata montanus	Pirate wolf spider	2.13	NA	FIA	HE	GD	176
1836	128040	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Schizocosa ocreata	Wolf spider	3.14	NA	FIA	HE	GD	176
1838	74993	Arthropoda	Chelicerata	Arachnida	Araneae	Lycosidae	Trochosa terricola	Wolf spider	2.87	NA	FIA	HE	GD	176
1840	336569	Arthropoda	Chelicerata	Arachnida	Araneae	Philodromidae	Philodromus cespitum	Running crab spider	2.16	NA	FIA	HE	GD	176
1841	1107704	Arthropoda	Chelicerata	Arachnida	Araneae	Philodromidae	Philodromus histrio	Running crab spider	2.14	NA	FIA	HE	GD	176
1844	336604	Arthropoda	Chelicerata	Arachnida	Araneae	Philodromidae	Philodromus vulgaris	Running crab spider	2.52	NA	FIA	HE	GD	176
1846	1108691	Arthropoda	Chelicerata	Arachnida	Araneae	Philodromidae	Tibellus maritimus	Slender crab spider	2.61	NA	FIA	HE	GD	176
1847	336685	Arthropoda	Chelicerata	Arachnida	Araneae	Philodromidae	Tibellus oblongus	Slender crab spider	3.01	NA	FIA	HE	GD	176
1848	6932	Arthropoda	Chelicerata	Arachnida	Araneae	Pholcidae	Pholcus phalangioides	Long-bodied cellar spider	1.06	NA	FIA	HE	GD	176
1849	156846	Arthropoda	Chelicerata	Arachnida	Araneae	Pisauridae	Dolomedes tenebrosus	Fishing spider	2.22	NA	FIA	HE	GD	176
