taxon_id	input	rank	suggested
72368	Acacia farnesiana	species	Vachellia farnesiana
247878	Acacia greggii	species	Senegalia greggii
1217422	Acacia leucophloea	species	Vachellia leucophloea
138030	Acacia modesta	species	Senegalia modesta
138033	Acacia nilotica	species	Vachellia nilotica
138043	Acacia senegal	species	Senegalia senegal
138046	Acacia tortilis	species	Vachellia tortilis
138043	Acacia verek	species	Senegalia senegal
1525811	Acanthephippium sylhetense	species	Acanthophippium sylhetense
4494	Aegilops caudata	species	Aegilops markgrafii
4595	Aegilops mutica	species	Amblyopyrum muticum
130461	Aegilops variabilis	species	Aegilops peregrina
52152	Agropyron repens	species	Elymus repens
86023	Agropyron smithii	species	Pascopyrum smithii
2294041	Agrostis himalayana	species	Agrostis micrantha
336211	Aira multiculmis	species	Aira caryophyllea
543669	Allium chloranthum	species	Allium decipiens
166799	Allium cupanii	species	Allium cupani
51430	Allium hirsutum	species	Allium subhirsutum
165651	Allium junceum	species	Allium przewalskianum
4682	Allium longicuspis	species	Allium sativum
166826	Allium scabrellum	species	Allium umbilicatum
74900	Allium sibiricum	species	Allium schoenoprasum
38784	Alnus viridis	species	Alnus alnobetula
96047	Ammophila arenaria	species	Calamagrostis arenaria
201010	Amoora rohituka	species	Aphanamixis polystachya
174187	Amorphophallus dubius	species	Amorphophallus paeoniifolius
175741	Amorphophallus oncophyllus	species	Amorphophallus muelleri
175735	Amorphophallus sutepensis	species	Amorphophallus krausei
2803636	Amyema friesianum	species	Amyema friesiana
364656	Amyema queenslandicum	species	Amyema queenslandica
79824	Andropogon gerardii	species	Andropogon gerardi
666721	Anemone heterophylla	species	Anemone berlandieri
168008	Anemone riparia	species	Anemone virginiana
2777731	Anogeissus acuminata	species	Terminalia phillyreifolia
1068673	Anogeissus pendula	species	Terminalia pendula
2777733	Anogeissus sericea	species	Terminalia coronata
99028	Anthemis tinctoria	species	Cota tinctoria
472857	Anthericum suffruticosum	species	Chlorophytum suffruticosum
57945	Aphanes arvensis	species	Alchemilla arvensis
55311	Aponogeton distachyus	species	Aponogeton distachyos
1123916	Aporocactus flagelliformis	species	Disocactus flagelliformis
170720	Arachis chacoense	species	Arachis diogoi
3489	Artocarpus heterophylla	species	Artocarpus heterophyllus
382341	Artocarpus lakoocha	species	Artocarpus lacucha
481907	Aster hydrophilus	species	Almutaster pauciflorus
72978	Aster oblongifolius	species	Symphyotrichum oblongifolium
71076	Aster riparius	species	Leucosyris riparia
880710	Atriplex californica	species	Extriplex californica
190330	Atriplex triangularis	species	Atriplex prostrata
52150	Bromus brevis	species	Bromus catharticus
37721	Bromus brizaeformis	species	Bromus briziformis
468975	Bromus flabellatus	species	Bromus fasciculatus
52150	Bromus haenkeanus	species	Bromus catharticus
52137	Bromus rigidus	species	Bromus rubens
254122	Bromus stamineus	species	Bromus cebadilla
254157	Bromus trinii	species	Bromus berteroanus
52150	Bromus unioloides	species	Bromus catharticus
210954	Bulbine caulescens	species	Bulbine frutescens
66627	Bulnesia arborea	species	Gonopterodendron arboreum
2249720	Bulnesia bonariensis	species	Gonopterodendron bonariense
2249724	Bulnesia sarmientoi	species	Gonopterodendron sarmientoi
321550	Caesalpinia coriaria	species	Libidibia coriaria
49770	Avenula pratensis	species	Helictochloa pratensis
1207287	Bellevalia forniculata	species	Pseudomuscari forniculatum
161934	Beta maritima	species	Beta vulgaris
1001086	Borzicactus aurivillus	species	Borzicactus icosagonus
3711	Brassica campestris	species	Brassica rapa
93385	Brassica campestris subsp. chinensis	subspecies	Brassica rapa subsp. chinensis
3728	Brassica hirta	species	Sinapis alba
511975	Briza bidentata	species	Chascolytrum bidentatum
511976	Briza brachychaete	species	Chascolytrum brachychaetum
391962	Briza brizoides	species	Chascolytrum brizoides
511978	Briza calotheca	species	Chascolytrum calotheca
121768	Briza erecta	species	Chascolytrum erectum
511979	Briza itatiaiae	species	Chascolytrum itatiaiae
