taxon_id	input	rank
205027	Acacia auriculiformis	species
1174743	Acacia bivenosa	species
205042	Acacia dealbata	species
1077887	Acacia heterophylla	species
138025	Acacia ligulata	species
138028	Acacia melanoxylon	species
479624	Acacia salicina	species
138524	Acacia victoriae	species
281911	Acaena magellanica	species
66206	Acer carpinifolium	species
4026	Acer pseudoplatanus	species
13329	Achillea millefolium	species
4465	Acorus calamus	species
55184	Acorus gramineus	species
169987	Acrocomia aculeata	species
69109	Adansonia digitata	species
170035	Adina pilulifera	species
4208	Adoxa moschatellina	species
4483	Aegilops bicornis	species
130455	Aegilops biuncialis	species
4493	Aegilops columnaris	species
4485	Aegilops comosa	species
4481	Aegilops crassa	species
130456	Aegilops cylindrica	species
130457	Aegilops juvenalis	species
130458	Aegilops kotschyi	species
4486	Aegilops longissima	species
130460	Aegilops neglecta	species
4487	Aegilops searsii	species
58530	Aegilops sharonensis	species
4573	Aegilops speltoides	species
39391	Aegilops triuncialis	species
4491	Aegilops umbellulata	species
4492	Aegilops uniaristata	species
130462	Aegilops vavilovii	species
116981	Aegilops ventricosa	species
68527	Aegle marmelos	species
331162	Aerides odorata	species
43364	Aesculus hippocastanum	species
2056509	Agave amaniensis	species
39510	Agave americana	species
382117	Agave angustifolia	species
2695038	Agave asperrima	species
39511	Agave attenuata	species
2695048	Agave colorata	species
2695036	Agave decipiens	species
382119	Agave deserti	species
2695044	Agave filifera	species
1824557	Agave fourcroydes	species
39513	Agave lechuguilla	species
1485086	Agave palmeri	species
442491	Agave sisalana	species
386106	Agave tequilana	species
1234494	Agoseris glauca	species
161745	Agoseris grandiflora	species
19017	Agoseris heterophylla	species
114283	Agoseris retrorsa	species
39848	Agrostemma githago	species
218142	Agrostis canina	species
204232	Agrostis capillaris	species
345914	Agrostis castellana	species
2731260	Agrostis pourretii	species
63632	Agrostis stolonifera	species
247443	Agrostis vinealis	species
58506	Aidia micrantha	species
336211	Aira caryophyllea	species
1211427	Aira elegantissima	species
281066	Aira praecox	species
50113	Alepis flavida	species
365730	Alisma lanceolatum	species
15000	Alisma plantago-aquatica	species
126270	Alliaria petiolata	species
70752	Allium aflatunense	species
543646	Allium akaka	species
165601	Allium albidum	species
543648	Allium alexeianum	species
48666	Allium altaicum	species
543649	Allium altissimum	species
165602	Allium altyncolicum	species
4681	Allium ampeloprasum	species
105301	Allium angulosum	species
138315	Allium aroides	species
70753	Allium atropurpureum	species
165606	Allium backhousianum	species
2056020	Allium barsczewskii	species
543656	Allium bucharicum	species
138318	Allium caeruleum	species
166796	Allium caesium	species
472403	Allium canadense	species
1211429	Allium carinatum	species
105480	Allium carolinianum	species
543657	Allium caspium	species
4679	Allium cepa	species
70754	Allium cernuum	species
130426	Allium chinense	species
70755	Allium cristophii	species
165611	Allium clathratum	species
543667	Allium cyrilli	species
70756	Allium darwasicum	species
2666432	Allium delicatulum	species
1174969	Allium dictyoprasum	species
138320	Allium drummondii	species
70757	Allium fetisowii	species
166802	Allium filidens	species
35875	Allium fistulosum	species
138322	Allium flavum	species
1174970	Allium fuscoviolaceum	species
61299	Allium galanthum	species
475796	Allium geyeri	species
70758	Allium giganteum	species
1433407	Allium globosum	species
2771523	Allium grande	species
138324	Allium griffithianum	species
165622	Allium gunibicum	species
258996	Allium heldreichii	species
543677	Allium hissaricum	species
543678	Allium hollandicum	species
105303	Allium hookeri	species
165623	Allium hymenorrhizum	species
105304	Allium insubricum	species
70761	Allium karataviense	species
166809	Allium kunthianum	species
1286665	Allium kunthii	species
166972	Allium kurssanovii	species
165630	Allium ledebourianum	species
166810	Allium leucocephalum	species
165631	Allium lineare	species
543688	Allium lipskyanum	species
70762	Allium macleanii	species
91198	Allium macrostemon	species
105306	Allium mairei	species
166813	Allium margaritae	species
543690	Allium materculae	species
166814	Allium melanantherum	species
74895	Allium moly	species
165637	Allium mongolicum	species
165638	Allium montibaicalense	species
74896	Allium neapolitanum	species
105307	Allium neriniflorum	species
165640	Allium nigrum	species
138328	Allium nutans	species
166816	Allium obliquum	species
467612	Allium oleraceum	species
165644	Allium oliganthum	species
70763	Allium oreophilum	species
48873	Allium oschaninii	species
743508	Allium pallasii	species
166818	Allium paradoxum	species
1578891	Allium parciflorum	species
113213	Allium pskemense	species
546494	Allium pyrenaicum	species
105309	Allium ramosum	species
543698	Allium rosenbachianum	species
74898	Allium roseum	species
1174972	Allium rotundum	species
48874	Allium roylei	species
166820	Allium rupestre	species
2056026	Allium sabulosum	species
4682	Allium sativum	species
258998	Allium saxatile	species
74900	Allium schoenoprasum	species
70765	Allium schubertii	species
166823	Allium scorodoprasum	species
674069	Allium scorzonerifolium	species
70766	Allium senescens	species
166824	Allium sphaerocephalon	species
88844	Allium splendens	species
74901	Allium stellatum	species
70767	Allium stipitatum	species
51430	Allium subhirsutum	species
674070	Allium subvillosum	species
165669	Allium tenuissimum	species
45004	Allium thunbergii	species
1314312	Allium trifoliatum	species
74902	Allium triquetrum	species
4683	Allium tuberosum	species
165674	Allium tuvinicum	species
74903	Allium unifolium	species
4684	Allium ursinum	species
74904	Allium validum	species
80376	Allium verticillatum	species
88845	Allium victorialis	species
1053326	Allium vineale	species
105311	Allium wallichii	species
74905	Allium zebdanense	species
3517	Alnus glutinosa	species
117791	Aloe aff. jacksonii	species
1602335	Aloe ammophila	species
1389491	Aloe amudatensis	species
117794	Aloe cameronii	species
117799	Aloe forbesii	species
117801	Aloe inermis	species
117803	Aloe juvenna	species
1593093	Aloe mcloughlinii	species
117805	Aloe ngobitensis	species
117807	Aloe peckii	species
117811	Aloe scobinifolia	species
1593110	Aloe suffulta	species
1593112	Aloe ukambensis	species
1389535	Aloe yemenica	species
114195	Alopecurus geniculatus	species
368342	Alopecurus magellanicus	species
81473	Alopecurus myosuroides	species
#lpAloUtri	Alopecurus utriculatus	species
502213	Alstroemeria angustifolia subsp. angustifolia	subspecies
56742	Alstroemeria aurea	species
1208243	Alstroemeria brasiliensis	species
71970	Alstroemeria inodora	species
208882	Alstroemeria ligtu subsp. ligtu	subspecies
502234	Alstroemeria magnifica subsp. magnifica	subspecies
71826	Alstroemeria pelegrina	species
502238	Alstroemeria philippii	species
75983	Alstroemeria psittacina	species
502244	Alstroemeria pulchra subsp. pulchra	subspecies
3563	Amaranthaceae	family
51432	Amaryllis belladonna	species
175716	Amorphophallus abyssinicus	species
501576	Amorphophallus bulbifer	species
175725	Amorphophallus commutatus	species
1720442	Amorphophallus hildebrandtii	species
328169	Amorphophallus johnsonii	species
175736	Amorphophallus lambii	species
174187	Amorphophallus paeoniifolius	species
1720466	Amorphophallus prainii	species
364655	Amyema cambagei	species
